id,x,y,z
0,-0.861935,2.85403,0.552064
1,-0.652588,2.69877,0.669006
2,-0.681092,3.08338,0.539631
3,-0.452526,2.89523,0.576465
5,7.05945,3.02159,0.909793
7,7.32832,3.13206,0.928125
9,13.3903,3.26211,1.17948
11,13.3801,3.00011,1.10405
13,19.0959,3.09475,1.35033
15,19.2963,3.30184,1.33874
17,25.1842,3.2432,1.5612
18,25.0919,3.64422,1.60392
19,25.0037,3.39897,1.72047
21,31.1099,3.37214,2.0112
22,31.1768,3.77276,1.94654
23,31.3366,3.53466,1.93782
25,37.2148,3.53331,2.20496
26,37.2834,3.91085,2.32748
27,37.4545,3.68176,2.24444
29,43.1413,3.62992,2.62361
30,43.1897,4.00607,2.49064
31,43.369,3.77885,2.55488
32,49.0846,3.95394,2.98116
33,48.8283,3.80798,2.8581
35,48.9945,3.75062,2.6489
37,52.6137,3.81702,2.91672
38,52.5942,4.21146,2.99894
39,52.8122,4.00681,2.98936
40,61.0145,4.13205,3.55323
41,61.081,4.00999,3.29642
43,61.3502,4.08159,3.33304
45,67.0935,4.10418,3.55775
47,67.3591,4.21565,3.56904
49,73.0988,4.10959,3.8609
50,73.1288,4.51597,3.85551
51,73.3236,4.29561,3.85477
53,78.8494,4.29721,4.04031
54,78.8509,4.69945,4.07804
55,79.0565,4.48742,4.10698
57,84.7613,4.46354,4.6315
58,84.6572,4.71203,4.32745
59,84.9062,4.57801,4.40974
61,90.7885,4.50603,4.67333
62,90.9466,4.85479,4.55951
63,91.051,4.60613,4.69109
65,96.9089,4.46973,4.94812
67,97.1624,4.61381,4.94721
68,102.349,4.72005,5.55923
69,102.308,4.62145,5.28817
71,102.498,4.82523,5.1956
73,106.257,4.87291,5.61459
74,106.239,4.53376,5.41925
75,106.452,4.69714,5.54513
77,114.696,4.86802,5.80501
78,114.835,5.23735,5.89845
79,114.949,4.97594,5.84628
81,120.807,4.98517,6.07214
82,120.903,5.35393,6.21276
83,121.049,5.11278,6.13359
85,126.827,5.03258,6.33109
87,127.108,5.07878,6.35641
89,132.772,5.17088,6.57978
90,132.888,5.55908,6.58598
91,133.026,5.30176,6.57827
93,138.786,5.18993,6.76056
94,138.688,5.56479,6.87469
95,138.943,5.41066,6.84137
97,144.747,5.25008,7.09494
98,144.656,5.64638,7.12208
99,144.908,5.48602,7.1498
100,149.252,5.56754,7.63443
101,149.33,5.47476,7.37102
103,149.203,5.71498,7.25891
104,-0.775182,2.03268,0.638667
105,-0.622211,1.7841,0.636916
106,-0.553716,2.16669,0.517308
107,-0.378175,1.93746,0.572115
