id,x,y,z,x_transformed,y_transformed
0,-0.861935,2.85403,0.552064,-2.9674298711359817,-0.13052297520157008
1,-0.652588,2.69877,0.669006,-2.8086128718383563,0.07613857115647416
2,-0.681092,3.08338,0.539631,-3.1936540401179028,0.05421532217458103
3,-0.452526,2.89523,0.576465,-3.001623216955103,0.27953066078120475
5,7.05945,3.02159,0.909793,-2.9995147850082975,7.792569049388755
7,7.32832,3.13206,0.928125,-3.105371129726949,8.063288705274331
9,13.3903,3.26211,1.17948,-3.131746157175094,14.126606186721855
11,13.3801,3.00011,1.10405,-2.8699588762423422,14.111927646541146
13,19.0959,3.09475,1.35033,-2.8668485361182663,19.82851025290522
15,19.2963,3.30184,1.33874,-3.070481547496592,20.03242205927502
17,25.1842,3.2432,1.5612,-2.911170818330479,25.918458514409547
18,25.0919,3.64422,1.60392,-3.3137104579543175,25.83302919314623
19,25.0037,3.39897,1.72047,-3.0700044779195426,25.740648471156792
21,31.1099,3.37214,2.0112,-2.938766308403735,31.845496940346028
22,31.1768,3.77276,1.94654,-3.3381837889148294,31.919237503553596
23,31.3366,3.53466,1.93782,-3.0973861230425013,32.07494278320216
25,37.2148,3.53331,2.20496,-2.9955228815702584,37.95226027867037
26,37.2834,3.91085,2.32748,-3.3718346675790882,38.027305940176184
27,37.4545,3.68176,2.24444,-3.13985246167124,38.1944636329161
29,43.1413,3.62992,2.62361,-2.9907794189556944,43.87954576543938
30,43.1897,4.00607,2.49064,-3.3660468151953946,43.93437061217402
31,43.369,3.77885,2.55488,-3.135794121159427,44.10975908183259
32,49.0846,3.95394,2.98116,-3.213125438739508,49.82751736068816
33,48.8283,3.80798,2.8581,-3.0715693439109044,49.56875901083858
35,48.9945,3.75062,2.6489,-3.0113758171199683,49.73395389251616
37,52.6137,3.81702,2.91672,-3.0158801171786043,53.353760145795604
38,52.5942,4.21146,2.99894,-3.410595885657884,53.34100766706355
39,52.8122,4.00681,2.98936,-3.202248146675867,53.55547641108254
40,61.0145,4.13205,3.55323,-3.1872157821291403,61.75871871980512
41,61.081,4.00999,3.29642,-3.064036520649541,61.823121849708414
43,61.3502,4.08159,3.33304,-3.1310229055567085,62.09350680534957
45,67.0935,4.10418,3.55775,-3.0554028671698132,67.83635338243086
47,67.3591,4.21565,3.56904,-3.1623149805803488,68.10382061576252
49,73.0988,4.10959,3.8609,-2.9581253091109345,73.84086788693479
50,73.1288,4.51597,3.85551,-3.3639329137471026,73.87781233739024
51,73.3236,4.29561,3.85477,-3.140274176717345,74.06881584246347
53,78.8494,4.29721,4.04031,-3.0473863172600137,79.59383530356634
54,78.8509,4.69945,4.07804,-3.4495418588509703,79.60221312951846
55,79.0565,4.48742,4.10698,-3.2340272308832567,79.80415749322279
57,84.7613,4.46354,4.6315,-3.1126023118631174,85.50771509207641
58,84.6572,4.71203,4.32745,-3.36283602449775,85.40787933114332
59,84.9062,4.57801,4.40974,-3.224577879019327,85.65455127038422
61,90.7885,4.50603,4.67333,-3.05202485662156,91.53476043884595
62,90.9466,4.85479,4.55951,-3.398030457972191,91.69880089554486
63,91.051,4.60613,4.69109,-3.1476216403853305,91.7989337057259
65,96.9089,4.46973,4.94812,-2.911075260798302,97.65364490102019
67,97.1624,4.61381,4.94721,-3.0507995086906208,97.9095715134522
68,102.349,4.72005,5.55923,-3.0683364521843224,103.09722984387577
69,102.308,4.62145,5.28817,-2.970451941593368,103.05454984169242
71,102.498,4.82523,5.1956,-3.170953270219414,103.24800656972015
73,106.257,4.87291,5.61459,-3.1543498171561524,107.00727228362577
74,106.239,4.53376,5.41925,-2.8155571908977723,106.98347566846836
75,106.452,4.69714,5.54513,-2.975271140987983,107.19923821977554
77,114.696,4.86802,5.80501,-3.005159060482791,115.44495484640467
78,114.835,5.23735,5.89845,-3.3720582521169065,115.59024982938149
79,114.949,4.97594,5.84628,-3.1087371448150227,115.69976321919894
81,120.807,4.98517,6.07214,-3.017797763503528,121.5570645791963
82,120.903,5.35393,6.21276,-3.38486231081457,121.65935610234136
83,121.049,5.11278,6.13359,-3.1412510619896934,121.80121124657656
85,126.827,5.03258,6.33109,-2.9622627043035044,127.5769951074748
87,127.108,5.07878,6.35641,-3.0036510304001087,127.85874401423918
89,132.772,5.17088,6.57978,-2.9988868083155986,133.52349076164
90,132.888,5.55908,6.58598,-3.3850465262724927,133.64611177218654
91,133.026,5.30176,6.57827,-3.1254044364314306,133.77969158946053
93,138.786,5.18993,6.76056,-2.9150984916210425,139.5369372293892
94,138.688,5.56479,6.87469,-3.291579422293009,139.44536142232
95,138.943,5.41066,6.84137,-3.133111620850371,139.69768861626858
97,144.747,5.25008,7.09494,-2.873310431821543,145.49809422954934
98,144.656,5.64638,7.12208,-3.2711085323677365,145.41388400925604
99,144.908,5.48602,7.1498,-3.1064629398505597,145.6631051128261
100,149.252,5.56754,7.63443,-3.113691415521816,150.00786393922135
101,149.33,5.47476,7.37102,-3.019591230566309,150.08426605693637
103,149.203,5.71498,7.25891,-3.2619477275832938,149.96139223241033
104,-0.775182,2.03268,0.638667,-2.1447165358607703,-0.057827215563628465
105,-0.622211,1.7841,0.636916,-1.8935571737208245,0.09087086125801536
106,-0.553716,2.16669,0.517308,-2.2749200168284363,0.16589788986690346
107,-0.378175,1.93746,0.572115,-2.042721893145917,0.33749353940184185
108,4.07422,2.26628,0.890823,-2.295360727622768,4.794860188864188
109,4.14511,1.98784,0.912777,-2.0157492634562284,4.860978679520313
110,4.32309,2.31207,0.752162,-2.336888515995676,5.044476782448939
111,4.42146,2.06971,0.893485,-2.0928818864404812,5.138688200191767
112,10.1422,2.3112,1.2371,-2.2365156053355473,10.86272112484344
113,10.2626,2.04465,1.25936,-1.967945813642563,10.978545688257196
114,10.3111,2.35113,1.00892,-2.273551686027238,11.032279208186578
115,10.5075,2.18844,1.17121,-2.1075271584022928,11.22586859923607
116,16.1423,2.31253,1.31243,-2.1352475604468992,16.86196662423621
