id,x,y,z
0,-0.816315,0.826296,0.918773
1,-0.54888,0.72898,0.86098
3,-0.511196,0.652766,1.13641
4,6.76394,1.22027,1.31371
5,6.91234,0.980013,1.36884
7,6.8958,1.04165,1.65341
8,12.654,1.52214,1.48118
9,12.898,1.49595,1.65109
11,13.0358,1.51757,1.38805
12,18.6011,2.09976,1.56522
13,18.7273,1.85295,1.61523
15,18.9664,1.96528,1.47936
16,24.5544,2.57542,1.78799
17,24.6339,2.30464,1.82546
19,24.8843,2.40935,1.94934
20,30.7518,3.10694,1.95103
21,30.7784,2.82471,1.96248
23,31.0591,2.84447,1.9489
24,36.7156,3.49406,2.3149
25,36.7717,3.21754,2.36603
27,36.9871,3.22972,2.17579
28,42.5569,3.891,2.5649
29,42.7598,3.68164,2.59714
31,42.9558,3.8901,2.63131
32,48.1694,4.3546,2.4273
33,48.2438,4.08953,2.42801
35,48.4973,4.13536,2.3143
36,52.181,4.50203,2.628
37,52.1617,4.39079,2.37121
39,52.4395,4.38259,2.32643
40,60.6995,5.33337,2.2185
41,60.7733,5.06505,2.2337
43,61.045,5.11458,2.17581
44,66.7357,5.69229,2.27721
45,66.8168,5.42184,2.35311
46,67.0024,5.73582,2.1683
47,67.0006,5.44997,2.11652
48,72.7542,6.1998,2.45805
49,72.813,5.92774,2.50053
51,72.5648,5.88762,2.64335
52,78.2917,6.53303,2.20881
53,78.4374,6.36101,2.39467
55,78.6585,6.37348,2.20388
56,84.1759,7.06035,2.07881
57,84.2945,6.8061,2.06465
59,84.5537,6.91007,2.10861
60,90.2285,7.41739,1.93155
61,90.2927,7.14406,1.94962
63,90.4395,7.17527,2.19192
64,95.8843,7.83149,2.19717
65,96.0158,7.57952,2.24584
67,96.258,7.68572,2.12085
68,101.502,8.26011,2.00226
69,101.552,7.99157,1.99802
71,101.831,8.00731,2.0378
72,105.352,8.52491,2.29086
73,105.434,8.259,2.31376
75,105.647,8.30078,2.11207
76,113.995,9.19404,1.84244
77,114.066,8.92411,1.92152
79,114.256,8.91106,1.70447
80,119.851,9.62904,1.58756
81,119.952,9.36583,1.60203
83,120.192,9.43105,1.46816
84,125.823,10.0363,1.41286
85,125.872,9.76348,1.41776
87,126.147,9.78661,1.367
88,131.886,10.4922,1.33325
89,131.984,10.2312,1.39557
91,132.071,10.2054,1.12352
92,137.655,10.9006,1.21432
93,137.843,10.6882,1.27511
95,137.873,10.6696,0.97415
96,143.526,11.293,1.17355
97,143.756,11.1637,1.29731
99,143.86,11.1129,1.02542
100,148.195,11.6327,1.42462
101,148.055,11.3895,1.33625
103,148.248,11.3696,1.11828
104,-0.523344,-0.276132,0.764406
105,-0.545891,-0.534557,0.910675
106,-0.235706,-0.291541,0.862333
107,-0.374662,-0.394068,1.11206
108,4.32201,0.00870234,1.31881
109,4.22492,-0.265927,1.29037
110,4.15743,0.0394419,1.56086
111,4.12259,-0.244185,1.55671
112,9.89747,0.454905,1.80311
113,9.98268,0.205007,1.67418
114,10.0925,0.593136,1.62774
115,10.2328,0.340689,1.61889
116,15.8435,0.933318,1.58644
117,15.8553,0.646917,1.56958
118,16.1325,0.935958,1.59751
119,16.1123,0.662802,1.70483
120,21.7745,1.25488,1.82621
121,21.7973,0.972795,1.85666
122,22.0593,1.28476,1.87149
123,22.0658,1.0114,1.94875
124,27.7987,1.8222,2.24192
125,27.7767,1.53402,2.25212
126,28.0336,1.79128,2.06021
127,28.0411,1.51608,2.13087
128,33.8516,2.14241,2.18641
129,33.9245,1.87143,2.21724
130,34.1078,2.20111,2.08054
131,34.2216,1.96724,2.22157
132,39.8321,2.72981,2.43626
133,39.8444,2.44568,2.4592
134,39.9689,2.75869,2.6918
135,39.9856,2.47307,2.70968
136,48.3044,3.28337,2.48278
137,48.3392,3.00317,2.49867
138,48.5938,3.31866,2.46033
139,48.6305,3.03667,2.48976
140,52.306,3.51941,2.58933
141,52.2531,3.23869,2.56908
142,52.5257,3.48813,2.39907
143,52.409,3.23056,2.32375
144,57.9334,4.07128,2.34503
145,57.8951,3.79315,2.36944
146,58.1259,4.06483,2.57841
147,58.0614,3.78986,2.61421
148,63.8989,4.4367,2.30896
149,63.944,4.15465,2.28757
150,64.131,4.47498,2.134
152,69.9297,4.86586,2.33847
153,69.9288,4.58729,2.39972
154,70.0403,4.91822,2.60325
155,70.156,4.64647,2.5966
157,75.9637,5.05969,2.53004
158,75.8903,5.46083,2.59479
159,75.7478,5.21581,2.61839
160,81.3757,5.82085,2.1936
161,81.3894,5.53345,2.19071
162,81.6632,5.82631,2.17794
163,81.6646,5.55089,2.26928
164,87.2554,6.24196,2.2191
165,87.3123,5.97134,2.11989
166,87.5428,6.24963,2.29668
167,87.5293,5.96381,2.32143
168,93.2482,6.53918,2.12234
169,93.2789,6.25244,2.15033
170,93.3828,6.57868,2.36345
171,93.3471,6.29807,2.43054
172,101.669,7.29364,2.1013
173,101.589,7.01476,2.09967
174,101.943,7.2121,2.06086
175,101.865,6.93689,2.10399
176,105.457,7.46153,2.36533
177,105.512,7.18128,2.36427
178,105.716,7.51637,2.24234
179,105.766,7.23223,2.23429
180,111.138,7.92408,1.9636
181,111.174,7.64191,1.94761
182,111.379,7.9428,2.12761
183,111.349,7.65803,2.18497
184,117.038,8.35685,1.69371
185,117.013,8.0734,1.68779
186,117.299,8.33066,1.56249
187,117.29,8.04897,1.62021
188,123.012,8.74228,1.60697
189,122.971,8.45652,1.62656
190,123.29,8.69963,1.66975
191,123.237,8.42221,1.72194
192,128.959,9.14472,1.5711
193,129.047,8.88474,1.66964
194,129.216,9.17748,1.4439
195,129.285,8.9068,1.50875
196,135.044,9.67107,1.42464
197,135.051,9.37684,1.38415
198,135.053,9.68166,1.12891
199,134.93,9.41342,1.14646
200,140.749,10.1023,1.30831
201,140.759,9.81556,1.30968
202,140.92,10.0962,1.06852
203,140.921,9.80856,1.08505
204,148.085,10.5444,1.31792
205,148.097,10.259,1.31723
206,148.332,10.5484,1.15891
207,148.374,10.2726,1.2492
208,-0.281261,-1.35904,0.841662
209,-0.309795,-1.60306,1.01361
210,0.00297399,-1.38303,0.894947
211,-0.0918637,-1.47493,1.16701
212,7.02336,-0.832151,1.64079
213,7.01964,-1.11852,1.60517
214,7.23979,-0.812385,1.45075
215,7.27062,-1.09604,1.45873
216,13.1462,-0.672795,1.61399
217,12.9059,-0.505594,1.58662
218,13.2867,-0.461785,1.46948
219,13.1011,-0.279846,1.55979
220,18.9352,-0.00066386,1.88481
221,18.9794,-0.287273,1.86125
222,19.1931,0.046783,1.76896
223,19.2553,-0.225945,1.77949
224,25.0732,0.216134,1.78554
225,25.065,0.128705,2.06879
226,25.0452,0.490834,1.90452
227,25.2207,0.379915,2.11016
228,30.9704,0.912504,2.06913
229,30.9653,0.621294,2.09055
230,31.2425,0.915982,2.06727
