"Point Name","X (East)","Y (North)","Z (Elevation)"
"c0",0,0,0
"c1",0.024,51.851,-0.976
"c2",-0.088,105.371,-2.305
"c3",0.032,153.022,-3.616
"c4",8.519,152.878,-3.611
"c5",8.366,105.518,-2.281
"c6",8.439,52.443,-0.913
"c7",8.78,-1.543,0.058
"t0",-1.041,-0.365,0.35
"t051",10.4,20.998,0.063
"t06",4.242,42.725,-0.471
"t061",10.381,32.899,-0.132
"t09",4.129,51.146,-0.666
"t1",-1.039,-0.365,0.351
"t10",-2.552,51.663,-0.668
"t12",4.165,53.078,-0.69
"t131",1.817,56.346,-0.696
"t14",4.099,104.208,-1.988
"t17",-3.592,105.287,-1.995
"t18",-2.744,96,-1.779
"t2",-3.575,3.71,0.189
"t20",4.097,106.147,-1.994
"t23",-2.366,138.226,-2.933
"t27",3.887,151.134,-3.259
"t28",-1.91,151.185,-3.363
"t32",9.562,152.413,-3.235
"t35",9.938,146.428,-3.148
"t37",-2.581,111.356,-2.16
"t4",4.296,3.973,0.178
"t40",11.177,10.573,0.044
"t44",11.056,95.487,-1.792
"t49",11.793,52.612,-0.736
"t51",10.15,0.147,0.281
"t53",4.277,-0.073,0.262
"t54",4.203,117.442,-2.293
"t62",11.148,58.85,-0.883
"t64",11.333,67.73,-1.138
"t67",-2.615,60.344,-0.891
"t71",10.033,111.357,-2.156
"t72",4.166,132.027,-2.736
"t75",10.407,105.364,-2.034
"t77",11.576,43.162,-0.636
"a103",-3.164,150.174,-2.746
"a105",-2.011,0.29,0.813
"a109",-2,4.977,0.821
"a135",-1.971,41.074,0.127
"a141",-2.011,53.375,-0.168
"a177",-2.006,106.992,-1.451
"a185",-2.055,118.575,-1.808
"a1",-3.007,0.204,0.874
"a203",-2.096,142.713,-2.519
"a231",-0.934,32.217,0.295
"a245",-0.929,53.485,-0.144
"a249",-0.947,62.027,-0.338
"a275",-0.995,97.772,-1.306
"a293",-1.01,127.543,-2.085
"a303",-1.03,139.701,-2.408
"a316",1.002,5.131,0.803
"a321",1.095,11.13,0.691
"a338",0.962,35.322,0.193
"a348",0.909,53.606,-0.099
"a352",0.916,59.159,-0.285
"a374",0.92,88.799,-1.082
"a388",0.902,112.62,-1.619
"a396",0.873,124.628,-1.923
"a402",0.869,130.73,-2.125
"a447",1.975,44.396,-0.014
"a45",-3.059,67.676,-0.59
"a489",1.934,107.023,-1.361
"a515",1.907,145.728,-2.485
"a521",3.107,0.654,0.843
"a530",3.232,11.346,0.683
"a620",3.137,142.762,-2.439
"a623",2.999,150.186,-2.645
"a626",6.525,0.915,0.762
"a628",6.384,54.017,-0.177
"a629",6.544,54.001,-0.113
"a639",6.391,150.194,-2.754
"a640",9.528,1.104,0.717
"a644",9.46,54.208,-0.21
"a650",9.455,103.191,-1.483
"a658",10.653,1.163,0.744
"a660",10.486,54.278,-0.108
"a666",10.434,103.148,-1.433
"b0",0,5.477,-0.105
