"id","x","y","z"
1,-0.81873,2.82931,0.559596
2,-0.608695,2.71981,0.725172
3,-0.64638,3.06457,0.518787
4,-0.413695,2.88615,0.575704
6,7.12358,3.06501,0.838872
8,7.41826,3.08474,0.857212
10,13.1797,3.19949,1.10879
12,13.442,3.28704,1.14273
14,19.1151,3.05972,1.42418
16,19.3029,3.27172,1.36556
18,25.143,3.20558,1.52829
19,25.0328,3.59525,1.61152
20,25.0725,3.35541,1.76219
22,31.126,3.39971,2.04233
23,31.215,3.78077,1.91768
24,31.3697,3.54931,1.99112
26,37.1726,3.51059,2.24226
27,37.2506,3.89758,2.15389
28,37.4141,3.66663,2.24121
30,43.1304,3.60194,2.65897
31,43.193,3.89507,2.38747
32,43.3651,3.72485,2.55442
33,49.1352,3.9606,3.00961
34,48.8501,3.82588,2.88763
36,49.0147,3.76921,2.67527
38,52.5734,3.80017,2.9576
39,52.5669,4.1952,3.03822
40,52.7798,3.98475,3.02395
41,60.9836,4.11601,3.57609
42,61.058,4.0178,3.31127
44,61.3197,4.12036,3.35121
46,67.0946,4.07973,3.55049
48,67.3466,4.21707,3.55747
50,73.0973,4.13395,3.90436
51,73.0907,4.54,3.87615
52,73.302,4.33562,3.85456
54,78.8127,4.30612,4.05126
55,78.8594,4.70399,4.10049
56,79.0427,4.47059,4.11173
58,84.7251,4.41215,4.43404
59,84.7086,4.8115,4.36829
60,84.9257,4.61591,4.41183
62,90.8111,4.52598,4.68009
63,90.9649,4.87477,4.55752
64,91.0663,4.63711,4.71104
66,96.9609,4.59237,4.95615
68,97.2167,4.68215,5.00596
70,102.302,4.58933,5.2821
71,102.189,4.97583,5.22377
72,102.447,4.83179,5.20955
74,106.302,4.91149,5.62512
75,106.064,4.65907,5.43582
76,106.351,4.67607,5.51002
78,114.734,4.78904,5.96966
79,114.792,5.19431,5.94482
80,114.899,4.96479,5.81238
82,120.739,5.04114,6.04613
83,120.921,5.30232,6.29909
84,121.009,5.11285,6.09364
86,126.723,4.93756,6.35403
88,126.984,5.06465,6.34414
90,132.973,5.11587,6.60665
91,132.793,5.47987,6.57465
92,133.068,5.37356,6.60693
94,138.843,5.25796,6.86925
96,139.125,5.27548,6.8688
98,144.794,5.28992,7.1207
99,144.808,5.69146,7.05073
100,145.004,5.49271,7.14485
101,149.291,5.56375,7.63663
102,149.361,5.47496,7.36975
104,149.225,5.71351,7.26503
105,-0.752262,2.06952,0.606568
106,-0.616493,1.81653,0.645898
107,-0.516873,2.17411,0.482177
108,-0.359323,1.94116,0.566218
109,4.13497,2.25954,0.870081
110,4.18165,1.97397,0.889633
111,4.34546,2.26191,0.668601
112,4.45825,2.03149,0.826679
113,10.0551,2.30566,1.121
114,10.2512,2.10735,1.14354
115,10.2372,2.50093,1.22909
116,10.452,2.29488,1.21989
117,16.1374,2.39579,1.28871
118,16.2456,2.1315,1.33718
119,16.3383,2.50193,1.46749
120,16.4911,2.25223,1.4091
121,22.0124,2.28239,1.67516
122,22.2429,2.10805,1.66593
123,22.1878,2.50455,1.63267
124,22.4239,2.31826,1.67167
125,28.0011,2.48501,1.97192
126,28.1944,2.266,1.96279
127,28.2217,2.66346,1.92838
128,28.4089,2.44019,2.004
129,34.0506,2.70976,2.13926
130,34.2108,2.45295,2.15136
131,34.2912,2.81914,2.04101
132,34.4457,2.60385,2.18658
133,40.0196,2.75535,2.47062
134,40.2337,2.53964,2.49139
135,40.2356,2.91337,2.36794
136,40.4174,2.75193,2.54456
137,48.4663,2.77236,2.77181
138,48.7234,2.64989,2.86073
139,48.5926,3.03192,2.80842
140,48.8557,2.90172,2.80876
141,52.4285,2.93855,2.99144
142,52.6187,2.73277,3.07399
143,52.6455,3.13001,3.01448
144,52.8402,2.90411,3.03809
145,57.9156,3.09479,3.19093
146,58.0725,2.87141,3.28891
147,58.1641,3.24209,3.15571
148,58.3098,3.02243,3.2853
149,63.9633,3.2137,3.38721
150,64.1269,3.02972,3.54417
151,64.1828,3.40449,3.40756
152,64.3619,3.18057,3.48147
153,69.9338,3.32365,3.64633
154,70.06,3.08713,3.75818
155,70.1924,3.45837,3.65764
156,70.3174,3.21198,3.75077
157,75.9881,3.4334,4.11001
158,76.1536,3.19899,4.05834
159,76.2268,3.59098,4.07619
160,76.3917,3.34591,4.13666
161,81.6355,3.48692,4.27902
162,81.8298,3.27267,4.24433
163,81.8471,3.68129,4.26851
164,82.0471,3.46818,4.26123
165,87.6994,3.69249,4.43455
166,87.8095,3.48127,4.60098
167,87.9638,3.82303,4.46069
168,88.0511,3.60544,4.63305
169,93.6501,3.68835,4.89914
170,93.8381,3.51843,5.04497
171,93.848,3.89984,4.91148
172,94.0543,3.6944,4.96279
173,102.125,3.8467,5.32687
174,102.326,3.64283,5.27221
175,102.34,4.03927,5.36525
176,102.539,3.83154,5.31502
177,106.207,3.95872,5.7243
178,106.183,3.6653,5.68907
179,106.303,3.93747,5.44276
180,106.44,3.69325,5.57021
181,111.634,4.02563,5.79186
182,111.815,3.79757,5.80821
183,111.871,4.1904,5.77251
184,112.036,3.95204,5.85567
185,117.633,4.16239,6.05793
186,117.798,3.95129,5.9469
187,117.879,4.29811,6.1319
188,118.036,4.0689,6.02452
189,123.714,4.10304,6.26465
190,124.022,4.09648,6.28892
191,123.75,3.84156,6.39013
192,123.996,3.82964,6.21991
193,129.589,4.23091,6.52545
194,129.79,4.01924,6.55973
195,129.809,4.40951,6.46008
196,129.995,4.21594,6.58406
197,135.621,4.40639,6.7669
198,135.795,4.17427,6.77689
199,135.842,4.56372,6.87446
200,136.023,4.33647,6.8231
201,141.58,4.44049,7.00669
202,141.777,4.22433,7.00991
203,141.789,4.62545,7.08154
204,141.989,4.41165,7.0557
205,149.186,4.66978,7.43526
206,149.308,4.41991,7.4886
207,149.431,4.78107,7.33643
208,149.569,4.53702,7.43362
209,-0.522447,0.95357,0.632671
210,-0.337058,0.723203,0.642988
211,-0.291377,1.11418,0.571976
212,-0.119483,0.89753,0.688986
213,7.46677,1.21078,1.0419
214,7.26699,1.01196,1.14832
215,7.39567,1.10849,0.781253
216,7.36429,0.848826,0.924739
217,13.2226,1.21368,1.20596
218,13.4578,1.05208,1.21703
219,13.3789,1.44592,1.27475
220,13.6111,1.26299,1.32604
221,19.2929,1.32449,1.55566
222,19.3738,1.06534,1.57305
223,19.5499,1.43187,1.61259
224,19.6533,1.15687,1.57689
225,25.3052,1.40892,1.90119
226,25.38,1.15041,1.90415
227,25.5093,1.47797,1.71478
228,25.6565,1.24316,1.84257
229,31.2755,1.51574,2.07078
230,31.4752,1.33281,2.12816
231,31.4679,1.71498,1.99995
232,31.6815,1.51211,2.06749
233,37.2449,1.61736,2.25303
234,37.4631,1.44159,2.27387
235,37.426,1.83817,2.21259
236,37.6322,1.6607,2.34829
237,43.2629,1.75014,2.69296
238,43.4737,1.59498,2.77301
