id,x,y,z
0,-0.826591,2.83112,0.543228
1,-0.624261,2.71644,0.715287
2,-0.660408,3.07387,0.532711
3,-0.424458,2.8951,0.587187
5,7.06578,3.01305,0.985398
7,7.32618,3.1483,0.98576
9,13.434,3.29447,1.19546
11,13.3956,3.0362,1.11264
13,19.0577,3.11125,1.44105
15,19.3179,3.22139,1.38232
17,25.1681,3.25932,1.63411
18,25.1944,3.67225,1.61042
19,25.0291,3.48606,1.74391
21,31.1241,3.38907,2.02062
22,31.2332,3.77272,1.91928
23,31.374,3.53528,2
25,37.2052,3.52243,2.24725
26,37.2659,3.90994,2.15272
27,37.437,3.6863,2.24694
29,43.1043,3.64491,2.58158
30,43.2316,3.98065,2.40057
31,43.3559,3.76541,2.56025
32,49.0582,3.9916,3.02679
33,48.7963,3.84741,2.91143
35,48.9561,3.77326,2.70594
37,52.6018,3.79767,2.98868
38,52.6091,4.19657,3.04239
39,52.8145,3.97736,3.04658
40,60.9843,4.1141,3.55779
41,61.0684,4.03741,3.29002
43,61.3229,4.14801,3.33781
45,67.1022,4.0937,3.54046
47,67.3665,4.20513,3.57618
49,73.0492,4.14836,3.86768
50,73.079,4.5473,3.94637
51,73.2738,4.33188,3.90286
53,78.8,4.2367,4.21523
54,78.8437,4.60979,4.05793
55,79.0294,4.41362,4.17368
57,84.7283,4.40411,4.48639
58,84.7273,4.77672,4.3266
59,84.9333,4.59998,4.4437
61,90.7829,4.53845,4.70657
62,90.9887,4.84801,4.55681
63,91.0565,4.60346,4.71435
65,96.9343,4.53696,4.92471
67,97.2054,4.64218,4.92622
68,102.3,4.7438,5.50494
69,102.337,4.62171,5.24343
71,102.555,4.81469,5.19681
73,106.335,4.88165,5.70299
74,106.149,4.66043,5.43541
75,106.408,4.65467,5.58196
77,114.635,4.8954,5.91795
78,114.833,5.23657,5.83256
79,114.903,4.97472,5.9387
81,120.725,5.03679,6.15751
82,120.955,5.34635,6.03772
83,120.996,5.09915,6.18961
85,126.743,4.94333,6.3886
87,126.997,5.08029,6.35441
89,132.968,5.09594,6.60606
90,132.822,5.47564,6.58826
91,133.088,5.34493,6.6038
93,138.756,5.1968,6.82108
94,138.667,5.58568,6.89249
95,138.914,5.41965,6.88929
97,144.779,5.24731,7.09047
98,144.71,5.64768,7.1149
99,144.957,5.47762,7.11895
100,149.28,5.55068,7.57208
101,149.367,5.43134,7.32884
103,149.626,5.55373,7.34862
104,-0.781844,2.06656,0.63162
105,-0.645241,1.81027,0.635929
106,-0.553348,2.18159,0.504168
107,-0.389093,1.94685,0.575755
108,4.11081,2.27159,0.941127
109,4.15764,1.98523,0.953943
110,4.33309,2.28353,0.754642
111,4.43458,2.0443,0.904468
112,10.2299,2.39849,1.35014
113,10.2576,2.10084,1.33304
114,10.2369,2.38159,1.056
115,10.4583,2.18263,1.13746
116,16.1299,2.29621,1.29704
117,16.2916,2.06323,1.33333
118,16.331,2.45456,1.42661
119,16.5192,2.22188,1.39643
120,22.0004,2.34455,1.68297
121,22.2267,2.16547,1.66924
122,22.181,2.56491,1.70125
123,22.4139,2.3717,1.68717
124,28.0156,2.50546,1.96962
125,28.1961,2.27616,1.93297
126,28.2435,2.67181,1.90799
127,28.4193,2.43943,1.98051
128,34.0377,2.66312,2.13778
129,34.1949,2.41399,2.18444
130,34.2765,2.77045,2.03486
131,34.4355,2.56305,2.18783
132,40.0604,2.75753,2.46615
133,40.2639,2.53566,2.47478
134,40.2819,2.92209,2.38993
135,40.4659,2.72796,2.52557
136,48.4073,2.75495,2.83571
137,48.6905,2.65796,2.88421
138,48.5328,3.01952,2.80164
139,48.7695,2.87217,2.70444
140,52.5067,2.91626,3.0151
141,52.7452,2.75969,3.09285
142,52.6824,3.14719,3.00569
143,52.9202,2.96147,3.02244
144,57.9241,3.07509,3.2295
145,58.0861,2.84782,3.30555
146,58.1625,3.23885,3.23275
147,58.3257,3.00152,3.2968
148,63.9461,3.29007,3.43268
149,64.0939,3.05955,3.5292
150,64.1877,3.44746,3.47026
151,64.344,3.19654,3.48208
152,69.9378,3.32849,3.67933
153,70.0533,3.08527,3.78882
154,70.206,3.44393,3.67686
155,70.3178,3.19304,3.76602
156,76.0375,3.44777,4.13261
157,76.1921,3.20221,4.12805
158,76.285,3.58701,4.0835
159,76.436,3.34849,4.19037
160,81.6599,3.50537,4.22808
161,81.8503,3.29159,4.28461
162,81.8815,3.68791,4.19092
163,82.0618,3.49306,4.31129
164,87.7249,3.70886,4.44865
165,87.8325,3.49928,4.61766
166,87.9837,3.8455,4.48653
167,88.0817,3.61102,4.63667
168,93.6477,3.65943,4.86828
169,93.8502,3.4941,5.0077
170,93.8324,3.88156,4.9088
171,94.0531,3.68104,4.91879
172,102.185,3.84831,5.3442
173,102.377,3.63874,5.2772
174,102.406,4.0133,5.43446
175,102.596,3.82055,5.32104
176,106.266,3.96184,5.7714
177,106.25,3.66507,5.74276
178,106.358,3.93228,5.48722
179,106.507,3.6973,5.62403
180,111.604,3.94578,5.78057
181,111.758,3.72927,5.90082
182,111.851,4.08917,5.73446
183,112.002,3.87516,5.86673
184,117.638,4.18259,6.03124
185,117.786,3.93291,6.04064
186,117.896,4.31841,6.05889
187,118.024,4.053,6.10221
188,123.729,4.07608,6.16518
189,123.975,4.08074,6.36865
190,123.945,3.96741,6.00262
191,124.046,3.84586,6.25371
192,129.588,4.20604,6.55608
193,129.793,3.99443,6.5364
194,129.796,4.39556,6.49655
195,129.998,4.19165,6.56759
196,135.553,4.36934,6.8045
197,135.724,4.14024,6.73905
198,135.79,4.52005,6.87541
199,135.959,4.29468,6.79861
200,141.556,4.42153,6.99442
201,141.753,4.20681,7.01114
202,141.767,4.61415,7.03516
203,141.966,4.39792,7.04844
204,149.385,4.6562,7.44705
205,149.28,4.39232,7.43465
206,149.127,4.76901,7.372
207,149.015,4.50021,7.37152
208,-0.563463,0.97183,0.651682
209,-0.394523,0.730979,0.655002
210,-0.326299,1.12005,0.588153
211,-0.161571,0.890432,0.691243
212,7.31748,1.22139,1.14919
213,7.12494,0.992577,1.15618
214,7.35994,1.15148,0.86945
215,7.31777,0.874475,0.967694
216,13.4507,1.28704,1.3018
217,13.3929,1.02106,1.24438
218,13.268,1.36557,1.08533
219,13.3209,1.10337,0.969954
220,19.3382,1.25558,1.55391
221,19.5438,1.07598,1.59194
222,19.4949,1.46708,1.67681
223,19.7218,1.27012,1.67949
224,25.2894,1.4256,1.88847
225,25.3949,1.17965,1.91918
226,25.5356,1.54145,1.80139
227,25.6676,1.29333,1.90446
228,31.3128,1.51242,2.08717
229,31.4888,1.30053,2.12685
230,31.5268,1.67618,1.98858
231,31.7154,1.45256,2.05868
232,37.2226,1.63631,2.28188
233,37.3908,1.41369,2.32102
234,37.4404,1.79122,2.17744
235,37.6231,1.58147,2.28313
236,43.366,1.7941,2.71233
237,43.4755,1.54951,2.77543
238,43.2531,1.67439,2.46903
239,43.4285,1.43555,2.53244
240,48.6178,1.76224,2.86782
241,48.8464,1.6112,2.91575
242,48.7706,2.00623,2.84895
243,49.015,1.84161,2.87623
244,52.6019,1.90621,3.12189
245,52.813,1.73198,3.10131
246,52.7752,2.13842,3.11173
247,52.9982,1.95248,3.1605
248,61.2475,2.08464,3.47898
249,61.4783,1.9399,3.50132
250,61.3823,2.30524,3.35108
251,61.6389,2.17091,3.43554
252,67.2519,2.25548,3.75739
253,67.3479,1.9865,3.72986
254,67.4493,2.33584,3.56139
255,67.6102,2.10391,3.66558
256,73.2069,2.33173,4.03505
257,73.3199,2.08547,4.0534
258,73.4314,2.4364,3.89374
259,73.5834,2.20721,4.01953
260,78.9146,2.47634,4.32728
261,78.9065,2.18938,4.30655
262,79.0303,2.46604,4.05892
263,79.17,2.22007,4.18395
264,84.9047,2.61285,4.56147
265,84.8209,2.33345,4.6201
266,84.9284,2.53077,4.28626
267,85.0052,2.26515,4.4007
268,90.944,2.6773,4.85116
269,90.873,2.40672,4.81409
270,91.0934,2.64598,4.60237
271,91.1514,2.37333,4.73591
272,96.7602,2.7246,4.99235
273,96.988,2.5194,4.97189
274,96.9709,2.91168,4.96329
275,97.1644,2.71069,5.07178
276,102.236,2.83387,5.26063
277,102.418,2.60673,5.25384
278,102.439,2.97248,5.41928
279,102.637,2.76328,5.3386
280,106.406,2.98478,5.80297
281,106.644,2.8055,5.76725
282,106.29,2.8497,5.56531
283,106.427,2.6159,5.68198
284,114.911,3.05228,6.09835
285,114.896,2.76841,6.10461
286,114.901,3.02663,5.80575
287,115.045,2.76354,5.8755
288,120.952,3.15554,6.23167
289,120.82,2.90475,6.19961
290,121.088,3.07971,5.98149
291,121.085,2.80814,6.12061
292,126.802,3.17779,6.45587
293,126.806,2.89294,6.44958
294,126.911,3.15994,6.18038
295,127.053,2.92032,6.2969
296,132.824,3.1864,6.68089
297,133.045,3.0289,6.68264
298,132.976,3.41771,6.60324
299,133.22,3.25142,6.6782
300,138.714,3.31936,6.95179
301,138.925,3.15188,6.95318
302,138.881,3.55248,6.95306
303,139.112,3.36083,6.99823
304,144.692,3.40252,7.15311
305,144.91,3.23517,7.18021
306,144.856,3.63871,7.17813
307,145.093,3.45905,7.16489
308,149.252,3.56485,7.42087
309,149.363,3.30822,7.4437
310,149.506,3.6861,7.36585
311,149.631,3.42439,7.41545
312,-0.15994,-1.19835,0.778614
313,-0.404118,-1.05837,0.706092
314,0.00384026,-1.00427,0.695498
315,-0.229669,-0.838639,0.621104
