Point Name,X (East),Y (North),Z (Elevation),Z,x_lio,y_lio,z_lio
a104,-3.164,150.174,2.746,2.746,151.5224136813945,3.448467404426169,4.704530096774194
a106,-2.011,0.29,-0.813,-0.813,3.192282208341398,2.372738669612533,1.145530096774194
a110,-2.0,4.977,-0.821,-0.821,7.8306709145471345,2.359810318058082,1.137530096774194
a134,-1.971,41.074,-0.127,-0.127,43.55331459389943,2.3153812807062373,1.8315300967741939
a142,-2.011,53.375,0.168,0.168,55.726764590872,2.3496061251149487,2.126530096774194
a178,-2.006,106.992,1.451,1.451,108.78772769233986,2.321293606508193,3.409530096774194
a184,-2.055,118.575,1.808,1.808,120.2506276251181,2.3647379952023337,3.766530096774194
a3,-3.007,0.204,-0.874,-0.874,3.1076080919134426,3.358447134373337,1.084530096774194
a202,-2.096,142.713,2.519,2.519,144.13832253298,2.3947943278499944,4.477530096774194
a230,-0.934,32.217,-0.295,-0.295,34.787714162313904,1.292995045723302,1.663530096774194
a246,-0.929,53.485,0.144,0.144,55.83515233974517,1.2787790644049017,2.102530096774194
a250,-0.947,62.027,0.338,0.338,64.28857543284826,1.2928700974234038,2.2965300967741937
a274,-0.995,97.772,1.306,1.306,99.66290307956,1.32479592112681,3.2645300967741937
a292,-1.01,127.543,2.085,2.085,129.12516967084727,1.326667226646267,4.043530096774194
a302,-1.03,139.701,2.408,2.408,141.15709393302487,1.3411617951995116,4.366530096774194
a318,1.002,5.131,-0.803,-0.803,7.98176569439696,-0.6111245698426337,1.1555300967741937
a322,1.095,11.13,-0.691,-0.691,13.918512581204208,-0.7057742636547532,1.2675300967741938
a338,0.962,35.322,-0.193,-0.193,37.85968757275735,-0.5846955476259122,1.7655300967741938
a350,0.909,53.606,0.099,0.099,55.95409657543321,-0.5402126970526754,2.057530096774194
a352,0.916,59.159,0.285,0.285,61.44950617781394,-0.5495599024077248,2.243530096774194
a375,0.92,88.799,1.082,1.082,90.78212302415527,-0.5664344724075084,3.040530096774194
a388,0.902,112.62,1.619,1.619,114.35609535570019,-0.559001481159348,3.577530096774194
a397,0.873,124.628,1.923,1.923,126.2395791136962,-0.5355348824070376,3.8815300967741937
a402,0.869,130.73,2.125,2.125,132.27830010886206,-0.5342353977502444,4.083530096774194
a447,1.975,44.396,0.014,0.014,46.839144290690975,-1.5911443629649835,1.9725300967741939
a44,-3.059,67.676,0.59,0.59,69.87991285232445,3.3805059841717844,2.548530096774194
a491,1.934,107.023,1.361,1.361,108.81668929596684,-1.577860160018133,3.319530096774194
a516,1.907,145.728,2.485,2.485,147.12031113254116,-1.5680064181032924,4.443530096774194
a524,3.107,0.654,-0.843,-0.843,3.550277107550261,-2.6923437657268052,1.115530096774194
a532,3.232,11.346,-0.683,-0.683,14.131341326556667,-2.8207066453271534,1.2755300967741938
a620,3.137,142.762,2.439,2.439,144.18453402457624,-2.7839582350672707,4.397530096774194
a624,2.999,150.186,2.645,2.645,151.5316036204894,-2.650624476784533,4.603530096774194
a627,6.525,0.915,-0.762,-0.762,3.807080966733604,-6.075011155339756,1.1965300967741939
a629,6.384,54.017,0.177,0.177,56.35844849364167,-5.9586133473332366,2.1355300967741937
a630,6.544,54.001,0.113,0.113,56.34254469925078,-6.116947096235806,2.071530096774194
a640,6.391,150.194,2.754,2.754,151.5380425442555,-6.007451250861952,4.712530096774194
a641,9.528,1.104,-0.717,-0.717,3.9928123435664578,-9.046950924495818,1.241530096774194
a645,9.46,54.208,0.21,0.21,56.54612731869938,-9.002796942033495,2.168530096774194
a651,9.455,103.191,1.483,1.483,105.02115164207169,-9.019193834097402,3.441530096774194
a659,10.653,1.163,-0.744,-0.744,4.0507102497171505,-10.160309830033581,1.2145300967741939
a661,10.486,54.278,0.108,0.108,56.6149542900872,-10.018187319778455,2.0665300967741937
a667,10.434,103.148,1.433,1.433,104.97817096008032,-9.988022383651588,3.391530096774194
