"Point Name","X (East)","Y (North)","Z (Elevation)","Z","x_lio","y_lio","z_lio"
"a104",-3.164,150.174,2.746,2.746,-151.519317992283,-3.58190597704828,4.70453009677419
"a106",-2.011,0.29,-0.813,-0.813,-3.19019139155955,-2.37554906857067,1.14553009677419
"a110",-2,4.977,-0.821,-0.821,-7.8285896845785,-2.3667055709697,1.13753009677419
"a134",-1.971,41.074,-0.127,-0.127,-43.5512586382565,-2.35373609691179,1.83153009677419
"a142",-2.011,53.375,0.168,0.168,-55.7246737740902,-2.39868161306826,2.12653009677419
"a178",-2.006,106.992,1.451,1.451,-108.7856412332,-2.41709783660437,3.40953009677419
"a184",-2.055,118.575,1.808,1.808,-120.248498461083,-2.47063713960257,3.76653009677419
"a3",-3.007,0.204,-0.874,-0.874,-3.10464923277238,-3.36118258188279,1.08453009677419
"a202",-2.096,142.713,2.519,2.519,-144.136157636278,-2.52173042653422,4.47753009677419
"a230",-0.934,32.217,-0.295,-0.295,-34.7865619816976,-1.3236307342425,1.66353009677419
"a246",-0.929,53.485,0.144,0.144,-55.8340045167712,-1.32795042049025,2.10253009677419
"a250",-0.947,62.027,0.338,0.338,-64.2874119223618,-1.34948604972608,2.29653009677419
"a274",-0.995,97.772,1.306,1.306,-99.6616977357068,-1.41256465870089,3.26453009677419
"a292",-1.01,127.543,2.085,2.085,-129.123951254067,-1.44038223839337,4.04353009677419
"a302",-1.03,139.701,2.408,2.408,-141.155858085675,-1.46547285012272,4.36653009677419
"a318",1.002,5.131,-0.803,-0.803,-7.9823007929046,0.604095101546156,1.15553009677419
"a322",1.095,11.13,-0.691,-0.691,-13.9191287318599,0.693516496048074,1.26753009677419
"a338",0.962,35.322,-0.193,-0.193,-37.8601878101261,0.551353763197699,1.76553009677419
"a350",0.909,53.606,0.099,0.099,-55.9545506217929,0.490935886022076,2.05753009677419
"a352",0.916,59.159,0.285,0.285,-61.4499663248729,0.495443493765933,2.24353009677419
"a375",0.92,88.799,1.082,1.082,-90.7825866573281,0.486485959822667,3.04053009677419
"a388",0.902,112.62,1.619,1.619,-114.356543301361,0.458292288816498,3.57753009677419
"a397",0.873,124.628,1.923,1.923,-126.240001785031,0.424360376159054,3.88153009677419
"a402",0.869,130.73,2.125,2.125,-132.278719294083,0.41774282475933,4.08353009677419
"a447",1.975,44.396,0.014,0.014,-46.840527386403,1.54989432917175,1.97253009677419
"a44",-3.059,67.676,0.59,0.59,-69.8769086737028,-3.44204520081907,2.54853009677419
"a491",1.934,107.023,1.361,1.361,-108.818036659011,1.48202891253929,3.31953009677419
"a516",1.907,145.728,2.485,2.485,-147.121634964317,1.43844266107264,4.44353009677419
"a524",3.107,0.654,-0.843,-0.843,-3.55264677349381,2.68921613040445,1.11553009677419
"a532",3.232,11.346,-0.683,-0.683,-14.1338199335594,2.80826062757028,1.27553009677419
"a620",3.137,142.762,2.439,2.439,-144.186929836374,2.65697943148787,4.39753009677419
"a624",2.999,150.186,2.645,2.645,-151.533879161358,2.51717544582074,4.60353009677419
"a627",6.525,0.915,-0.762,-0.762,-3.81242951699825,6.07165605108592,1.19653009677419
"a629",6.384,54.017,0.177,0.177,-56.3636741583916,5.90897833810019,2.13553009677419
"a630",6.544,54.001,0.113,0.113,-56.3479098085564,6.06732603145833,2.07153009677419
"a640",6.391,150.194,2.754,2.754,-151.543274309705,5.87399524767038,4.71253009677419
"a641",9.528,1.104,-0.717,-0.717,-4.00077809383586,9.04343110136056,1.24153009677419
"a645",9.46,54.208,0.21,0.21,-56.5540338050326,8.95299547086208,2.16853009677419
"a651",9.455,103.191,1.483,1.483,-105.029053770763,8.92670228372753,3.44153009677419
"a659",10.653,1.163,-0.744,-0.744,-4.0596564695188,10.1567385867184,1.21453009677419
"a661",10.486,54.278,0.108,0.108,-56.6237549646339,9.96832484161393,2.06653009677419
"a667",10.434,103.148,1.433,1.433,-104.986926315146,9.89556830900606,3.39153009677419
