id,x,y,z
3,1.25585,5.7387,-8.40695e-16
5,-1.80879,-1.67913,-1.53023e-16
7,8.05771,0.468568,2.35548e-18
9,3.49096,-1.3762,5.03409e-18
11,13.4041,-1.31417,1.34363e-16
13,10.1468,-1.62517,2.0633e-17
15,18.9592,-1.54531,-9.81245e-18
17,14.3161,-0.234541,-5.79897e-17
19,22.6203,0.509438,-2.67054e-17
21,20.3599,0.372803,-5.69984e-17
23,31.3284,2.56706,-8.42494e-18
25,24.9852,0.0759452,1.2538e-16
27,38.0208,1.71383,9.50479e-19
29,35.8825,0.997872,1.18082e-17
31,42.9383,0.411652,1.18707e-18
33,39.1625,0.553187,8.11627e-18
37,43.2071,-0.368972,4.99475e-18
39,53.7017,-1.08835,-4.14635e-19
41,52.3032,-0.720585,5.76235e-18
43,61.9065,-0.788464,-7.2725e-19
45,57.5047,-0.267841,6.35334e-18
47,67.3803,-0.298545,-1.48213e-18
49,63.9663,0.15248,5.03952e-18
51,73.1094,0.115087,6.35047e-19
53,68.8428,-0.00303263,4.12967e-18
55,78.5945,0.284527,-1.71028e-19
57,75.6228,0.1258,5.65414e-18
107,1.67199,-0.607156,3.27558e-16
109,-3.13085,0.523002,2.82529e-16
111,6.90121,0.293594,1.12905e-17
112,5.82928,-1.52987,-4.01853e-17
113,5.49714,-2.46351,6.68611e-17
115,13.0865,-0.281054,-3.58303e-17
117,16.2767,-0.629629,-2.20635e-18
119,16.5432,3.28556,3.36307e-16
121,16.4085,0.339487,1.84663e-17
123,23.13,-2.37514,6.06966e-18
125,20.9992,-1.77039,-2.56951e-16
127,35.6033,1.03614,-2.76732e-16
129,34.7608,-0.97815,9.23511e-17
131,34.9922,2.09792,1.03229e-18
133,36.1331,1.43851,4.54717e-18
135,41.0823,1.3231,-1.33041e-18
137,40.8724,0.249757,6.40318e-18
139,49.2221,-0.371873,-1.59254e-18
141,47.135,-0.321751,4.36287e-18
143,52.1022,1.09905,3.76732e-19
145,52.0483,-0.460224,4.08843e-18
147,57.54,1.26652,-6.61726e-20
149,58.5741,-0.188789,1.90648e-18
151,63.8681,1.34142,-1.4231e-19
153,64.4092,-0.14955,-1.56229e-19
155,69.5558,1.6064,3.06205e-19
157,70.3558,-0.0705205,-8.85686e-20
159,76.679,1.44884,2.47317e-19
161,76.3633,0.15234,1.41087e-18
163,81.4187,1.67488,1.32009e-19
165,80.9704,0.348529,4.93135e-18
209,1.38899,4.27499,-1.80489e-17
211,3.52937,2.84595,1.34487e-16
212,6.79497,-0.246556,1.14718e-16
213,2.49295,-6.3106,-2.60048e-16
215,8.88467,0.429122,-1.76025e-17
216,8.82182,-2.23762,-2.2711e-17
217,9.33902,-2.47566,1.21213e-17
219,14.6687,-1.29669,-3.20878e-16
220,12.4033,-2.45039,2.88009e-16
221,12.4552,-2.53408,-1.04216e-16
223,18.6723,0.141951,5.48153e-18
224,17.91,-2.64469,1.02386e-16
225,16.2945,-1.38455,-6.34704e-17
227,22.4271,-0.191289,-1.53793e-16
228,31.4323,4.2251,-1.36764e-16
229,21.0657,0.442047,-3.97171e-17
231,32.1175,3.27921,-1.32376e-17
232,29.5976,0.64665,-9.58487e-16
233,28.4336,1.08542,8.289e-16
235,39.243,0.969398,-2.91241e-18
236,39.7955,0.72448,2.90992e-18
237,37.9618,1.23632,5.6591e-18
239,42.4751,-0.0243914,8.9165e-19
240,44.4763,0.0057279,7.46166e-19
241,41.6097,0.184423,7.28093e-18
243,49.2989,1.15528,-1.73389e-18
244,48.0598,-0.398264,1.88501e-18
245,44.4114,-0.231708,6.95761e-18
247,53.7226,0.965029,-2.19672e-18
248,56.678,-0.370475,1.05375e-18
249,56.2588,-0.599118,3.11486e-18
251,62.6326,-0.394154,-1.04949e-17
252,62.6581,-0.114729,1.44901e-18
253,62.3951,-0.203579,3.52076e-18
255,68.4531,-0.525485,-9.3196e-18
256,68.0248,-0.411235,3.09998e-18
257,68.212,-0.507453,4.25426e-18
259,74.193,-0.293411,-7.21871e-18
260,75.6944,0.128833,-1.11194e-19
