id,x,y,z
1,-0.248311,2.87925,0.656877
2,-0.095549,3.26242,0.625811
3,0.0117824,3.00239,0.65082
5,7.11168,3.04762,0.847299
6,7.2606,3.40671,0.980466
7,7.31919,3.13173,1.02548
9,13.0267,2.84802,1.21712
10,13.1779,3.22587,1.21056
11,13.3005,2.96446,1.23173
13,18.9404,2.98172,1.28013
14,19.1435,3.33012,1.32459
15,19.227,3.05453,1.30208
17,24.875,2.93181,1.56288
18,25.2043,3.19251,1.56712
19,25.1682,2.91266,1.59989
21,30.9401,2.93657,1.8878
22,31.2655,3.20233,1.92468
23,31.2269,2.92336,1.95542
25,36.7185,3.07846,2.08066
26,37.0463,3.33101,2.10091
27,37.0186,3.04807,2.11623
29,42.5673,3.28555,2.15786
30,42.8963,3.14885,2.33374
31,42.802,3.40553,2.298
33,47.8754,3.10171,2.42457
35,47.8132,3.38842,2.41961
37,51.6975,3.04195,2.68232
105,-0.153033,2.01103,0.635165
106,0.101866,2.33738,0.624857
107,0.135957,2.0547,0.661687
109,4.47234,2.12609,0.857781
110,4.83563,2.32626,0.91261
111,4.70028,2.1061,1.03847
112,10.0397,2.14423,1.27804
113,10.2434,1.96978,1.17158
114,10.2299,2.3621,1.257
115,10.4507,2.16436,1.26052
117,16.008,2.10479,1.24701
118,16.3377,2.33733,1.35526
119,16.2588,2.06633,1.37816
121,22.0987,2.03214,1.55036
122,21.7495,2.24886,1.47966
123,22.0284,2.30887,1.55609
125,28.0914,2.01706,1.8418
126,28.3823,2.30793,1.85644
127,28.0889,2.30348,1.80667
129,33.8696,2.15529,1.95463
130,34.2473,2.29872,2.05829
131,34.0833,2.06321,2.10202
133,39.7023,2.27099,2.25142
134,40.062,2.47582,2.23355
135,39.9759,2.20445,2.25978
137,47.7366,2.10927,2.46346
138,47.7013,2.51364,2.50916
139,47.8986,2.34142,2.39551
141,51.6943,2.10487,2.65898
209,-0.106104,1.03144,0.719332
210,0.129126,1.36465,0.727809
213,7.34783,1.21659,0.976573
214,7.56549,1.50108,1.17441
215,7.65504,1.30219,0.984335
216,13.1449,1.21689,1.1065
217,13.0235,1.04657,1.31067
218,13.3018,1.34422,1.31178
219,13.2512,1.11977,1.48505
220,19.0065,1.31995,1.63307
221,19.02,1.11533,1.42961
222,19.2665,1.42254,1.54488
223,19.3117,1.16852,1.41043
224,25.0847,1.27771,1.8794
225,25.2485,1.09542,1.73004
226,25.3042,1.47932,1.82576
227,25.3669,1.31991,1.59437
228,31.262,1.20808,1.94787
229,31.5522,1.13615,1.96796
230,31.3243,1.45235,2.08644
232,36.9376,1.37125,2.04833
233,36.8212,1.2163,2.25878
234,37.1833,1.40629,2.19853
236,42.7459,1.59592,2.21509
237,42.812,1.36248,2.36901
238,42.9236,1.74307,2.39449
239,43.0979,1.5015,2.39802
241,48.0282,1.20565,2.57448
244,51.9451,1.40064,2.75633
245,51.8048,1.15392,2.72684
312,0.0626281,-0.634269,0.78169
314,0.240136,-0.423952,0.872717
316,4.53754,-0.531321,0.971768
318,4.82249,-0.44686,0.991752
320,10.5316,-0.554427,1.23219
321,10.3002,-0.713106,1.30124
322,10.6554,-0.604173,1.48497
324,16.2071,-0.510865,1.37299
326,16.4828,-0.415179,1.4131
328,22.1601,-0.490546,1.67159
330,22.4351,-0.378277,1.66242
332,28.0329,-0.5026,1.92137
334,28.3181,-0.410368,1.91722
336,34.1246,-0.37625,2.15268
337,34.1118,-0.653406,2.1904
338,34.4176,-0.38202,2.18199
340,40.0954,-0.319696,2.34876
342,40.3831,-0.249148,2.36357
344,48.3073,-0.490516,2.65185
346,48.5918,-0.471581,2.68706
348,51.9353,-0.424122,2.88608
416,-0.0326739,-1.53563,0.846288
418,0.237374,-1.41711,0.836274
421,7.51828,-1.42484,1.13826
423,7.80161,-1.3533,1.15617
425,13.2471,-1.51532,1.32114
429,19.2897,-1.42954,1.59538
433,25.1763,-1.45877,1.88188
437,31.0549,-1.52018,2.14115
441,37.0563,-1.35523,2.31968
445,43.0854,-1.19324,2.4557
447,43.1356,-1.26024,2.732
449,48.3087,-1.37703,2.70604
453,51.9335,-1.42337,2.90099
521,-0.130055,-2.45683,0.918832
525,4.61606,-2.36162,1.04388
529,10.4763,-2.47426,1.35416
533,16.1334,-2.34025,1.54223
537,22.2369,-2.37827,1.82264
541,28.3341,-2.45245,2.06825
545,33.7866,-2.39864,2.3648
549,40.3902,-2.14543,2.43925
553,48.4491,-2.30881,2.7445
557,52.0743,-2.31632,2.97719
