id,x,y,z
2,2.45693,3.84283,0.578343
3,2.64615,3.62872,0.608202
5,9.66779,4.64893,0.788343
6,9.60343,5.04028,0.69822
7,9.84161,4.88242,0.760791
10,15.8189,6.11173,0.929662
11,15.8849,5.83091,0.942443
14,21.5547,7.04278,0.890865
15,21.721,6.81225,0.942925
18,27.4673,7.97896,0.978337
19,27.2247,7.81893,0.990481
22,33.2492,9.03495,1.26022
23,33.2571,8.74921,1.28688
26,39.0512,10.0686,1.30116
27,38.974,9.79117,1.33031
30,45.2942,11.1331,1.53878
31,45.0362,11.0155,1.47268
34,50.1334,12.0877,1.54113
35,50.4225,12.1028,1.56673
38,53.9784,12.8573,1.63591
39,53.9843,12.5781,1.70289
42,62.2785,14.4297,1.77951
43,62.4838,14.2264,1.78389
46,68.4406,15.5597,1.8473
47,68.2762,15.3247,1.89395
50,74.0607,16.6067,2.11022
51,74.2362,16.8326,2.09646
54,79.3399,17.614,2.1831
55,79.6266,17.6606,2.18549
59,85.4504,18.9695,2.49385
62,90.9631,20.1548,2.41842
63,91.0783,19.894,2.45212
66,96.8406,21.3886,2.52477
67,96.8636,21.1048,2.56529
70,101.821,22.3788,2.6697
71,102.113,22.4242,2.68646
74,105.954,23.3667,2.90609
75,106.12,23.1351,2.95113
78,114.408,25.1814,3.08503
79,114.47,24.9013,3.11846
82,120.049,26.4981,3.1292
83,120.028,26.2146,3.16785
86,125.634,27.4202,3.29015
87,125.831,27.5992,3.20236
90,131.727,29.0702,3.23227
91,131.819,28.8142,3.33041
94,137.028,30.0797,3.4087
95,137.315,30.1265,3.40865
98,142.737,31.4628,3.57197
99,142.966,31.5663,3.54129
101,147.6,32.4471,3.68762
103,147.32,32.5127,3.64914
105,2.52755,2.65281,0.6192
106,2.69661,3.03189,0.57035
107,2.7879,2.76847,0.581137
109,6.85891,3.43218,0.743815
110,7.17825,3.70418,0.780108
111,7.14204,3.42236,0.804679
114,12.7324,4.60665,0.953832
115,12.8338,4.34028,0.960202
117,18.4815,5.13129,0.984341
118,18.7304,5.46945,1.01232
119,18.7607,5.1924,1.0131
122,24.5303,6.603,1.07842
123,24.5527,6.32117,1.10476
125,30.1831,7.12354,1.36525
126,30.5092,7.38509,1.33755
127,30.2517,7.35536,1.20848
129,35.9179,8.22778,1.39907
130,36.1887,8.54468,1.39317
131,36.2052,8.26008,1.39919
134,42.2558,9.7344,1.46603
135,42.351,9.46689,1.50077
138,50.3337,11.1384,1.64074
139,50.1758,10.897,1.65207
142,54.1536,11.8673,1.72224
143,54.0436,11.6022,1.73385
146,59.7063,12.9484,1.84248
147,59.4946,12.7513,1.8638
150,65.6325,14.1289,1.94156
151,65.888,13.9933,1.93794
154,71.5266,15.2953,2.10327
155,71.3681,15.1043,1.94987
158,77.0981,16.3276,2.21249
159,77.0243,16.0601,2.28517
161,82.2199,17.0707,2.36258
162,82.4906,17.3877,2.39562
163,82.5073,17.1012,2.3988
165,88.1232,18.3506,2.39267
166,88.4975,18.5318,2.43415
167,88.2573,18.5106,2.59282
170,94.1123,19.8243,2.6113
171,93.9411,19.5962,2.6572
173,101.977,21.1258,2.71447
174,102.175,21.4725,2.81991
175,101.911,21.3695,2.85207
178,106.052,22.3473,3.01974
179,106.335,22.385,3.01145
181,111.293,23.2036,3.08574
182,111.589,23.4952,3.0883
183,111.581,23.2075,3.10865
186,117.542,24.9777,3.12079
187,117.735,24.7794,3.20298
189,122.847,25.6049,3.32071
190,123.166,25.8714,3.31799
191,122.883,25.8839,3.25418
194,128.864,27.3857,3.36698
195,128.714,27.1392,3.39641
197,134.356,28.3538,3.47432
198,134.654,28.6469,3.4602
199,134.644,28.3626,3.49088
201,140.17,29.6886,3.59188
202,140.385,30.0447,3.61696
203,140.442,29.7658,3.64959
207,147.694,31.498,3.77535
209,2.70436,1.66268,0.746776
210,2.92579,1.99124,0.660177
213,10.0927,2.86432,0.801947
214,10.0581,3.25828,0.879701
215,10.2993,3.08989,0.823546
217,15.9294,3.70285,0.992156
218,16.0458,4.09697,0.995973
221,21.7721,4.64122,1.06059
222,22.0889,4.91498,1.06935
225,27.5877,5.81272,1.22869
226,27.9135,6.06315,1.18896
227,27.6279,6.09219,1.16513
230,33.7417,7.13834,1.43909
233,39.077,7.67858,1.48511
234,39.2802,8.04003,1.46388
237,45.305,8.88134,1.62236
238,45.2932,9.28727,1.57533
239,45.5153,9.099,1.61442
241,50.2283,9.8235,1.75635
242,50.4944,10.1442,1.72398
245,54.2061,10.56,1.84515
246,54.4322,10.9051,1.81815
249,62.4923,12.169,2.01257
250,62.8191,12.426,2.01059
253,68.3181,13.2101,2.11286
254,68.5273,13.5665,2.11072
257,74.0613,14.4459,2.25045
258,74.312,14.7678,2.32459
259,74.2837,14.5743,2.11334
261,79.5345,15.5605,2.34548
262,79.8594,15.8175,2.35582
265,85.2677,16.6484,2.54469
266,85.5229,16.9744,2.59679
269,90.9945,17.9606,2.57788
270,91.339,18.2025,2.58452
273,96.9914,18.9875,2.73657
274,97.27,19.3044,2.71819
277,102.126,20.2686,2.86936
278,102.374,20.5991,2.86583
281,105.951,20.9939,3.07517
282,106.227,21.3072,3.07498
285,114.429,22.7217,3.22569
286,114.744,22.9903,3.18773
289,120.016,24.0864,3.28083
290,120.289,24.405,3.26173
293,125.973,25.3378,3.35606
294,126.244,25.6539,3.33006
297,131.829,26.7024,3.50115
298,132.042,27.0348,3.37549
299,132.062,26.8515,3.5961
301,137.364,27.9167,3.65897
302,137.55,28.2847,3.61875
305,142.965,29.3587,3.71861
306,143.158,29.7253,3.74166
309,147.505,30.3058,3.80506
311,147.677,30.5476,3.81424
312,3.12121,0.0468688,0.786282
313,3.22598,-0.0956498,0.568154
314,3.34674,0.232706,0.782292
316,7.32053,0.842761,0.86154
317,7.4488,0.581845,0.89504
318,7.59532,0.964721,0.855328
321,13.0481,1.36912,0.952808
322,13.3791,1.62264,0.932131
323,13.3306,1.35223,1.02567
325,19.2546,2.44287,1.12225
326,19.4703,2.7916,1.1563
329,24.8503,3.50044,1.18523
330,25.1554,3.78474,1.19443
332,30.8132,4.53012,1.30169
333,30.7932,4.35707,1.52668
334,31.0311,4.68037,1.42447
337,36.5047,5.51834,1.5064
338,36.8004,5.81163,1.51757
341,42.6795,6.73754,1.68631
342,42.9989,7.00014,1.65663
344,50.5792,8.18361,1.92905
345,50.5406,8.01091,1.70473
346,50.7949,8.32967,1.79242
349,54.5434,8.76516,2.08147
350,54.8039,9.08407,2.0444
353,59.7365,9.92673,2.04559
354,60.0745,10.1723,2.01986
357,65.7124,10.9609,2.21733
358,65.9946,11.2679,2.20945
361,71.5662,12.2217,2.21721
362,71.89,12.4832,2.23061
365,77.394,13.2355,2.46208
366,77.7101,13.5026,2.4871
369,82.6782,14.2901,2.59636
370,82.9704,14.581,2.62047
373,88.4576,15.5873,2.69811
374,88.7714,15.8591,2.70721
377,94.2588,16.7889,2.88058
378,94.5895,17.0346,2.89714
381,102.383,18.4442,3.02511
382,102.651,18.7602,3.02861
385,106.26,19.2091,3.17776
386,106.547,19.5157,3.18135
389,111.778,20.4353,3.30308
390,112.085,20.7098,3.30961
393,117.688,21.792,3.40608
394,117.945,22.1146,3.37695
397,123.346,23.0114,3.50682
398,123.682,23.2583,3.50093
401,128.905,24.2276,3.55671
402,129.19,24.5318,3.54739
405,134.857,25.5551,3.78062
406,135.091,25.8939,3.7477
409,140.682,26.9633,3.79761
410,140.954,27.2799,3.7838
413,147.591,28.3462,3.98073
416,3.33631,-0.861652,0.799163
417,3.44163,-1.13397,0.787962
421,10.5238,0.0657424,0.901699
422,10.244,-0.00833848,0.914845
425,16.2664,0.917231,1.02368
426,16.2994,0.63143,1.05171
429,22.1904,2.05691,1.19322
430,22.2131,1.77013,1.18693
433,27.9246,3.22639,1.31389
434,28.1153,3.01151,1.35117
435,28.1521,3.41318,1.28641
437,33.5182,4.08459,1.52695
438,33.595,3.80676,1.54339
441,39.6689,5.05824,1.61192
442,39.5603,4.78914,1.59226
445,45.3883,5.94928,1.79512
446,45.6565,5.95024,1.8907
449,50.5883,7.28335,1.9097
450,50.6791,7.01134,1.93829
453,54.7323,8.034,2.09652
454,54.8101,7.76349,2.13236
455,55.0138,8.12175,2.09689
457,62.9931,9.58345,2.2675
458,62.9249,9.35133,2.29572
461,68.9539,10.7165,2.31893
462,69.0086,10.4367,2.34019
465,74.7845,12.0142,2.41459
466,74.8644,11.7496,2.48436
467,75.0521,12.1199,2.45811
469,80.0326,12.9992,2.53433
470,80.0153,12.7146,2.54447
473,85.6881,13.7798,2.69574
474,85.6349,14.0585,2.68178
477,91.4988,15.1639,2.9016
478,91.2554,15.2902,2.82367
479,91.6464,15.4139,2.86325
481,97.0978,16.4379,3.04412
482,97.1654,16.1613,2.99638
485,102.587,17.639,3.13521
486,102.328,17.5069,3.11452
489,106.356,18.3046,3.39608
490,106.122,18.1779,3.28807
493,114.724,20.0861,3.40928
494,114.605,19.9168,3.45963
497,120.652,21.6821,3.48661
498,120.782,21.4391,3.55019
499,120.893,21.836,3.53575
501,126.381,22.8308,3.56153
502,126.479,22.5656,3.58361
503,126.652,22.9352,3.55565
505,132.213,24.0015,3.76508
506,131.941,23.9964,3.69285
509,137.856,25.4657,3.83043
510,137.892,25.2065,3.94792
513,143.489,26.7727,3.92439
514,143.476,26.4843,3.92658
517,147.808,27.6465,4.02069
518,147.76,27.3641,4.0297
521,3.56475,-1.76879,0.810346
522,3.62346,-2.056,0.78072
525,7.79785,-1.3703,0.847538
527,8.06838,-1.2574,0.798973
529,13.51,-0.30397,1.0055
530,13.7458,-0.461781,1.05057
533,19.1029,0.587864,1.16041
534,19.3512,0.460748,1.23989
537,25.0277,1.62188,1.27034
538,25.3088,1.57816,1.3249
541,31.0959,2.78042,1.48856
542,31.0886,2.49447,1.46787
545,37.3505,3.73107,1.63954
546,37.1288,3.55299,1.59607
549,42.669,4.74235,1.67368
551,42.9317,4.87981,1.67221
553,50.8557,6.25506,1.95895
554,50.8861,6.04296,1.9677
557,54.93,7.06395,2.16127
558,55.0388,6.80123,2.18316
561,59.9506,7.84361,2.31581
565,66.1396,9.21712,2.33061
566,66.1578,8.92887,2.32921
569,71.8737,10.2225,2.372
570,72.1534,10.3056,2.34186
573,77.6345,11.5457,2.52874
574,77.7937,11.3057,2.51731
577,83.1348,12.6862,2.61085
578,83.1251,12.3992,2.60451
581,88.6638,13.8283,2.79364
582,88.7994,13.5761,2.83461
585,94.3956,14.8074,2.879
586,94.6523,14.9441,2.92327
589,102.468,16.5994,3.12936
590,102.818,16.6174,3.22345
593,106.326,17.5192,3.31735
594,106.279,17.2354,3.30478
597,111.925,18.705,3.378
598,111.911,18.4192,3.41844
601,117.858,20.1275,3.43342
602,117.973,19.8709,3.48118
605,123.471,21.1108,3.64077
606,123.753,21.184,3.62133
609,129.315,22.467,3.64895
610,129.26,22.1833,3.63975
613,134.984,23.6933,3.86738
617,140.834,25.186,3.92172
618,141.106,25.1026,3.9601
621,147.719,26.6179,4.09089
622,147.81,26.3435,4.07811
628,55.5952,4.04493,2.18501
