id,x,y,z
1,2.45634,2.94584,0.615089
2,2.94058,3.36358,0.674832
3,3.01234,3.37915,0.487165
5,10.1396,3.38929,0.715417
6,10.4905,4.06134,0.770396
7,10.8991,3.88593,0.802308
9,15.4366,3.53411,0.788901
10,16.769,4.88387,0.797359
11,16.6869,4.47788,0.955507
13,22.222,4.15636,0.93931
14,22.5271,5.11504,0.884799
15,22.7666,4.835,0.912667
17,27.4756,4.42339,0.977822
18,28.34,5.537,0.943822
19,28.6919,5.50708,0.972669
21,33.4379,5.10597,1.15362
22,34.2419,5.89229,1.09097
23,34.4943,5.88521,1.18994
25,39.5101,5.59778,1.12979
26,40.4648,6.65019,1.26599
27,40.5206,6.47332,1.40636
29,45.7465,6.11166,1.28233
30,46.4228,7.03968,1.4371
31,46.5406,6.68901,1.36815
33,50.8708,6.38378,1.31152
34,51.4973,7.45551,1.41092
35,52.0637,7.24508,1.43373
37,54.8213,6.98493,1.52041
38,55.7336,7.82704,1.62577
39,55.7505,7.56247,1.59673
41,63.6056,7.79291,1.61389
42,64.0217,8.7115,1.56414
43,64.3245,8.48108,1.40989
45,69.3047,8.11419,1.5935
46,70.2906,9.24372,1.43304
47,70.3449,9.04754,1.54177
49,75.2611,8.57303,1.61053
50,76.3305,10.0258,1.64277
51,76.145,9.40376,1.691
53,81.2951,9.4555,1.53991
54,81.517,10.3551,1.58914
55,81.9552,9.88453,1.66929
57,87.1966,10.1373,1.68311
58,87.4649,10.6331,1.84907
59,87.8354,10.471,1.83845
61,93.0978,10.4533,1.81773
62,93.6648,11.0989,1.76934
63,93.8195,11.1845,1.7622
65,98.5737,10.6856,1.99222
66,99.4894,11.6988,1.96078
67,99.5587,11.5955,1.75078
69,104.345,11.4297,2.01145
70,104.568,12.2319,1.93931
71,105.464,12.2846,1.86606
73,108.028,11.7467,2.01608
74,108.814,12.6085,2.01135
75,109.127,12.4374,2.1444
77,116.63,12.5454,2.08472
78,117.499,13.3048,2.12456
79,117.594,13.3175,2.18188
81,122.815,13.2915,2.11446
82,123.847,14.0519,2.17459
83,123.888,13.9287,2.18462
85,128.571,13.8872,2.19897
86,129.429,14.6449,2.2992
87,129.586,14.6295,2.01879
89,134.245,14.2651,2.2664
90,135.221,15.1332,2.13719
91,135.537,14.9844,2.22917
93,140.247,14.7047,2.22042
94,141.129,15.8465,2.0194
95,141.073,15.521,2.15024
97,146.191,15.3118,2.12718
98,147.112,16.5266,2.09612
99,147.179,16.1367,2.19475
101,150.95,16.0109,2.1775
103,152.024,16.7653,2.17779
104,2.36672,2.5554,0.598021
105,2.62452,2.1059,0.596628
106,3.1798,2.46166,0.601052
107,3.12691,2.32169,0.655593
108,7.16905,2.90481,0.781232
109,6.6406,2.36104,0.75583
110,7.84819,3.06725,0.663531
111,7.91969,2.82876,0.892124
112,12.9959,3.38972,0.970993
113,12.8759,2.63408,0.842017
114,13.6636,3.45448,0.879168
115,13.671,3.42047,0.857335
117,18.6426,3.33264,0.838668
118,19.7098,4.11921,0.883259
119,19.6747,3.85265,1.05048
120,24.964,4.33996,1.07428
121,24.9644,3.23447,1.11061
122,25.8816,4.19342,1.12214
123,25.6573,4.38733,1.0726
125,30.5716,4.29611,1.26616
126,31.862,4.85775,1.07415
127,31.5993,4.81332,1.15112
128,36.888,5.34393,1.238
129,36.1193,4.5441,1.32364
130,37.9538,5.31959,1.29388
131,37.3635,5.21498,1.17254
133,42.4465,4.89707,1.46702
134,43.5315,5.89882,1.39006
135,43.7943,5.6186,1.41678
136,51.1047,6.4932,1.41229
137,50.9004,5.73779,1.51602
138,52.1352,6.49976,1.6285
139,51.6492,6.48128,1.48175
140,55.3051,6.87073,1.50307
141,54.6533,5.94334,1.59113
142,56.1205,6.80279,1.52967
143,55.739,6.93433,1.4942
145,60.0546,6.85757,1.74381
146,61.4691,7.52168,1.62586
147,61.0493,6.55617,1.59207
149,66.4881,7.0208,1.58588
150,67.7037,7.86747,1.63153
151,67.7088,7.5738,1.6184
152,72.7128,8.4123,1.66044
153,72.3941,7.56102,1.65612
154,73.9471,8.295,1.68841
155,72.7814,7.65367,1.63209
156,78.7321,8.89302,1.74537
157,78.2797,7.96226,1.75062
158,79.5583,8.85423,1.93052
159,79.3429,8.69613,1.78495
161,84.1687,9.22651,1.59831
162,84.7615,9.32322,1.71667
163,84.9913,9.40691,1.92524
164,90.1606,9.96977,1.77904
165,89.3896,9.38073,2.00146
166,90.6243,10.1551,1.84473
167,90.9792,9.75761,1.89774
168,95.9932,10.5589,1.9368
169,95.5391,9.46697,2.0915
170,96.8959,10.6868,2.00147
171,96.6602,10.5052,1.92185
173,104.084,10.2674,1.98511
174,105.407,11.4315,2.13011
175,104.884,11.1746,2.01208
176,108.419,11.6442,2.17423
177,107.856,10.7539,2.21715
178,109.025,11.7757,1.99158
179,109.176,11.6043,2.02492
