id,x,y,z
0,2.92328,3.3168,0.698054
1,2.98696,3.02813,0.695943
2,3.20555,3.35274,0.615704
3,3.24115,3.07053,0.623203
4,9.98891,3.78916,0.820135
5,10.114,3.53115,0.880932
6,10.2624,3.89477,0.78428
7,10.3617,3.62459,0.813006
8,15.7907,4.17708,1.00046
9,15.8771,3.90281,0.980906
10,16.0705,4.26854,0.988952
11,16.1593,4.00248,0.977595
12,21.8866,4.58355,1.13557
13,21.9489,4.30478,1.0879
14,22.1705,4.65195,1.10449
15,22.2469,4.37995,1.11046
16,27.606,4.99519,1.27566
17,27.742,4.7405,1.29197
18,27.8636,5.12602,1.2456
19,27.993,4.87068,1.25249
20,33.7478,5.49373,1.43292
21,33.7903,5.21217,1.4597
22,34.0361,5.53835,1.4724
23,34.0708,5.25584,1.4824
24,39.4276,5.98332,1.63669
25,39.4336,5.69944,1.56507
26,39.7163,6.0059,1.57735
27,39.7391,5.73124,1.57928
28,45.3441,6.37931,1.68209
29,45.3061,6.09447,1.70483
30,45.6358,6.34707,1.68948
31,45.6178,6.07828,1.71142
32,50.729,6.71994,1.83732
33,50.7764,6.44476,1.84331
35,51.0745,6.50043,1.83999
36,54.4319,7.06037,2.03165
37,54.3931,6.77242,2.02456
39,54.5844,6.76022,1.81515
104,3.03986,2.45879,0.617135
105,3.10636,2.17516,0.655092
106,3.33277,2.50867,0.607089
107,3.3734,2.21812,0.620313
108,7.465,2.77926,0.836597
109,7.41485,2.49316,0.821585
110,7.76901,2.71674,0.858648
111,7.69181,2.44408,0.810646
112,13.1672,2.99527,1.04952
113,13.3439,2.77423,1.03981
114,13.3905,3.17778,1.04352
115,13.5917,2.96513,1.02488
116,18.9222,3.46047,1.09361
117,18.9827,3.17609,1.09915
118,19.2191,3.51952,1.09214
119,19.2728,3.24486,1.12001
120,24.9679,3.98015,1.26063
121,24.9237,3.69531,1.28584
122,25.2654,3.93609,1.27243
123,25.2038,3.64885,1.29323
124,30.9287,4.45015,1.45342
125,30.873,4.16697,1.42371
126,31.2226,4.39837,1.4699
127,31.1683,4.11837,1.43879
128,36.7773,4.86374,1.54106
129,36.6709,4.58589,1.5542
130,37.0523,4.78162,1.55833
131,36.9623,4.51611,1.59763
132,42.6436,5.20169,1.70218
133,42.6547,4.91413,1.73395
134,42.9401,5.21774,1.7254
135,42.9425,4.93019,1.74415
136,50.8889,5.80296,1.89374
137,50.9354,5.51773,1.88408
138,51.1751,5.85358,1.93726
139,51.2321,5.5734,1.89516
140,54.6607,6.06371,2.00858
141,54.5329,5.83761,1.99174
143,54.771,5.6731,2.02751
145,59.7616,6.51605,2.00612
208,3.2481,1.36153,0.495907
209,3.25563,1.23098,0.740261
210,3.5271,1.45572,0.53727
211,3.55084,1.23559,0.719182
212,10.4464,1.95332,0.976895
213,10.3976,1.86709,0.707476
214,10.6746,2.07824,0.938574
215,10.7446,1.95624,0.698939
216,16.1402,2.27742,1.09216
217,16.2297,2.0848,0.903581
218,16.4077,2.41391,1.06929
219,16.4874,2.14632,0.997413
220,22.1739,2.77159,1.42048
221,22.1553,2.55968,1.22827
222,22.457,2.80785,1.34407
223,22.4597,2.55011,1.23814
224,27.9923,3.14351,1.47862
225,28.1155,2.92527,1.35926
226,28.2606,3.2807,1.48363
227,28.3737,3.02868,1.39355
228,34.0359,3.55964,1.74509
229,34.0115,3.37558,1.52608
230,34.3215,3.61017,1.67518
231,34.3168,3.36691,1.53597
232,39.8115,4.0593,1.63057
233,39.8886,3.79132,1.66367
234,40.1083,4.14459,1.61126
235,40.1686,3.87763,1.62678
236,45.7318,4.55137,1.81126
237,45.6571,4.26296,1.79821
238,46.0157,4.50236,1.77558
239,45.9697,4.22589,1.83474
240,51.0013,4.85688,1.93229
241,51.064,4.58568,1.93702
242,51.27,4.94373,1.9156
243,51.3602,4.66764,1.93091
244,54.6369,5.13464,2.08237
245,54.7512,4.88403,2.06366
247,55.0107,4.99053,2.01804
312,3.46406,-0.408892,0.785799
313,3.50052,-0.693612,0.742655
314,3.7538,-0.369035,0.786053
315,3.78424,-0.618148,0.706116
316,7.80092,-0.0727803,0.868295
317,7.7909,-0.295777,1.03044
318,8.09166,-0.0771088,0.901785
319,8.06979,-0.34515,0.957772
320,13.5351,0.354374,1.06877
321,13.5397,0.0709158,1.10408
322,13.8049,0.355495,1.01225
323,13.8232,0.0686345,1.06249
324,19.4101,0.719359,1.17473
325,19.4628,0.440985,1.13474
326,19.7186,0.751648,1.17264
327,19.7441,0.471275,1.1806
328,25.334,1.23533,1.34357
329,25.2518,0.963577,1.32341
330,25.6223,1.15436,1.3397
331,25.5351,0.891339,1.34723
332,31.2375,1.5704,1.4847
333,31.3672,1.34302,1.56045
334,31.4952,1.71028,1.50716
335,31.6512,1.46962,1.513
336,37.1532,2.08141,1.61985
337,37.1616,1.82478,1.75453
338,37.4511,2.05319,1.62254
339,37.4126,1.76555,1.63508
340,42.9566,2.38927,1.72247
341,42.9954,2.22937,1.95459
342,43.2505,2.46165,1.73946
343,43.2802,2.21103,1.87162
344,51.295,3.05632,1.9174
345,51.301,2.8291,2.08318
346,51.5913,3.07107,1.94062
347,51.5872,2.80371,2.01478
348,54.9188,3.39717,2.13887
349,55.042,3.15312,2.13798
353,60.1384,3.47125,1.92374
416,3.61221,-1.33573,0.800778
417,3.61481,-1.62704,0.796912
418,3.88619,-1.33079,0.742085
419,3.90994,-1.60479,0.75938
421,10.7628,-0.824064,0.962327
422,10.7867,-1.10462,0.990815
423,11.0586,-0.799933,0.943406
424,11.0921,-1.07875,0.980282
425,16.5009,-0.457585,1.08212
426,16.5989,-0.73102,1.06918
427,16.7787,-0.367204,1.07105
428,16.8803,-0.631098,1.09221
429,22.6293,0.0456114,1.25911
430,22.5961,-0.236206,1.28855
431,22.9162,0.0297212,1.2623
432,22.9032,-0.255748,1.308
433,28.3834,0.429538,1.42812
434,28.516,0.178746,1.47013
435,28.681,0.551833,1.42464
436,28.7854,0.291295,1.44586
437,34.3761,0.829014,1.53813
438,34.4746,0.564792,1.57328
439,34.6537,0.9197,1.57665
440,34.7691,0.656564,1.5751
441,40.3316,1.31426,1.69522
442,40.4041,1.03672,1.72431
443,40.5894,1.38704,1.66899
444,40.6953,1.12332,1.73922
445,46.1048,1.70877,1.87631
446,46.168,1.43988,1.87414
447,46.4102,1.76817,1.87012
448,46.4528,1.48015,1.86645
449,51.467,2.14629,1.99955
450,51.4757,1.86166,2.00327
451,51.7656,2.15218,1.99265
