id,x,y,z
0,2.34413,3.48562,0.70984
1,2.15225,3.33573,0.653427
2,2.53817,3.30848,0.57753
3,2.39026,3.08161,0.631254
4,9.61298,3.80667,0.837855
5,9.62104,3.52204,0.873902
6,9.90226,3.81345,0.810989
7,9.92212,3.53238,0.864255
8,15.8186,4.25722,0.71772
9,15.7603,4.33348,0.980413
10,16.1048,4.25576,0.881901
11,15.947,4.0518,0.999617
12,21.8688,4.93885,1.24233
13,21.7434,4.76643,1.06404
14,22.1228,4.85382,1.10913
15,22.0403,4.5819,1.12281
16,27.508,5.07827,1.35638
17,27.6531,4.83014,1.37019
18,27.7546,5.21552,1.29314
19,27.8959,4.96522,1.30072
20,33.579,5.48704,1.58617
21,33.805,5.33003,1.56898
22,33.7914,5.6966,1.69429
23,33.8553,5.66286,1.43901
24,39.6168,5.97334,1.90271
25,39.5515,5.92775,1.63166
26,39.8783,6.08814,1.81577
27,39.8394,6.09955,1.57606
28,45.5154,6.34855,1.73923
29,45.4787,6.06324,1.7716
30,45.8175,6.33724,1.75846
31,45.8148,6.07806,1.77306
32,50.9634,6.73029,2.03134
33,51.1158,6.64515,1.8104
35,51.2805,6.94228,1.837
36,54.8375,7.10294,1.98784
37,55.0939,7.2082,2.00266
39,55.2238,6.97463,2.05139
104,2.4601,2.5721,0.556352
105,2.30929,2.35274,0.625613
106,2.71342,2.43958,0.62626
107,2.58822,2.17388,0.623789
108,7.12453,2.81669,1.02236
109,6.97627,2.6873,0.849958
110,7.35978,2.61336,0.963361
111,7.1185,2.42772,0.899235
112,12.8926,2.82546,1.0849
113,12.9317,3.07325,1.03792
114,13.1707,2.75607,1.04514
115,13.2761,3.02013,1.05261
116,18.8776,3.65206,1.09361
117,18.8068,3.33057,1.09714
118,19.1582,3.5557,1.11044
119,19.0899,3.2764,1.14029
120,24.7478,4.10233,1.33955
121,24.7361,3.81637,1.34985
122,25.0576,4.08686,1.33397
123,25.0321,3.79665,1.34951
124,30.8937,4.51029,1.52196
125,30.8241,4.23117,1.49663
126,31.1859,4.45012,1.52002
127,31.1181,4.16683,1.50549
128,36.7894,5.06797,1.74657
129,36.6898,4.77374,1.70244
130,37.0706,4.98176,1.74293
131,36.9457,4.81094,1.55395
