id,x,y,z
0,1.86033,3.78872,0.776854
1,2.15064,3.34026,0.65362
2,2.85585,3.52948,0.700946
3,2.74486,3.04469,0.648423
4,9.39162,3.84401,0.791567
5,9.71733,3.53137,0.705189
6,10.4532,3.9991,0.731844
7,10.3677,3.61175,0.818156
8,15.5136,4.47598,0.899651
9,15.7603,4.33424,0.980261
10,16.4721,4.49317,1.05
11,16.2463,3.99759,0.9812
12,21.1405,4.97635,1.20552
13,21.7429,4.76708,1.06407
14,22.526,4.69168,1.1657
15,22.4867,4.38526,1.09547
16,27.3444,5.1416,1.34069
17,27.5395,4.73532,1.26194
18,28.2352,5.38598,1.26078
19,28.2282,4.84242,1.26507
20,33.5037,5.6532,1.46122
21,33.6603,5.23495,1.39256
22,34.3637,5.709,1.4804
23,33.8551,5.66338,1.43901
24,39.3459,6.26837,1.66836
25,39.4001,5.18569,1.60792
26,40.3168,6.3003,1.64014
27,39.84,6.09985,1.57591
28,45.4229,6.54583,1.65878
29,45.3594,6.06115,1.75968
30,46.1421,6.96451,1.75674
31,46.0196,6.16607,1.68376
32,50.8475,7.11029,1.77139
33,50.7382,6.42696,1.86456
35,51.2817,6.94332,1.83703
36,54.7266,7.42703,1.9806
37,55.0938,7.21045,2.00276
39,55.6569,6.91529,2.00509
104,1.95633,2.98704,0.652662
105,2.30838,2.35609,0.625391
106,3.41875,2.68545,0.71527
107,2.92494,2.17921,0.600316
108,6.62314,3.15693,0.815207
109,6.97518,2.68921,0.850061
110,7.98853,2.87344,0.92416
111,7.34905,2.47553,0.851863
112,12.9383,2.84286,0.986779
113,12.9306,3.07473,1.03789
114,13.6643,3.29177,1.00672
115,13.9681,3.31091,0.98408
116,18.8774,3.65261,1.09353
117,18.51,3.06096,1.03319
118,19.8014,3.60928,1.06345
119,19.3682,3.25777,1.10437
120,24.4555,4.08381,1.22139
121,24.6513,3.59417,1.28672
122,25.6687,4.28895,1.23327
123,25.2728,3.68728,1.2898
124,30.3897,4.71401,1.50235
125,30.5613,3.9406,1.42759
126,31.637,4.54014,1.37797
127,31.2396,4.11722,1.42172
128,36.8436,5.0792,1.58563
129,36.3302,4.32324,1.38589
130,37.5593,5.16078,1.49979
131,36.9457,4.81132,1.55415
132,42.763,5.46788,1.76856
133,42.5759,4.86311,1.75446
134,43.658,5.62423,1.70661
135,42.9485,5.24113,1.72908
136,51.0735,6.12234,1.87327
137,50.8216,5.41926,1.88759
138,51.811,6.3638,1.91055
139,51.4203,5.88951,1.88168
140,55.2306,6.39179,1.9916
141,55.2112,6.16207,1.97321
143,55.3177,5.65937,2.02407
145,60.7219,6.56822,2.10394
208,2.8276,1.25708,0.687733
209,2.46906,1.26879,0.705911
210,3.41433,1.72261,0.716043
211,3.04974,1.22474,0.699553
212,10.3641,2.18827,0.923295
213,9.44793,1.60966,0.688845
214,10.6162,2.25301,0.920343
215,11.1473,2.31629,0.818433
216,15.9043,2.363,1.02632
217,16.0836,2.23302,0.99544
218,16.8606,2.68132,0.93297
219,16.4563,2.18377,0.941646
220,21.9193,2.56367,1.31996
221,22.0873,2.68453,1.22797
222,22.8085,3.06645,1.2248
223,22.5015,2.55313,1.30546
224,27.7131,2.98768,1.36778
225,27.9823,2.94076,1.36269
226,28.8223,3.55779,1.5538
227,28.485,2.99953,1.38923
228,33.9316,3.43415,1.56871
229,33.6659,3.35083,1.50156
230,34.8544,4.03559,1.63448
231,34.5133,3.45742,1.58566
232,39.7081,4.06048,1.74778
233,39.7691,3.70631,1.76413
234,40.6844,4.49389,1.5256
235,40.1727,4.00412,1.61943
236,45.9963,4.77444,1.83857
237,45.5398,4.10025,1.64975
238,46.825,5.48417,1.80066
239,46.1026,4.41512,1.81749
240,51.1886,4.75695,1.94121
241,50.8943,4.53347,1.95334
242,51.5484,5.43601,1.92988
243,51.5806,4.82928,1.92649
244,54.8789,5.01114,2.33779
245,55.3967,5.08914,2.03551
247,55.686,5.13429,2.01745
312,2.73654,-0.613536,0.770347
313,2.59514,-1.29832,0.742236
314,3.28219,-0.456273,0.75658
