"Point Name","X (East)","Y (North)","Z (Elevation)","Z","x_lio","y_lio","z_lio"
"a1","3.168","51.602","1.046","1.046","2.150641193742885","3.340263978638582","0.6536195290529154"
"a9","3.144","37.955","0.768","0.768","15.760335735465247","4.334240162442761","0.9802612701742056"
"a13","3.131","31.959","0.586","0.586","21.742888404610113","4.767078668284688","1.064066930890947"
"a23","3.119","19.809","0.423","0.423","33.855083600120736","5.663379919402425","1.4390130778165218"
"a27","3.108","13.808","0.294","0.294","39.840023941066725","6.09985481326415","1.5759137072736213"
"a35","3.096","2.335","0.047","0.047","51.281669974044696","6.943321846878073","1.8370294273023384"
"a37","3.076","-1.49","0.043","0.043","55.09378438559971","7.210450266538313","2.0027615021232164"
"a105","2.176","51.52","0.987","0.987","2.3083763109110578","2.3560933723417796","0.6253909882948718"
"a109","2.157","46.836","1.004","1.004","6.975180617539706","2.6892102203766655","0.8500612559932512"
"a113","2.096","40.866","0.926","0.926","12.930581471763489","3.0747326399952604","1.0378859867452386"
"a116","2.231","34.896","0.721","0.721","18.877354708593458","3.6526091624232926","1.0935348371313962"
"a131","2.038","16.789","0.375","0.375","36.945714941216934","4.81131936346357","1.554146576187341"
"a135","2.018","10.769","0.283","0.283","42.94854103842985","5.241133332041185","1.729083133359162"
"a139","2.034","2.274","0.06","0.06","51.42033692623779","5.889513802698327","1.881684576966653"
"a141","2.023","-1.527","-0.017","-0.017","55.21124567892062","6.162067012211763","1.973208217719391"
"a145","2.017","-7.053","-0.131","-0.131","60.72193099636898","6.568224386155414","2.103942756576901"
"a209","1.078","51.438","1.034","1.034","2.4690555678811634","1.2687867605728314","0.7059112241555845"
"a217","1.025","37.79","0.718","0.718","16.08364323233159","2.233019594270954","0.9954397536880516"
"a221","1.025","31.765","0.684","0.684","22.087295807660496","2.684533542443071","1.2279734272766"
"a233","0.722","14.05","0.428","0.428","39.76912508256944","3.7063082121604687","1.7641264066560012"
"a235","0.993","13.632","0.272","0.272","40.17270198420929","4.00411711522494","1.6194317567261733"
"a239","0.959","7.685","0.206","0.206","46.1026408939469","4.41511579220625","1.8174863307697984"
"a243","0.964","2.192","0.072","0.072","51.580561473637296","4.829283293991366","1.9264881796968045"
"a245","0.938","-1.634","0.011","0.011","55.39674562071282","5.089142570817266","2.035505205234031"
"a312","-0.82","51.31","1.041","1.041","2.7365383141243527","-0.6135357578440486","0.7703465958309192"
"a316","-0.861","46.693","0.975","0.975","7.34205332066837","-0.30936507222542975","0.9097658144066847"
"a321","-0.966","40.688","0.862","0.862","13.337188294677674","0.03408490946830023","1.0653863576681002"
"a324","-0.881","34.662","0.693","0.693","19.34178325491599","0.5671818326742732","1.1608276168227794"
"a335","-1.004","22.481","0.504","0.504","31.49426488695037","1.3545338258741615","1.514208462188496"
"a342","-0.899","10.51","0.244","0.244","43.4239684271189","2.3517136503147675","1.7811763280810542"
"a346","-0.896","2.094","0.047","0.047","51.816826032576834","2.9818252705574473","1.956603123474793"
"a348","-0.898","-1.752","0.058","0.058","55.647837965426255","3.268832956956254","2.1377526702954532"
"a353","-0.919","-7.298","-0.129","-0.129","61.18292425323138","3.6597930321636323","2.1968797042615824"
"a416","-1.882","51.235","1.031","1.031","2.89021326242122","-1.666842682260378","0.7926520490334963"
"a422","-2.039","43.587","0.844","0.844","10.529357123423708","-1.2536521548877335","0.9484617374281321"
"a426","-2.067","37.507","0.69","0.69","16.595407085880808","-0.8287912364605843","1.064354157229744"
"a440","-2.052","19.393","0.399","0.399","34.65282840322263","0.539112908870758","1.5745263018975009"
"a443","-1.938","13.412","0.233","0.233","40.61031253439476","1.0978130316757007","1.6701819322076497"
"a447","-1.934","7.46","0.148","0.148","46.54330029917991","1.546614658870336","1.8484465735058624"
"a451","-1.976","2.003","0.067","0.067","51.98638637952315","1.9124928050104448","2.0100668202289107"
"a453","-1.978","-1.813","0.043","0.043","55.789127356721345","2.1964113909336938","2.1549367512189392"
"a521","-2.944","51.171","1.014","1.014","3.033253037199664","-2.7211428017830785","0.8074804274261178"
"a525","-2.946","46.522","0.935","0.935","7.668363441048015","-2.3760017896250307","0.934268541471786"
"a529","-2.952","40.497","0.847","0.847","13.674951132104567","-1.9317603292545344","1.1130388816737158"
"a533","-2.963","34.517","0.712","0.712","19.63924819365068","-1.4970054705100448","1.2430187817751344"
"a547","-2.966","16.392","0.34","0.34","37.712695589917814","-0.14815625261456855","1.6732780079960363"
"a552","-3.106","10.31","0.187","0.187","43.788970397218904","0.1652269119488059","1.7933132458487324"
"a555","-3.028","1.911","0.048","0.048","52.15667277779682","0.8702158774810522","2.0238635192135006"
"a557","-3.037","-1.907","0.049","0.049","55.96077003238537","1.1479041253327353","2.193979111200113"
"a561","-3.051","-7.462","-0.062","-0.062","61.500797952440905","1.5483352748138146","2.329210540721319"
