id,x,y,z
0,3.35707,2.86442,0.643765
1,3.38276,2.57399,0.596266
2,3.65272,2.8711,0.643993
3,3.65248,2.58202,0.622595
4,10.4244,2.36601,0.818393
5,10.5263,2.12503,0.94702
6,10.7048,2.40182,0.718593
7,10.7294,2.11114,0.749663
8,16.4188,2.04638,1.07885
9,16.3241,1.77409,1.06904
10,16.6983,1.94374,1.01709
11,16.5705,1.68914,0.954378
12,22.1895,1.52887,1.00823
13,22.1957,1.2421,1.02171
14,22.4824,1.53888,1.05413
15,22.4949,1.25155,1.05369
16,28.0596,1.11951,1.12631
17,28.0774,0.835909,1.17664
18,28.3492,1.13921,1.1353
19,28.3814,0.857093,1.16494
20,34.1444,0.778445,1.27583
21,34.0528,0.499188,1.26352
22,34.4112,0.70005,1.21503
23,34.3457,0.42365,1.2512
24,40.0785,0.354032,1.41132
25,40.0507,0.065608,1.42096
26,40.3686,0.327297,1.44034
27,40.3402,0.039501,1.42647
28,46.009,-0.0400673,1.51703
29,45.9088,-0.313356,1.53046
30,46.2897,-0.134763,1.50611
31,46.193,-0.404504,1.5193
32,51.4501,-0.501563,1.61706
33,51.5818,-0.756264,1.58254
35,51.84,-0.641616,1.64853
36,55.3257,-0.64075,1.68467
37,55.2555,-0.92574,1.67908
38,55.6118,-0.710232,1.69628
39,55.528,-0.97679,1.76712
40,63.9879,-1.21217,1.71045
41,64.0306,-1.48682,1.7228
42,64.2768,-1.1683,1.68897
43,64.3424,-1.45494,1.70732
44,69.9639,-1.63133,1.70036
45,69.9771,-1.90423,1.7277
46,70.2535,-1.60846,1.68371
47,70.2955,-1.89573,1.71476
48,75.8693,-1.95014,1.83087
49,75.806,-2.2327,1.81332
50,76.1519,-2.00649,1.87692
51,76.1017,-2.28614,1.83886
52,81.6084,-2.35613,1.83435
53,81.6053,-2.64367,1.84852
54,81.8948,-2.35379,1.84417
55,81.9087,-2.63999,1.86469
56,87.4479,-2.81228,1.8985
57,87.5104,-3.07129,1.99798
58,87.7318,-2.746,1.90678
59,87.8058,-3.02374,1.9633
60,93.53,-3.01665,1.90873
61,93.4504,-3.29185,1.92045
62,93.8181,-3.10296,1.93702
63,93.717,-3.37293,1.9039
64,99.3341,-3.36911,1.91731
65,99.3623,-3.65175,1.95069
66,99.6049,-3.33439,2.02247
67,99.657,-3.61389,1.97086
68,104.945,-3.80952,1.9473
69,105.002,-4.08831,1.96255
70,105.187,-3.76186,2.09438
71,105.3,-4.02309,2.01228
72,108.762,-4.00508,2.14613
73,108.728,-4.29327,2.1405
74,109.054,-4.05186,2.17636
75,109.003,-4.33201,2.11964
76,117.679,-4.49302,2.09981
77,117.584,-4.76397,2.13073
78,117.95,-4.57835,2.15856
79,117.854,-4.84969,2.19619
80,123.437,-4.86623,2.13736
81,123.34,-5.14138,2.17212
82,123.705,-4.95715,2.12792
83,123.618,-5.22254,2.16366
84,129.181,-5.14214,2.1456
85,129.14,-5.42331,2.18187
86,129.478,-5.19197,2.13961
87,129.416,-5.47369,2.1481
88,135.255,-5.51072,2.12874
89,135.252,-5.79863,2.17982
90,135.554,-5.52498,2.14048
91,135.521,-5.8064,2.07283
92,141.162,-5.91804,2.2132
93,141.126,-6.20483,2.16145
94,141.377,-5.92001,2.02741
95,141.445,-6.18879,2.12314
96,147.076,-6.13384,2.04129
97,146.99,-6.41057,2.07201
98,147.347,-6.21292,2.10533
99,147.262,-6.48149,2.13941
100,151.14,-6.4271,2.08168
101,151.247,-6.68184,2.14001
103,151.524,-6.56737,2.13922
104,3.39607,2.02074,0.589835
105,3.3875,1.73083,0.573674
106,3.69116,1.99242,0.609058
107,3.65341,1.70099,0.614606
108,7.85885,1.67764,0.853173
109,7.66951,1.44157,0.861028
110,8.09079,1.51612,0.8815
111,7.92066,1.2915,0.822297
112,13.5501,1.26468,1.08344
113,13.3187,1.06232,1.05426
114,13.6371,1.17913,0.834797
115,13.5218,0.927026,0.891432
116,19.3506,0.85567,0.997747
117,19.2001,0.592687,0.990769
118,19.5645,0.737002,1.09918
119,19.4717,0.478144,1.01369
120,25.3945,0.440522,1.18443
121,25.2369,0.198084,1.22142
122,25.6455,0.306827,1.248
123,25.4984,0.0557374,1.23644
124,31.2341,0.0562433,1.27638
125,31.1254,-0.215516,1.24071
126,31.5106,-0.0476691,1.23557
127,31.4015,-0.310621,1.28779
128,37.0141,-0.373654,1.39271
129,37.027,-0.656584,1.40796
130,37.3109,-0.357533,1.39736
131,37.3251,-0.644992,1.41153
132,42.8004,-0.797875,1.5361
133,42.87,-1.07818,1.54116
134,43.0784,-0.737358,1.60391
135,43.1478,-1.0225,1.5961
136,51.6712,-1.40523,1.60346
137,51.5873,-1.69046,1.64658
138,51.9375,-1.48471,1.68406
139,51.8644,-1.75541,1.59451
140,55.3257,-1.56424,1.71975
141,55.273,-1.84713,1.71071
142,55.6234,-1.61581,1.72346
143,55.5667,-1.89748,1.73345
144,61.2615,-1.90574,1.73376
145,61.0635,-2.12901,1.76834
146,61.4832,-2.06956,1.81626
147,61.315,-2.3006,1.76549
148,67.1878,-2.29909,1.70359
149,67.0005,-2.53632,1.74556
150,67.4183,-2.46934,1.71983
151,67.2405,-2.68898,1.76798
152,72.8794,-2.62913,1.78511
153,72.7889,-2.90459,1.76615
154,73.1656,-2.72406,1.72938
155,73.0707,-2.97854,1.81913
156,79.0728,-3.09987,1.90637
157,78.9959,-3.38026,1.92794
158,79.3553,-3.16479,1.95809
159,79.2848,-3.44362,1.92906
160,84.5935,-3.45646,1.91388
161,84.5569,-3.74122,1.95671
162,84.8947,-3.50267,1.96249
163,84.8427,-3.7814,1.909
164,90.5449,-3.78648,1.96845
165,90.4432,-4.0544,2.01198
166,90.8309,-3.88642,2.00535
167,90.7132,-4.15113,1.98495
168,96.5657,-4.08495,1.90173
169,96.4272,-4.31381,2.02366
170,96.8197,-4.16088,2.03423
171,96.7008,-4.4249,2.06244
172,104.986,-4.70146,2.11994
173,104.963,-4.99389,2.10472
174,105.278,-4.72091,2.08894
175,105.26,-5.00233,2.14048
176,108.734,-4.96878,2.20562
177,108.772,-5.23757,2.19348
178,109.029,-4.92413,2.20754
179,109.093,-5.20913,2.21766
180,114.497,-5.20813,2.07653
181,114.394,-5.47803,2.09194
182,114.769,-5.30201,2.14587
183,114.641,-5.55309,2.20584
184,120.435,-5.61079,2.13758
185,120.382,-5.8905,2.16495
186,120.734,-5.66713,2.16635
187,120.662,-5.94542,2.14435
188,126.213,-5.95552,2.27008
189,126.146,-6.2367,2.22892
190,126.513,-6.01854,2.24527
191,126.438,-6.2859,2.19003
192,132.151,-6.20018,2.1713
193,132.107,-6.48753,2.20529
194,132.444,-6.25249,2.16048
195,132.38,-6.53211,2.11527
196,138.1,-6.70048,2.16498
197,138.121,-6.98868,2.19555
198,138.384,-6.69171,2.0857
199,138.42,-6.9592,2.19193
200,144.233,-6.90107,2.23154
201,144.195,-7.18185,2.18227
202,144.53,-6.9408,2.19887
203,144.484,-7.22747,2.20938
204,151.137,-7.31293,2.15365
205,151.109,-7.59679,2.14303
206,151.427,-7.33182,2.15013
207,151.394,-7.62179,2.17403
208,3.39627,0.937929,0.54231
209,3.39296,0.745781,0.701248
210,3.68976,0.987314,0.606341
211,3.68446,0.705257,0.674169
212,10.5397,0.55981,0.923257
213,10.4511,0.300136,0.844842
214,10.8095,0.536519,0.91354
215,10.7914,0.272415,0.799956
216,16.3071,0.0781851,1.03006
217,16.3301,-0.167857,0.893148
218,16.6189,0.101223,1.02195
219,16.6209,-0.171796,0.947941
220,22.325,-0.324762,1.2022
221,22.3059,-0.608555,1.1811
222,22.6161,-0.331499,1.22335
223,22.6045,-0.614454,1.19006
224,28.1536,-0.783975,1.40237
225,28.2059,-0.955279,1.18008
226,28.4492,-0.716341,1.38761
227,28.4885,-0.980708,1.27568
228,34.2962,-1.09631,1.41176
229,34.1574,-1.34366,1.38461
230,34.5578,-1.20443,1.35303
231,34.4232,-1.45697,1.31844
232,40.1096,-1.56307,1.43946
233,40.1221,-1.82868,1.51415
234,40.4134,-1.54304,1.44427
235,40.4127,-1.82953,1.45507
236,46.2298,-1.90892,1.63324
237,46.0433,-2.13298,1.59448
238,46.4781,-2.06309,1.57281
239,46.3103,-2.29638,1.5927
240,51.5737,-2.39368,1.68221
241,51.5686,-2.67142,1.72181
242,51.8753,-2.39547,1.68186
243,51.8496,-2.68099,1.63821
244,55.3514,-2.54118,1.75148
245,55.3368,-2.82357,1.77244
246,55.6591,-2.54876,1.75516
247,55.635,-2.8197,1.82593
248,64.0649,-3.07036,1.87401
249,64.0014,-3.34564,1.88909
250,64.3683,-3.14933,1.893
251,64.2796,-3.40322,1.80282
252,69.9517,-3.5182,1.81341
253,70.043,-3.74395,1.90899
254,70.2247,-3.39822,1.78917
255,70.3196,-3.66125,1.86076
256,75.8135,-3.857,1.94918
257,75.8493,-4.13276,1.9562
258,76.1129,-3.81359,1.95301
259,76.1488,-4.09492,1.9353
260,81.7173,-4.19574,1.91265
261,81.5977,-4.45804,1.96312
262,81.9714,-4.28676,2.02094
263,81.8779,-4.55674,1.97876
264,87.4601,-4.61494,2.07428
265,87.3656,-4.88761,2.07825
266,87.7342,-4.69488,2.08995
267,87.6539,-4.96529,2.03766
268,93.3764,-4.97175,2.01573
269,93.3657,-5.21831,2.13898
270,93.6826,-4.96045,2.03457
271,93.6601,-5.24348,2.05601
272,99.5499,-5.28581,2.0127
273,99.4898,-5.55485,1.96598
274,99.8593,-5.34667,2.02497
275,99.7868,-5.61904,1.97303
276,105.007,-5.60457,2.14073
277,104.947,-5.89204,2.12581
278,105.283,-5.64694,2.09593
279,105.237,-5.92508,2.11384
280,108.8,-5.90885,2.11516
281,108.691,-6.11856,2.26697
282,109.064,-5.95248,2.23164
283,108.981,-6.23086,2.23079
284,117.531,-6.39583,2.15685
285,117.481,-6.61976,2.30448
286,117.825,-6.42101,2.1917
287,117.765,-6.70413,2.23492
288,123.289,-6.79879,2.04979
289,123.176,-7.00558,2.22013
290,123.558,-6.84963,2.16118
291,123.474,-7.09543,2.25049
292,129.358,-7.03333,2.19526
293,129.158,-7.2524,2.16858
294,129.583,-7.21684,2.18887
295,129.395,-7.42918,2.17735
296,135.076,-7.34244,2.15235
297,135.094,-7.58294,2.29216
298,135.379,-7.31671,2.15471
299,135.393,-7.58959,2.23953
300,141.06,-7.77036,2.30352
301,141,-8.04558,2.27125
302,141.357,-7.83082,2.26792
303,141.277,-8.08385,2.16436
304,146.921,-8.03262,2.14617
305,146.877,-8.29477,2.23207
306,147.22,-8.05923,2.17577
307,147.171,-8.34057,2.22503
308,151.06,-8.25915,2.19307
309,151.078,-8.53577,2.20065
310,151.356,-8.22899,2.17139
311,151.374,-8.51388,2.212
312,3.37786,-0.89546,0.707275
313,3.40439,-1.18812,0.722082
314,3.66162,-0.874239,0.750432
315,3.69901,-1.12013,0.729647
316,7.74774,-1.18354,0.861368
317,7.77453,-1.4575,0.871642
318,8.00612,-1.12973,0.914583
319,8.08467,-1.41094,0.880111
320,13.5964,-1.48608,1.02238
321,13.4071,-1.70842,0.992648
322,13.8196,-1.65467,0.9519
323,13.6521,-1.88705,0.995429
324,19.2794,-1.9405,1.06914
325,19.2702,-2.22265,1.12541
326,19.5839,-1.97514,1.05651
327,19.5512,-2.24539,1.13374
328,25.261,-2.28348,1.28513
329,25.1679,-2.55593,1.25709
330,25.5366,-2.37354,1.2639
331,25.4488,-2.64782,1.23692
332,31.2062,-2.81273,1.28741
333,31.3234,-3.07402,1.23908
334,31.4944,-2.72013,1.32212
335,31.6151,-2.97783,1.25547
336,37.0508,-3.2311,1.44839
337,37.1798,-3.49573,1.4548
338,37.3428,-3.14238,1.39598
339,37.4325,-3.39723,1.48763
340,43.0276,-3.59028,1.57811
341,42.9213,-3.82747,1.69673
342,43.3019,-3.6845,1.62909
343,43.1832,-3.95618,1.6433
344,51.4864,-4.20322,1.68789
345,51.555,-4.48325,1.73324
346,51.7817,-4.15476,1.65533
347,51.8449,-4.43156,1.70229
348,55.4013,-4.31827,1.83625
349,55.3878,-4.60035,1.88095
350,55.7033,-4.35737,1.82491
351,55.6723,-4.63814,1.85528
352,61.2684,-4.70871,1.78962
353,61.1454,-4.8602,1.98104
354,61.5299,-4.78282,1.89398
355,61.3895,-5.0404,1.96681
356,66.9575,-5.08574,1.96784
357,66.9707,-5.29766,1.78184
358,67.2588,-5.09776,1.95812
359,67.2323,-5.3851,1.89954
360,72.982,-5.47522,1.95921
361,72.9997,-5.7651,1.95763
362,73.262,-5.46603,1.90202
363,73.2931,-5.75371,1.93862
364,78.9431,-5.81088,2.05355
365,78.8711,-6.08244,2.03373
366,79.2361,-5.87514,2.03734
367,79.164,-6.15763,2.05112
368,84.4743,-6.16698,2.06367
369,84.4431,-6.4473,2.11618
370,84.7631,-6.20378,2.05749
371,84.7297,-6.49059,2.06921
372,90.4066,-6.56942,2.11443
373,90.3794,-6.85554,2.13874
374,90.6896,-6.60337,2.06452
375,90.6692,-6.88591,2.13379
376,96.305,-6.83676,2.15456
377,96.1881,-7.10146,2.1457
378,96.5735,-6.95044,2.15223
379,96.459,-7.21493,2.1556
380,104.816,-7.47177,2.24841
381,104.8,-7.75915,2.28684
382,105.116,-7.52326,2.23009
383,105.082,-7.78885,2.31421
384,108.616,-7.72437,2.35885
385,108.521,-7.99264,2.35741
386,108.899,-7.82745,2.32411
387,108.799,-8.09224,2.35756
388,114.24,-8.04813,2.27465
389,114.293,-8.33376,2.29627
390,114.518,-7.99323,2.32135
391,114.588,-8.27361,2.31899
392,120.18,-8.4379,2.27774
393,120.188,-8.70253,2.38453
394,120.484,-8.44515,2.2687
395,120.472,-8.72666,2.33151
396,126.078,-8.69256,2.30823
397,126.08,-8.97473,2.35352
398,126.374,-8.70735,2.29847
399,126.362,-8.99796,2.33526
400,132.004,-8.94155,2.27631
401,131.944,-9.21278,2.31395
402,132.299,-9.01368,2.27762
403,132.231,-9.28748,2.31938
404,138.009,-9.41332,2.32023
405,137.947,-9.66737,2.42325
406,138.296,-9.45784,2.36246
407,138.237,-9.73922,2.4094
408,143.942,-9.68308,2.33337
409,143.843,-9.95302,2.33121
410,144.209,-9.76294,2.33188
411,144.125,-10.0447,2.33193
412,151.07,-10.084,2.30957
413,150.971,-10.3459,2.32203
414,151.343,-10.1915,2.30528
415,151.241,-10.456,2.34982
416,3.40749,-1.8405,0.719004
417,3.36917,-2.13219,0.745805
418,3.68127,-1.87752,0.755344
419,3.66781,-2.15973,0.779668
421,10.5499,-2.28176,0.917456
422,10.5233,-2.56761,0.918095
423,10.8276,-2.30315,0.878228
424,10.8249,-2.58714,0.937894
425,16.3993,-2.67549,0.9887
426,16.4594,-2.95667,0.997779
427,16.6965,-2.62927,0.994341
428,16.761,-2.90542,1.01327
429,22.353,-3.10672,1.19463
430,22.349,-3.39136,1.22278
431,22.6525,-3.1152,1.18857
432,22.6529,-3.39798,1.24086
433,28.2181,-3.53902,1.28553
434,28.1887,-3.81736,1.26487
435,28.5156,-3.57794,1.26406
436,28.4535,-3.86483,1.2113
437,34.1477,-3.89344,1.3984
438,34.1214,-4.18215,1.40751
439,34.4363,-3.92225,1.36215
440,34.4009,-4.20741,1.32206
441,40.1621,-4.35589,1.51573
442,40.2005,-4.63926,1.55139
443,40.4549,-4.33053,1.48091
444,40.4934,-4.59075,1.59747
445,46.0461,-4.78435,1.66888
446,46.1071,-5.06323,1.67346
447,46.3529,-4.7404,1.63143
448,46.3946,-5.01734,1.6947
449,51.5694,-5.17117,1.72371
450,51.5512,-5.45464,1.78546
451,51.8653,-5.19977,1.73519
452,51.8572,-5.46466,1.7424
453,55.3895,-5.34102,1.84681
