id,x,y,z
0,3.49614,2.80519,0.623259
1,3.53112,2.51719,0.6101
2,3.79245,2.80847,0.630617
3,3.78796,2.51929,0.634037
4,10.6167,2.30401,0.829215
5,10.6886,2.09446,0.637008
6,10.8953,2.2809,0.930143
7,10.8974,2.01553,0.804431
9,16.5955,1.60545,0.892762
10,16.8566,1.89717,1.01757
11,16.814,1.61717,1.01606
12,22.5495,1.488,1.07016
13,22.4306,1.22566,1.04484
14,22.8027,1.35801,1.14776
15,22.6492,1.10689,1.16347
16,28.3146,1.03276,1.02175
17,28.2989,0.797201,1.18287
18,28.5213,1.12935,1.20087
19,28.635,0.849703,1.20078
21,34.275,0.381673,1.31774
22,34.6329,0.607185,1.32423
23,34.5831,0.332563,1.33367
25,40.124,0.0111757,1.4828
26,40.4716,0.244781,1.53387
27,40.4243,-0.0330593,1.50207
29,46.0196,-0.39627,1.57065
30,46.3954,-0.210976,1.54917
31,46.3149,-0.479447,1.59064
32,51.7445,-0.660768,1.80121
33,51.7479,-0.860129,1.59951
34,51.9984,-0.562744,1.68872
35,52.0627,-0.844765,1.63014
37,55.4018,-1.01512,1.81394
38,55.7416,-0.773202,1.84822
39,55.6853,-1.05174,1.85547
40,64.0625,-1.34306,1.70142
41,64.0467,-1.56858,1.86644
42,64.3013,-1.26358,1.84447
43,64.3775,-1.55364,1.85716
44,69.9974,-1.72589,1.69156
45,69.9436,-1.96022,1.86138
46,70.2031,-1.65793,1.88644
47,70.2553,-1.94584,1.89966
49,75.9943,-2.47128,1.91707
50,76.3934,-2.32373,1.98053
51,76.2706,-2.52694,1.8338
53,81.4563,-2.66379,1.97533
54,81.8319,-2.46152,2.01666
55,81.7542,-2.71951,1.95814
56,87.5964,-2.90866,1.94451
57,87.6785,-3.12401,2.1138
58,87.869,-2.80426,1.95605
59,87.9696,-3.06844,2.03785
61,93.5026,-3.44848,2.0295
62,93.8255,-3.7074,2.03709
63,93.8133,-3.4333,2.03848
65,99.416,-3.90081,2.0982
66,99.7421,-3.65588,2.11482
67,99.7055,-3.93204,2.12438
69,105.052,-4.12102,2.15006
70,105.389,-4.33369,2.13253
71,105.344,-4.05309,2.1675
73,108.782,-4.41044,2.21348
74,109.151,-4.2124,2.24071
75,109.066,-4.48357,2.21781
77,117.53,-5.01929,2.30491
78,117.909,-4.81395,2.31153
79,117.83,-5.0791,2.2865
81,123.364,-5.33069,2.33257
82,123.751,-5.19071,2.25965
83,123.618,-5.43947,2.26745
85,129.276,-5.70484,2.27949
86,129.644,-5.53356,2.23316
87,129.541,-5.80524,2.24273
89,135.161,-5.99692,2.23947
90,135.518,-5.79069,2.22383
91,135.465,-6.06295,2.25054
93,141.089,-6.44891,2.27679
94,141.392,-6.15349,2.25525
