id,x,y,z
0,2.66269,2.96856,0.648021
1,2.49016,2.87279,0.847816
2,2.88236,2.83921,0.784757
3,2.74418,2.60946,0.835031
4,10.0371,2.27247,0.882064
5,9.95186,1.99306,0.909949
6,10.3182,2.1891,0.893578
7,10.2258,1.9175,0.867893
9,16.1118,2.02043,0.994091
10,16.501,1.95367,0.972784
11,16.3016,1.75153,0.998913
12,22.3381,1.71689,0.850841
13,22.0985,1.64286,0.998732
14,22.5012,1.57501,1.0529
15,22.2611,1.41185,1.10068
16,28.114,1.09048,0.985883
17,28.1018,0.880539,1.18099
18,28.3307,1.20288,1.1451
19,28.441,0.921044,1.15917
21,34.0187,0.642225,1.21947
22,34.4327,0.684796,1.25232
23,34.2242,0.895249,1.21339
25,39.989,0.259011,1.26684
26,40.3727,0.31192,1.4086
27,40.2144,0.519426,1.27103
29,45.9159,-0.403905,1.49281
30,46.274,-0.1817,1.51287
31,46.199,-0.446604,1.57032
32,51.5497,-0.410954,1.71381
33,51.5406,-0.494953,1.44367
34,51.7459,-0.208156,1.65518
35,51.6677,-0.189884,1.38079
37,55.4832,-0.441681,1.49602
38,55.8465,-0.557065,1.62342
39,55.6167,-0.73084,1.6204
40,63.9637,-0.848347,1.44428
41,63.9091,-1.24859,1.39594
42,64.1407,-1.0049,1.60971
43,64.231,-1.21354,1.42972
44,69.8681,-1.59663,1.37309
45,70.023,-1.36189,1.46791
46,70.0021,-1.7492,1.5793
47,70.2341,-1.59461,1.52718
49,75.8558,-2.32843,1.55276
50,76.2615,-2.18377,1.64206
51,76.1465,-2.38479,1.49819
53,81.4254,-2.56539,1.81093
54,81.8105,-2.37749,1.85295
55,81.7211,-2.63147,1.80119
56,87.5898,-2.83963,1.91134
57,87.6453,-3.0156,2.1334
58,87.8726,-2.75997,1.92138
59,87.9389,-3.01885,2.04416
61,93.6228,-3.13779,2.22269
62,94.0297,-3.0527,2.22432
63,93.8245,-2.84122,2.25848
65,99.627,-3.5427,2.29514
66,99.7373,-3.23775,2.05878
67,99.8044,-3.22583,2.34493
69,105.189,-3.89061,2.2726
70,105.115,-3.53169,2.10824
71,105.243,-3.55929,2.37214
73,108.76,-4.3846,2.25956
74,109.091,-4.12558,2.26917
75,109.044,-4.40012,2.31441
77,117.42,-4.98127,2.44358
78,117.77,-4.72954,2.48832
79,117.712,-4.9898,2.43358
81,123.584,-4.71591,2.54586
82,123.947,-4.90178,2.51753
83,123.698,-5.0389,2.52508
85,129.605,-4.95105,1.85063
86,129.946,-5.14429,2.00591
87,129.696,-5.24807,2.05085
89,135.448,-5.96481,1.93642
90,135.82,-5.79005,1.91534
91,135.751,-6.06348,1.93992
93,141.577,-6.22575,1.85804
94,141.954,-6.06315,1.85125
95,141.723,-5.88752,1.8492
97,147.445,-6.41434,1.85728
98,147.821,-6.52383,1.86648
99,147.738,-6.26701,1.85562
100,151.796,-6.65066,2.01728
101,151.976,-6.82178,1.88003
103,152.174,-6.51969,1.88839
104,2.65552,2.08497,0.694727
105,2.51208,1.87932,0.809494
106,2.8986,1.94045,0.777491
107,2.76739,1.69156,0.815311
108,7.38798,1.63284,1.02141
109,7.18316,1.57477,0.971837
110,7.55272,1.40991,0.928839
111,7.28506,1.27572,0.938639
112,13.0372,0.918434,1.0786
113,13.1391,1.15309,1.08081
114,13.2913,0.779336,1.05793
115,13.4661,1.0028,1.07419
116,19.1087,0.924791,1.05876
117,18.9938,0.615074,1.06464
118,19.3698,0.808229,1.12164
119,19.2726,0.540247,1.11809
120,25.357,0.509916,1.17329
121,25.1629,0.302122,1.20783
122,25.5795,0.358334,1.26626
123,25.4205,0.123161,1.19922
124,31.3533,0.0239634,1.39484
125,31.2739,-0.244137,1.3983
126,31.5815,-0.0713402,1.22872
127,31.4091,-0.319725,1.18643
128,37.3101,-0.602092,1.55975
129,37.072,-0.644144,1.42636
130,37.4356,-0.448583,1.35736
131,37.1728,-0.366656,1.27878
132,42.9342,-0.822681,1.68477
133,42.9567,-1.00759,1.46376
134,43.239,-0.789125,1.65835
135,43.1803,-0.751984,1.37423
136,51.7187,-1.31257,1.78259
137,51.5409,-1.46563,1.6287
138,51.9145,-1.30662,1.5589
139,51.6635,-1.2529,1.4147
140,55.3522,-1.66158,1.66529
141,55.4577,-1.49536,1.45611
142,55.6507,-1.69846,1.74131
143,55.6622,-1.74644,1.45723
144,61.1341,-1.71591,1.67474
145,60.974,-1.83729,1.51402
146,61.3466,-1.91347,1.70209
147,61.1697,-2.093,1.54573
148,66.86,-2.47368,1.63846
149,66.9894,-2.23546,1.48868
150,67.1644,-2.52083,1.71414
151,67.1929,-2.4499,1.43751
152,73.0101,-2.76785,1.5388
153,72.8645,-3.02744,1.55468
154,73.2722,-2.8907,1.59446
155,73.1499,-3.12517,1.49003
156,78.8765,-3.12017,1.8051
157,78.8464,-3.41383,1.8106
158,79.1645,-3.14201,1.82008
159,79.1231,-3.422,1.79691
160,84.7014,-3.42412,1.8409
161,84.5115,-3.63433,1.93497
162,84.9085,-3.54367,2.01106
163,84.757,-3.79044,1.99722
164,90.6346,-3.93079,2.02898
165,90.5318,-3.90978,2.30215
166,90.8916,-3.86128,2.13313
167,90.7672,-3.70073,2.34032
168,96.6313,-4.20373,2.05053
169,96.5237,-4.32656,2.27699
170,96.8989,-4.17466,2.17062
171,96.7399,-4.08355,2.39947
172,105.019,-4.81043,2.14592
173,104.902,-4.82258,2.40625
174,105.29,-4.77335,2.26252
175,105.141,-4.62603,2.46476
176,108.782,-5.06504,2.37096
177,108.952,-4.8982,2.52303
178,109.025,-5.1422,2.21766
179,109.143,-5.20917,2.46357
180,114.613,-5.26687,2.23758
181,114.573,-5.21643,2.51222
182,114.876,-5.40766,2.33109
183,114.667,-5.52618,2.51329
184,120.289,-5.71272,2.55587
185,120.525,-5.58758,2.52576
186,120.596,-5.64862,2.65
187,120.601,-5.91335,2.48491
188,126.386,-6.05139,2.30434
189,126.522,-5.97901,2.55887
190,126.678,-6.12429,2.219
191,126.654,-6.25917,2.47797
192,132.426,-6.41897,2.11787
193,132.317,-6.67678,2.21658
194,132.696,-6.52607,2.11423
195,132.572,-6.78527,2.09194
196,138.362,-6.80668,2.1111
197,138.514,-7.0216,1.96605
198,138.631,-6.65016,2.1051
199,138.676,-6.74863,1.88224
200,144.532,-7.43914,2.02141
201,144.407,-7.27266,1.83892
202,144.807,-7.34399,1.95085
203,144.666,-7.1034,1.90131
204,151.717,-7.49401,2.0316
205,151.802,-7.76338,1.9635
206,151.988,-7.37672,2.01331
207,152.089,-7.60338,1.91442
208,2.74374,0.990952,0.831437
209,2.52654,0.780923,0.878604
210,2.94106,0.872693,0.965944
211,2.82876,0.633815,0.872593
212,10.162,0.128226,1.04266
213,9.89857,0.249382,0.981179
214,10.3384,0.335275,1.008
215,10.1617,0.395208,0.800913
216,16.0956,0.136903,1.13198
217,16.1478,-0.103398,0.98776
218,16.4083,0.148036,1.14308
219,16.389,-0.149121,1.11322
220,22.033,-0.241437,1.16873
221,22.1599,-0.467995,1.14102
222,22.3339,-0.129467,1.20329
223,22.418,-0.410917,1.21746
224,28.0544,-0.720259,1.28564
225,28.1839,-0.935448,1.42033
226,28.3381,-0.639875,1.19704
227,28.4417,-0.885569,1.30897
228,34.1596,-1.20312,1.45799
229,34.075,-1.45813,1.42094
230,34.451,-1.26544,1.41178
231,34.3621,-1.53174,1.35607
232,39.9477,-1.62945,1.50819
233,39.8262,-1.84308,1.44001
234,40.2187,-1.7315,1.54357
235,40.2605,-1.60292,1.29318
236,46.0506,-2.1704,1.74274
237,45.9216,-2.12821,1.487
238,46.3226,-2.13866,1.62815
239,46.1951,-1.99611,1.41205
240,51.6191,-2.17535,1.76078
241,51.5543,-2.44651,1.69557
242,51.8805,-2.20491,1.62632
243,51.68,-2.32554,1.44827
244,55.3589,-2.6271,1.70363
245,55.4975,-2.58528,1.50695
246,55.6564,-2.61197,1.85491
247,55.7318,-2.74102,1.60331
248,63.8122,-3.23066,1.70888
249,64.0292,-3.10438,1.57755
250,64.0674,-3.33228,1.88494
251,64.2077,-3.33922,1.6322
252,70.048,-3.33359,1.55007
253,69.975,-3.65857,1.57563
254,70.2893,-3.42981,1.69253
255,70.2702,-3.67619,1.5418
256,76.0146,-3.70628,1.64815
257,75.9747,-4.01198,1.67178
258,76.3065,-3.7723,1.68094
259,76.2976,-4.06395,1.67482
260,81.3566,-4.20165,2.01647
261,81.3401,-4.47677,1.94784
262,81.6624,-4.20455,1.9835
263,81.6366,-4.48179,1.93516
264,87.4367,-4.59193,2.06696
265,87.4559,-4.77709,2.27759
266,87.7556,-4.63288,2.05885
267,87.716,-4.5647,2.34035
268,93.4228,-5.04305,2.16067
269,93.4551,-5.18431,2.36532
270,93.735,-5.0349,2.11418
271,93.7038,-4.95534,2.39137
272,99.5936,-5.42274,2.06202
273,99.4161,-5.45887,2.29229
274,99.8513,-5.45513,2.20738
275,99.6917,-5.32446,2.40685
276,104.85,-5.61671,2.17083
277,104.967,-5.8739,2.26945
278,105.141,-5.5256,2.19995
279,105.082,-5.65676,2.45657
280,108.65,-5.98377,2.40636
281,108.911,-5.90503,2.54882
282,108.872,-6.1089,2.22372
283,108.987,-6.19081,2.47956
284,117.333,-6.65939,2.48412
285,117.538,-6.47054,2.56348
286,117.627,-6.71021,2.3121
287,117.704,-6.74935,2.57185
288,123.227,-6.99155,2.56872
289,123.469,-6.82357,2.55966
290,123.415,-7.19859,2.44201
291,123.639,-7.05724,2.54313
292,129.364,-7.12287,2.27317
293,129.411,-7.19768,2.54484
294,129.689,-7.20615,2.22922
295,129.6,-7.40123,2.40209
296,135.303,-7.54395,2.10522
297,135.423,-7.74699,1.93898
298,135.594,-7.46814,2.18133
299,135.687,-7.57403,1.93439
300,141.343,-8.32219,2.0011
301,141.292,-8.07506,1.99427
302,141.654,-8.2562,1.98834
303,141.586,-7.9782,1.93489
304,147.237,-8.37488,1.99735
305,147.403,-8.55904,2.04063
306,147.455,-8.15762,2.04681
307,147.621,-8.3446,1.94254
308,151.678,-8.51925,2.04475
309,151.791,-8.78154,2.00771
310,151.948,-8.39312,2.01351
311,152.046,-8.63186,1.93853
312,2.5382,-1.12197,0.924023
313,2.64732,-1.37868,0.864203
314,2.87688,-1.02861,0.937327
315,2.90121,-1.30843,0.975531
316,7.14333,-1.44003,1.00217
317,7.26709,-1.67127,0.865902
318,7.42235,-1.33191,1.01732
319,7.54161,-1.5556,0.894488
320,13.2357,-1.6203,1.14215
321,13.1319,-1.91088,1.07768
322,13.4982,-1.70575,1.08464
323,13.4258,-1.97789,1.09962
324,19.154,-2.19264,1.09411
325,19.159,-2.3399,1.32254
326,19.4242,-2.05857,1.16539
327,19.4632,-2.31986,1.29897
328,25.3612,-2.28571,1.24004
329,25.2916,-2.56638,1.25997
330,25.6471,-2.371,1.21052
331,25.5787,-2.64411,1.26328
332,31.0022,-2.78002,1.38835
333,31.0574,-3.05978,1.44267
334,31.3247,-2.77204,1.36965
335,31.3048,-3.05605,1.286
336,37.05,-3.20179,1.4965
337,37.0246,-3.47882,1.55424
338,37.318,-3.24179,1.40801
339,37.326,-3.51287,1.51729
340,42.972,-3.64524,1.47274
341,42.9705,-3.9058,1.58267
342,43.2624,-3.67913,1.39616
343,43.2679,-3.902,1.59441
344,51.4483,-4.06378,1.62679
345,51.5264,-4.25052,1.83677
346,51.6654,-4.18764,1.46046
347,51.7727,-4.316,1.69692
348,55.5013,-4.42088,1.59116
349,55.4761,-4.67918,1.70073
350,55.7702,-4.40889,1.6837
351,55.7666,-4.70414,1.71449
352,61.0396,-4.78047,1.5766
353,61.0319,-5.04308,1.49346
354,61.3092,-4.80959,1.67497
355,61.3138,-5.08769,1.58721
356,66.9931,-5.16415,1.61134
357,67.0646,-5.44476,1.64871
358,67.2706,-5.08452,1.67687
359,67.3421,-5.36912,1.70244
360,73.0326,-5.55623,1.61477
361,73.031,-5.82266,1.74838
362,73.317,-5.58325,1.64696
363,73.2976,-5.8643,1.66846
364,78.882,-5.91736,1.86732
365,78.9142,-6.13562,2.03721
366,79.1978,-5.90121,1.91663
367,79.1944,-6.17101,1.93376
368,84.3485,-6.23758,2.21936
369,84.424,-6.46251,2.05085
370,84.6433,-6.27957,2.34239
371,84.7015,-6.42999,2.10452
372,90.4262,-6.56228,2.21461
373,90.4457,-6.78884,2.0419
374,90.6034,-6.66205,2.38055
375,90.5836,-6.94066,2.2406
376,96.4139,-6.89343,2.31117
377,96.2671,-7.15884,2.27645
378,96.5907,-7.02884,2.45904
379,96.5468,-7.27258,2.31861
380,104.796,-7.49334,2.35918
381,104.814,-7.76599,2.27783
382,104.961,-7.569,2.57009
383,105.083,-7.79452,2.41478
384,108.81,-7.81851,2.64322
385,108.667,-8.05848,2.56762
386,109.037,-7.87033,2.55007
387,108.965,-8.1545,2.55875
388,114.383,-8.15514,2.58843
389,114.398,-8.47304,2.59032
390,114.635,-8.14325,2.59315
391,114.679,-8.42371,2.58361
392,120.371,-8.53015,2.61302
393,120.304,-8.81119,2.56298
394,120.617,-8.55636,2.52751
395,120.605,-8.83941,2.54017
396,126.368,-8.89014,2.65525
397,126.258,-9.06697,2.47601
398,126.596,-8.83029,2.49632
399,126.564,-9.12213,2.4337
400,132.319,-9.13081,2.17923
401,132.189,-9.37667,2.22154
402,132.499,-9.29604,1.97283
403,132.483,-9.48918,2.20066
404,138.218,-9.60449,2.06218
405,138.14,-9.86526,1.99253
406,138.499,-9.66014,1.98625
407,138.426,-9.9484,2.01505
408,144.232,-9.96807,1.98127
409,144.11,-10.16,2.12348
410,144.497,-10.0853,2.01401
411,144.356,-10.3469,2.05458
412,151.659,-10.4276,2.09507
413,151.53,-10.6784,2.0939
414,151.931,-10.553,2.0549
415,151.782,-10.8251,2.10008
416,2.54835,-2.18579,0.935607
417,2.67869,-2.36227,0.761872
418,2.81662,-2.00103,0.915924
419,2.94336,-2.24564,0.816262
421,10.1001,-2.51712,0.978431
422,10.1743,-2.80825,0.98901
423,10.3863,-2.45207,0.94675
424,10.4717,-2.72317,1.00233
425,16.1991,-2.82058,1.02349
426,16.2433,-3.20492,1.0245
427,16.4697,-2.82343,1.0805
428,16.5128,-3.09828,1.04319
429,22.1236,-3.0451,1.21532
430,22.1718,-3.32146,1.24073
431,22.446,-3.01015,1.19548
432,22.4742,-3.29047,1.22852
433,28.2537,-3.49398,1.33078
434,28.329,-3.77227,1.33249
435,28.5378,-3.42673,1.30242
436,28.6106,-3.70403,1.34286
437,34.0803,-3.98276,1.40098
438,34.1553,-4.2463,1.5237
439,34.3941,-3.97983,1.36178
440,34.3252,-4.29023,1.2959
441,40.0496,-4.41322,1.469
442,40.0073,-4.69409,1.51169
443,40.3043,-4.5406,1.31363
444,40.305,-4.73466,1.51516
445,46.0257,-4.86616,1.63813
446,46.1376,-5.12527,1.70679
447,46.2453,-4.89778,1.41357
448,46.4138,-5.02709,1.62443
449,51.5668,-5.02776,1.63465
450,51.4879,-5.22535,1.84372
451,51.6895,-5.27075,1.50271
452,51.7447,-5.37038,1.7722
453,55.4973,-5.5017,1.59709
454,55.5105,-5.76469,1.67841
455,55.7355,-5.42109,1.72538
456,55.8159,-5.71328,1.70008
457,64.048,-6.03952,1.67964
