"Point Name","X (East)","Y (North)","Z (Elevation)","Z","x_lio","y_lio","z_lio"
"a9","3.144","37.955","0.768","0.768","16.19129184272728","1.9846051561911793","1.0429656252392259"
"a13","3.131","31.959","0.586","0.586","22.177402662126088","1.5950882182146024","1.0508910845843331"
"a23","3.119","19.809","0.423","0.423","34.30201663102012","0.824430805574643","1.2723324033182957"
"a27","3.108","13.808","0.294","0.294","40.29163186859631","0.4377136132885271","1.3333415746408712"
"a35","3.096","2.335","0.047","0.047","51.74344416935394","-0.2926278409208467","1.449438036601077"
"a37","3.076","-1.49","0.043","0.043","55.557997399196864","-0.5504341934072849","1.5667433702927989"
"a40","3.188","-9.974","-0.27","-0.27","64.03787564369159","-0.9726324165016274","1.5200248626010542"
"a45","3.043","-16.051","-0.438","-0.438","70.0960768292154","-1.4986053608865015","1.5470222234523443"
"a63","3.003","-39.912","-0.389","-0.389","93.89498478248811","-3.0207089076398255","2.3510763414159572"
"a67","2.982","-45.904","-0.489","-0.489","99.87411371464177","-3.416235078272418","2.4409721757350855"
"a71","2.98","-51.351","-0.631","-0.631","105.31203745327312","-3.759808005704772","2.471304606646651"
"a280","1.18","-54.166","-0.426","-0.426","108.00095031681857","-5.726598666061644","2.7995303073356963"
"a81","2.94","-69.724","-1.029","-1.029","123.64987679996426","-4.950175401438193","2.6551702046297385"
"a186","1.826","-66.802","-0.856","-0.856","120.65979814718173","-5.876500987410237","2.7569521231998104"
"a85","3.085","-75.724","-1.909","-1.909","129.67108756861","-5.196964070215402","1.9626810476694643"
"a95","2.889","-87.871","-2.291","-2.291","141.78780509542005","-6.155645069740409","1.9686907601398722"
"a99","2.876","-93.895","-2.472","-2.472","147.8018173866124","-6.546881476926434","1.9785007081134798"
"a103","2.895","-98.338","-2.577","-2.577","152.2383807184258","-6.806311859358843","2.013667162013488"
"a109","2.157","46.836","1.004","1.004","7.262782206688911","1.5567476448108026","1.0168959277857579"
"a113","2.096","40.866","0.926","0.926","13.216785486668087","1.123138007757115","1.1288451334607892"
"a116","2.231","34.896","0.721","0.721","19.186949791622325","0.8824344235976991","1.1101380112044574"
"a131","2.038","16.789","0.375","0.375","37.24825227030147","-0.442974556182143","1.340480820897802"
"a135","2.018","10.769","0.283","0.283","43.25513295150088","-0.8390751057625616","1.439237271094236"
"a139","2.034","2.274","0.06","0.06","51.737224981524434","-1.3558570053912615","1.4846383991316692"
"a141","2.023","-1.527","-0.017","-0.017","55.53061782998803","-1.6047264604036129","1.5280629496425187"
"a145","2.017","-7.053","-0.131","-0.131","61.046248072768634","-1.9566124910367226","1.5889501105983603"
"a149","1.986","-13.078","-0.344","-0.344","67.06109928416699","-2.3665453829280803","1.567157247422462"
"a167","1.957","-36.916","-0.233","-0.233","90.83587165456217","-3.8749387635572026","2.432231894587399"
"a171","1.938","-42.9","-0.36","-0.36","96.80796529755041","-4.268539906458835","2.4948550507359823"
"a175","1.907","-51.316","-0.557","-0.557","105.20750953417195","-4.82676287369069","2.564638543719557"
"a177","1.867","-55.136","-0.618","-0.618","109.01754967591673","-5.105414312465509","2.6252066373175946"
"a181","1.892","-60.763","-0.803","-0.803","114.63803572592397","-5.434138906044377","2.617743176297977"
"a185","1.883","-66.726","-0.973","-0.973","120.59111372619995","-5.817360736156237","2.6365408239126955"
"a189","1.858","-72.732","-1.129","-1.129","126.58565748903138","-6.218926503236535","2.6709938384088407"
"a199","1.843","-84.884","-2.184","-2.184","138.7391575990089","-7.0114650941442225","2.001164264040757"
"a203","1.853","-90.882","-2.351","-2.351","144.72825219795618","-7.377840404728264","2.0237034888565217"
"a207","1.807","-98.319","-2.57","-2.57","152.15090608110057","-7.89063832077385","2.0408390758222557"
"a217","1.025","37.79","0.718","0.718","16.224369904488178","-0.14113553663692535","1.0386820887521506"
"a221","1.025","31.765","0.684","0.684","22.235733315758015","-0.5163699648132964","1.1951750967665498"
"a233","0.722","14.05","0.428","0.428","39.89635177536299","-1.9252816133469968","1.5051647593138984"
"a235","0.993","13.632","0.272","0.272","40.3350842582244","-1.6841304880493815","1.3573102928613905"
"a239","0.959","7.685","0.206","0.206","46.267474391850975","-2.0891162035308453","1.480008592385109"
"a243","0.964","2.192","0.072","0.072","51.75148275651899","-2.4283953388368493","1.519656096685437"
"a245","0.938","-1.634","0.011","0.011","55.56838725861515","-2.693449920496773","1.5801465142666884"
"a249","0.937","-10.18","-0.184","-0.184","64.09943777816605","-3.2297763968765745","1.655465460119279"
"a252","1.076","-16.198","-0.396","-0.396","70.11794885993555","-3.469619570738018","1.6312041623441373"
"a256","1.066","-22.176","-0.484","-0.484","76.08343819875421","-3.8530467788485114","1.7324391588697514"
"a267","0.909","-33.924","-0.159","-0.159","87.7831125794194","-4.733137831338151","2.4316080409964362"
"a271","0.883","-39.923","-0.295","-0.295","93.77000344079505","-5.134845614475802","2.4858452140733096"
"a275","0.879","-45.92","-0.466","-0.466","99.75734293825558","-5.515212726981176","2.5046229102416335"
"a279","0.875","-51.319","-0.584","-0.584","105.14652938049295","-5.857292778841257","2.5574597243424635"
"a281","0.859","-55.157","-0.611","-0.611","108.97500032831798","-6.112399652473989","2.652115335296605"
"a285","0.82","-63.799","-0.866","-0.866","117.60125283224897","-6.693873768368595","2.671235768568081"
"a289","0.829","-69.738","-1.054","-1.054","123.53206581063719","-7.058021169577094","2.67094323644693"
"a293","0.818","-75.687","-1.253","-1.253","129.4719327119138","-7.442978454784635","2.660356278247712"
"a299","0.836","-81.953","-2.059","-2.059","135.74827587214332","-7.831471561489887","2.052651052761836"
"a303","0.792","-87.863","-2.243","-2.243","141.6467105006","-8.246617912995658","2.0564511389085753"
"a307","0.794","-93.906","-2.423","-2.423","147.6805879271221","-8.624046674792968","2.067574603974045"
"a311","0.778","-98.339","-2.565","-2.565","152.10610143183627","-8.91855830363604","2.0661185583505177"
"a316","-0.861","46.693","0.975","0.975","7.216833994016312","-1.4642459337865343","1.050070614308107"
"a321","-0.966","40.688","0.862","0.862","13.204052120609212","-1.9446725861811174","1.1289904233946855"
"a324","-0.881","34.662","0.693","0.693","19.22584802389825","-2.23799213742471","1.148983922078988"
"a335","-1.004","22.481","0.504","0.504","31.37520686485807","-3.1218841841707805","1.3475427377745361"
"a342","-0.899","10.51","0.244","0.244","43.33154702785987","-3.7667074066442194","1.4641571380396472"
"a346","-0.896","2.094","0.047","0.047","51.73322590165223","-4.29100366250948","1.5332913391037277"
"a348","-0.898","-1.752","0.058","0.058","55.56940273547703","-4.531838666369506","1.6659065740569208"
"a352","-0.919","-7.298","-0.129","-0.129","61.10625866960291","-4.901471144600718","1.654762258389255"
"a356","-0.939","-13.262","-0.28","-0.28","67.05906681479487","-5.295331757355217","1.6927886210446697"
"a360","-0.962","-19.312","-0.465","-0.465","73.09850940275584","-5.698246932111102","1.699614210743829"
"a370","-0.99","-30.962","-0.099","-0.099","84.70727676447027","-6.442661845417853","2.4341935314714256"
"a374","-1.009","-36.932","-0.247","-0.247","90.66604201112985","-6.835834473585919","2.4753884299579973"
"a378","-1.012","-42.93","-0.355","-0.355","96.65252930164138","-7.213940690221111","2.5571356591814443"
"a382","-1.043","-51.317","-0.505","-0.505","105.02171731578832","-7.76937234182278","2.6729703010554298"
"a384","-1.059","-55.175","-0.552","-0.552","108.8707467311828","-8.026143135143922","2.7482718224555356"
"a388","-1.054","-60.754","-0.78","-0.78","114.44339937062125","-8.372745406035413","2.696702199879261"
"a392","-1.064","-66.752","-0.942","-0.942","120.4310865105059","-8.758972430080297","2.7246199497396626"
"a396","-1.059","-72.757","-1.086","-1.086","126.42615191504007","-9.130288281345086","2.770460259045754"
"a402","-1.078","-78.878","-1.96","-1.96","132.5575894577845","-9.548118694668766","2.0909240899377552"
"a406","-1.076","-84.886","-2.133","-2.133","138.55633959083602","-9.923224580250015","2.1079363154429185"
"a410","-1.135","-90.897","-2.293","-2.293","144.55385797536127","-10.359112003503341","2.1391994171943307"
"a414","-1.15","-98.343","-2.484","-2.484","151.98658620871876","-10.840947206118342","2.184008418203138"
"a422","-2.039","43.587","0.844","0.844","10.245289975481718","-2.8355339566964672","1.0398467916307759"
"a426","-2.067","37.507","0.69","0.69","16.31340450787536","-3.244651091189115","1.0786951122858328"
"a440","-2.052","19.393","0.399","0.399","34.3930792092954","-4.361786619681192","1.3602495507390795"
"a443","-1.938","13.412","0.233","0.233","40.37171431765694","-4.623308337377049","1.381264598686473"
"a447","-1.934","7.46","0.148","0.148","46.31205485151951","-4.991086435225514","1.4844082484776078"
"a451","-1.976","2.003","0.067","0.067","51.755591066119905","-5.373911607368111","1.5767790658825729"
"a453","-1.978","-1.813","0.043","0.043","55.56290347039189","-5.6136180142138326","1.673469783088552"
"a457","-1.994","-10.379","-0.141","-0.141","64.11262960696011","-6.165923988475768","1.760699941157243"
"a461","-2.012","-16.422","-0.362","-0.362","70.14649604369447","-6.564172079054568","1.731233315950422"
"a475","-2.04","-33.926","-0.143","-0.143","87.59947359883043","-7.675568880051024","2.5039768766836095"
"a479","-2.071","-39.925","-0.258","-0.258","93.58541302439309","-8.081824148019475","2.5792952060761927"
"a483","-2.068","-45.938","-0.416","-0.416","99.58875839722891","-8.455927466757544","2.611436166857307"
"a487","-2.085","-51.317","-0.483","-0.483","104.95562908823707","-8.808663488219022","2.7148541786399853"
"a489","-2.069","-55.151","-0.527","-0.527","108.78263493140864","-9.03194829288039","2.791783837017862"
"a493","-2.101","-63.8","-0.832","-0.832","117.41782777830404","-9.607924379475879","2.761025999053209"
"a497","-2.111","-69.761","-1.014","-1.014","123.36921216076487","-9.992272153690184","2.767787704304558"
"a507","-2.116","-81.932","-2.021","-2.021","135.5408366615386","-10.775003671032632","2.1463350641753545"
"a515","-2.157","-93.876","-2.318","-2.318","147.46219942394993","-11.564612139315322","2.2279092868740182"
"a519","-2.176","-98.309","-2.489","-2.489","151.88840496112917","-11.862727319868593","2.1975303177098255"
"a529","-2.952","40.497","0.847","0.847","13.270354548864645","-3.93857992043801","1.157965074454016"
"a533","-2.963","34.517","0.712","0.712","19.239203062241153","-4.324117945174287","1.212314461252741"
"a547","-2.966","16.392","0.34","0.34","37.33117988073275","-5.461602287726886","1.4136156525325037"
"a552","-3.106","10.31","0.187","0.187","43.394227439825656","-5.982581287460743","1.4556653613750976"
"a555","-3.028","1.911","0.048","0.048","51.781895695512794","-6.42976243795164","1.5807903036685125"
"a557","-3.037","-1.907","0.049","0.049","55.59000479567005","-6.676052199806923","1.7026608682228073"
"a561","-3.051","-7.462","-0.062","-0.062","61.13397109196993","-7.037660545902573","1.7676155410715828"
"a565","-3.061","-13.481","-0.248","-0.248","67.14333569688569","-7.425697790967284","1.7722135437274038"
"a569","-3.066","-19.47","-0.474","-0.474","73.12430157961818","-7.807722392336229","1.7357949559087977"
"a583","-3.079","-36.96","-0.204","-0.204","90.56270671212314","-8.902208483491766","2.558774682810785"
"a588","-3.234","-42.995","-0.368","-0.368","96.57826088634218","-9.435464975445887","2.5886325264144867"
"a591","-3.108","-51.318","-0.481","-0.481","104.89233847206867","-9.829478453210132","2.7364204753834294"
"a593","-3.118","-55.126","-0.551","-0.551","108.69256455523978","-10.077637944042138","2.7870424458691394"
"a597","-3.145","-60.752","-0.781","-0.781","114.31015441194094","-10.459134868459085","2.7355711087106984"
"a601","-3.153","-66.741","-0.957","-0.957","120.28941404294915","-10.843101247400591","2.749175697569629"
"a615","-3.161","-84.904","-2.094","-2.094","138.44220831873955","-12.004028788710364","2.1872956172502134"
"a619","-3.21","-90.897","-2.261","-2.261","144.42261086760715","-12.428966117616195","2.2108034882816154"
"a623","-3.265","-98.332","-2.48","-2.48","151.8427045690342","-12.950620311991901","2.2280477201446445"
