id,x,y,z
0,2.7089,3.0198,0.803448
1,2.49023,2.87155,0.84773
2,2.8947,2.7965,0.822298
3,2.68213,2.60541,0.825291
4,10.0055,2.33132,0.993332
5,9.9644,2.04658,0.970393
6,10.2986,2.28277,0.965754
7,10.2426,1.9983,0.982465
8,16.2956,2.12902,0.816204
9,16.1113,2.02167,0.994104
10,16.5043,1.94885,0.940354
11,16.2703,1.76325,0.980105
12,22.1312,1.70478,1.27082
13,22.0982,1.64361,0.998767
14,22.4241,1.63292,1.23389
15,22.3261,1.42755,1.04705
16,27.9898,1.15837,1.12034
17,27.9967,0.880784,1.1983
18,28.2768,1.17643,1.16158
19,28.3039,0.893183,1.18825
20,34.2124,0.568573,1.44563
21,34.0149,0.656425,1.2516
22,34.4205,0.694235,1.28769
23,34.2241,0.895381,1.21337
24,39.8978,0.401076,1.44986
25,40.0708,0.191814,1.37293
26,40.1475,0.541508,1.55277
27,40.2146,0.519239,1.27111
28,46.0327,-0.127083,1.53577
29,45.9675,-0.412733,1.53851
30,46.3215,-0.187222,1.55323
31,46.2576,-0.467533,1.54044
32,51.4187,-0.392458,1.64118
33,51.6288,-0.507068,1.4761
35,51.6678,-0.189923,1.38088
36,55.6822,-0.340912,1.58865
37,55.4828,-0.440892,1.49573
38,55.8365,-0.592718,1.61695
39,55.5728,-0.729891,1.58593
40,63.9635,-0.848106,1.44473
41,63.8944,-1.20172,1.45176
42,64.1747,-0.95804,1.61925
43,64.2212,-1.2103,1.48282
44,69.8734,-1.59598,1.45192
45,70.0234,-1.36259,1.4678
46,70.0486,-1.73521,1.63376
47,70.2745,-1.65384,1.49369
48,75.9082,-1.91589,1.57038
49,75.8027,-2.18305,1.63735
50,76.158,-1.97218,1.71188
51,76.0906,-2.24944,1.71424
52,81.6124,-2.31223,1.78051
53,81.6005,-2.5926,1.84749
54,81.8902,-2.30304,1.85597
55,81.9029,-2.5905,1.87104
56,87.3662,-2.73994,1.92702
57,87.5121,-2.95451,2.05655
58,87.5933,-2.56331,1.97715
59,87.7631,-2.79389,2.0229
60,93.6728,-2.98558,1.93521
61,93.7222,-3.17464,2.12073
62,93.9598,-2.88871,2.00025
63,93.8247,-2.84126,2.25829
64,99.4735,-3.34789,2.11958
65,99.6292,-3.52559,2.2688
66,99.7037,-3.17571,2.08181
67,99.8044,-3.22575,2.34493
