id,x,y,z
0,2.60538,3.37129,0.572501
1,2.48905,2.87566,0.847794
2,3.50616,2.90515,0.686664
3,3.1377,2.60339,0.664946
4,9.94351,2.45941,0.769858
5,9.95103,2.24043,0.837267
6,11.026,2.44139,0.731786
7,10.6483,2.08024,0.846534
8,15.8608,2.29859,1.01891
9,16.1114,2.02255,0.994198
10,17.0908,2.30606,0.927045
11,16.682,1.67242,0.981448
12,21.7085,1.70837,1.06765
13,22.0983,1.64408,0.998749
14,23.2718,1.71943,0.956881
15,22.7452,1.2192,1.03517
16,27.5814,1.57136,1.01672
17,27.8885,0.719545,1.0188
18,28.8522,1.25084,1.17426
19,28.7512,0.825658,1.17592
20,33.991,0.98556,1.28618
21,33.7485,0.240819,1.33266
22,35.0376,1.09322,1.27944
23,34.2244,0.895591,1.21337
24,39.8192,0.681532,1.5051
25,39.8143,0.24277,1.53676
26,41.0982,0.439036,1.50931
27,40.2147,0.519875,1.27101
28,45.7054,0.309882,1.44682
29,45.7672,-0.271577,1.37798
30,46.9814,0.103022,1.52149
31,46.3576,-0.373569,1.51417
32,51.0202,-0.325273,1.48767
33,51.1869,-0.742505,1.65236
35,51.6679,-0.189434,1.38067
36,55.2224,-0.334597,1.74344
37,55.483,-0.440316,1.49581
38,56.5042,-0.559489,1.7551
39,55.8428,-0.938792,1.64838
40,63.9636,-0.846802,1.44445
41,63.6053,-1.45217,1.7069
42,64.8238,-0.96754,1.68026
43,65.2381,-1.20532,1.83469
44,69.8076,-1.72304,1.75203
45,70.0228,-1.36161,1.46789
46,70.8683,-1.38748,1.74996
47,70.9699,-1.6313,1.75956
48,75.7434,-1.83755,1.91353
49,75.251,-2.02861,1.80856
50,77.015,-1.8022,1.94385
51,76.187,-2.29984,1.91365
52,81.4669,-2.0708,1.81586
53,81.0335,-2.46301,1.90709
54,82.4696,-2.09758,1.83357
55,82.5995,-2.37865,1.82377
56,87.1623,-2.64266,1.91801
57,87.2708,-3.3644,2.0058
58,88.236,-2.51031,1.85732
59,88.5435,-2.73694,1.86943
60,93.2889,-2.7447,1.90058
61,93.2798,-3.23837,2.01471
62,94.4388,-2.93731,1.89335
63,93.8249,-2.84059,2.25856
64,99.1821,-3.09327,2.07434
65,99.1521,-3.48855,1.94797
66,100.261,-3.26327,2.0354
67,99.8048,-3.22516,2.34508
68,104.372,-3.58524,1.99505
69,104.313,-3.65805,1.89306
70,105.406,-3.59548,2.02177
71,105.243,-3.55872,2.37236
72,108.476,-3.88242,2.11346
73,108.515,-4.06633,2.15542
74,109.749,-3.91985,2.16352
75,109.255,-4.26938,2.07716
76,117.271,-4.38259,2.18678
77,117.276,-4.74957,1.98922
78,118.43,-4.26194,2.1283
79,117.675,-4.79813,2.20114
80,123.333,-4.60241,2.17113
81,123.583,-4.71541,2.54589
82,124.148,-4.79232,2.16563
83,123.833,-5.17534,2.14612
84,128.929,-4.96645,2.22007
85,129.605,-4.95036,1.85016
86,130.309,-5.0639,2.03409
87,129.742,-5.43753,2.12912
88,134.987,-5.50207,2.13945
89,134.885,-5.91563,2.07922
90,136.277,-5.35063,2.1469
91,135.794,-5.85167,2.11915
92,141.1,-5.68551,2.03865
93,140.564,-5.97343,2.32715
94,141.863,-5.74575,2.00469
95,141.723,-5.88666,1.84916
96,147.193,-5.94486,2.00272
97,146.906,-6.15722,2.21761
98,147.975,-6.09656,2.18736
99,147.738,-6.2668,1.85558
100,151.391,-6.25866,2.13899
101,151.359,-6.51843,2.14557
103,152.175,-6.51807,1.88827
104,2.45429,2.59384,0.499101
105,2.51218,1.87954,0.809324
106,3.55926,2.09767,0.720305
107,3.13188,1.72294,0.637775
108,7.53659,1.84384,0.834083
109,7.18372,1.57823,0.972112
110,8.3388,2.06081,0.795802
111,7.65551,1.36305,0.809486
112,13.5522,1.42843,1.027
113,13.1386,1.1555,1.08066
114,13.8741,1.57268,0.905125
115,13.7787,0.957945,0.982549
116,19.1092,0.925845,1.05874
117,18.6716,0.448532,0.918861
118,19.7779,0.91194,0.987326
119,19.5194,0.53582,1.00009
120,25.3181,0.593744,1.19309
121,24.8583,0.0170518,1.09598
122,26.2504,0.661273,1.09421
123,25.4275,0.113602,1.21569
