"Point Name","X (East)","Y (North)","Z (Elevation)","Z","x_lio","y_lio","z_lio"
"a1","3.168","51.602","1.046","1.046","2.489053617514159","2.8756555187801025","0.8477937114375778"
"a9","3.144","37.955","0.768","0.768","16.111433943820842","2.022550029181727","0.9941981822355885"
"a13","3.131","31.959","0.586","0.586","22.098257015909766","1.6440823411738767","0.9987492961334565"
"a23","3.119","19.809","0.423","0.423","34.22438211547963","0.8955912487498177","1.2133749100369118"
"a27","3.108","13.808","0.294","0.294","40.21473086194992","0.519874611794001","1.271010874299698"
"a35","3.096","2.335","0.047","0.047","51.6679286240288","-0.18943383953599247","1.38066735419618"
"a37","3.076","-1.49","0.043","0.043","55.48300933514502","-0.4403158610402951","1.4958123886302608"
"a40","3.188","-9.974","-0.27","-0.27","63.963628409275564","-0.846801879803333","1.4444486266637557"
"a45","3.043","-16.051","-0.438","-0.438","70.02280318204794","-1.36161193198258","1.467893949737089"
"a63","3.003","-39.912","-0.389","-0.389","93.82487858722615","-2.8405899484146415","2.258559766072649"
"a67","2.982","-45.904","-0.489","-0.489","99.80477169725147","-3.2251649297586913","2.3450784137500724"
"a71","2.98","-51.351","-0.631","-0.631","105.2433350115146","-3.558724520007","2.3723561795009047"
"a81","2.94","-69.724","-1.029","-1.029","123.58343042172464","-4.715409505250751","2.545887702011469"
"a186","1.826","-66.802","-0.856","-0.856","120.59511840398659","-5.647361583409751","2.648189259464837"
"a85","3.085","-75.724","-1.909","-1.909","129.6047410638444","-4.950356587780911","1.8501556993652588"
"a95","2.889","-87.871","-2.291","-2.291","141.72320965481458","-5.886661567308664","1.8491582122635943"
"a99","2.876","-93.895","-2.472","-2.472","147.73793826107715","-6.2667991436537385","1.8555781855526203"
"a103","2.895","-98.338","-2.577","-2.577","152.17499003533976","-6.518070957927776","1.8882741771169291"
"a105","2.176","51.52","0.987","0.987","2.512184758347807","1.8795360455969776","0.8093236520522895"
"a109","2.157","46.836","1.004","1.004","7.18371770583029","1.5782292172556556","0.9721122136301321"
"a113","2.096","40.866","0.926","0.926","13.13856651301927","1.1555015303861396","1.0806570719786808"
"a116","2.231","34.896","0.721","0.721","19.109155050494337","0.9258450829501488","1.0587383055342496"
"a131","2.038","16.789","0.375","0.375","37.17298659920941","-0.36644025499533095","1.2787437258699947"
"a135","2.018","10.769","0.283","0.283","43.180636880175626","-0.7515475626720405","1.374108620776223"
"a139","2.034","2.274","0.06","0.06","51.66369025705064","-1.2527086813819475","1.414764963244557"
"a141","2.023","-1.527","-0.017","-0.017","55.45755733517781","-1.4946161375001996","1.4560490543355071"
"a145","2.017","-7.053","-0.131","-0.131","60.97385757622795","-1.8363770354408087","1.513834339910993"
"a149","1.986","-13.078","-0.344","-0.344","66.9894438884808","-2.23517666538118","1.4886316615711548"
"a167","1.957","-36.916","-0.233","-0.233","90.76738882318887","-3.700552534558645","2.340344197597078"
"a171","1.938","-42.9","-0.36","-0.36","96.7402295221838","-4.083187146978044","2.3995956769746094"
"a175","1.907","-51.316","-0.557","-0.557","105.14082391960704","-4.625967046224091","2.4646322125196427"
"a177","1.867","-55.136","-0.618","-0.618","108.95140179025094","-4.897643485401444","2.523020603101927"
"a181","1.892","-60.763","-0.803","-0.803","114.57248084413561","-5.215978299444562","2.512427390783596"
"a185","1.883","-66.726","-0.973","-0.973","120.52626494710302","-5.588223204475344","2.52787361787076"
"a189","1.858","-72.732","-1.129","-1.129","126.52155640478551","-5.9787516842328445","2.5589355549887784"
"a199","1.843","-84.884","-2.184","-2.184","138.6761641987791","-6.748144400642398","1.8822537818291996"
"a203","1.853","-90.882","-2.351","-2.351","144.66593559006438","-7.103480187735652","1.9014412400108647"
"a207","1.807","-98.319","-2.57","-2.57","152.08953132653156","-7.6025847890959435","1.9143617046689372"
"a209","1.078","51.438","1.034","1.034","2.5256878671821497","0.7797446027419097","0.8787026710319065"
"a217","1.025","37.79","0.718","0.718","16.148435050745","-0.10312034207786347","0.9876873577487764"
"a221","1.025","31.765","0.684","0.684","22.160558272968114","-0.4674132915121696","1.1408082505034465"
"a233","0.722","14.05","0.428","0.428","39.82390038458288","-1.8440239556235074","1.4405723702900834"
"a235","0.993","13.632","0.272","0.272","40.26211315048876","-1.6019093728034866","1.2927511925684585"
"a239","0.959","7.685","0.206","0.206","46.19530134838065","-1.996064292580667","1.4120856285531345"
"a243","0.964","2.192","0.072","0.072","51.67994591412855","-2.3252546596299024","1.4486600684531517"
"a245","0.938","-1.634","0.011","0.011","55.497362986922155","-2.583321512734276","1.5069815196757603"
"a249","0.937","-10.18","-0.184","-0.184","64.02942575061819","-3.103967824478061","1.577511048379577"
"a252","1.076","-16.198","-0.396","-0.396","70.048356622083","-3.332668793377306","1.5500150240794446"
"a256","1.066","-22.176","-0.484","-0.484","76.01459346885541","-3.7051818152258438","1.647892175491762"
"a267","0.909","-33.924","-0.159","-0.159","87.71621970846374","-4.564387607557339","2.3403419967306758"
"a271","0.883","-39.923","-0.295","-0.295","93.70386839221553","-4.95509279672021","2.39119172757185"
"a275","0.879","-45.92","-0.466","-0.466","99.69190864846081","-5.324419687325747","2.406603977947057"
"a279","0.875","-51.319","-0.584","-0.584","105.08174320462246","-5.656599810393611","2.4564118392188203"
"a281","0.859","-55.157","-0.611","-0.611","108.91072534543872","-5.904733116337603","2.5489030701077304"
"a285","0.82","-63.799","-0.866","-0.866","117.53804530236667","-6.470292726076259","2.56313994564258"
"a289","0.829","-69.738","-1.054","-1.054","123.46951969697352","-6.823484532234739","2.559526887952267"
"a293","0.818","-75.687","-1.253","-1.253","129.41008129794312","-7.197458755361666","2.5455932767171987"
"a299","0.836","-81.953","-2.059","-2.059","135.68682774337498","-7.5737268187964535","1.9343712187074242"
"a303","0.792","-87.863","-2.243","-2.243","141.5860200560988","-7.977981517750277","1.9348137952053301"
"a307","0.794","-93.906","-2.423","-2.423","147.62058891921572","-8.344276152854842","1.94255179192562"
"a311","0.778","-98.339","-2.565","-2.565","152.04663742932252","-8.630611488539301","1.9385943028336803"
"a312","-0.82","51.31","1.041","1.041","2.537535850799145","-1.1220030256478761","0.9240081143917656"
"a316","-0.861","46.693","0.975","0.975","7.143364443784002","-1.4428769184961976","1.002167675109209"
"a321","-0.966","40.688","0.862","0.862","13.131498039142457","-1.9123258442662314","1.07761799142869"
"a324","-0.881","34.662","0.693","0.693","19.153834507883495","-2.1945429899730966","1.094319486596145"
"a335","-1.004","22.481","0.504","0.504","31.30490213105096","-3.056198979322941","1.2859325686884362"
"a342","-0.899","10.51","0.244","0.244","43.26246917882787","-3.6790580439452683","1.3959456748971384"
"a346","-0.896","2.094","0.047","0.047","51.66513523960604","-4.18790669054229","1.4603671457205094"
"a348","-0.898","-1.752","0.058","0.058","55.50181580048546","-4.42179337084262","1.590828996650454"
"a352","-0.919","-7.298","-0.129","-0.129","61.03933859612589","-4.781186621279937","1.5765538678356956"
