id,x,y,z
1,3.0397,3.11769,0.655413
2,3.38335,2.9043,0.688346
3,3.32581,3.18203,0.658509
4,10.1686,3.36808,0.850679
5,10.226,3.08556,0.863107
6,10.4536,3.42225,0.899939
7,10.4931,3.13984,0.943317
8,15.9967,3.30326,1.05121
9,16.0447,3.02035,1.08335
10,16.2793,3.35512,1.0914
11,16.325,3.07866,1.16073
12,22.0053,3.24885,1.12488
13,22.0566,2.96684,1.13336
14,22.2924,3.29858,1.18112
15,22.3307,3.01512,1.21367
16,28.0573,3.20183,1.3612
17,28.0282,2.92779,1.45075
18,28.3372,3.20575,1.4515
19,28.3213,2.92326,1.49699
20,33.9257,3.27819,1.65748
21,33.8705,2.99708,1.59718
22,34.1827,3.25348,1.52155
23,34.1619,2.97141,1.54308
24,39.9576,3.20865,1.8179
25,39.9642,2.91705,1.83385
26,40.2475,3.21272,1.78347
27,40.2466,2.92561,1.76494
28,45.8655,3.31589,1.90496
29,45.8521,3.02833,1.93755
30,46.1605,3.30354,1.91479
31,46.144,3.02316,1.96961
32,51.1987,3.09031,2.1526
33,51.3128,2.83015,2.21609
34,51.4421,3.14792,2.00075
35,51.5799,2.93016,2.13954
36,55.347,3.13001,2.31857
37,55.4899,2.91188,2.44813
38,55.5892,3.19239,2.16603
39,55.7364,2.98844,2.30787
40,63.8233,3.18484,2.26922
41,63.835,2.89651,2.30517
42,64.0717,3.21281,2.41196
43,64.1316,2.93293,2.34704
44,69.9876,3.15674,2.27187
45,69.8246,2.92902,2.35764
46,70.1915,3.09306,2.4717
47,70.0437,2.85685,2.53586
48,75.9838,3.25572,2.57108
49,75.9116,2.98167,2.62866
50,76.251,3.20978,2.69575
51,76.1906,2.93046,2.70562
52,81.4618,3.31704,2.57456
53,81.5455,3.04404,2.59122
54,81.7097,3.39846,2.70826
55,81.789,3.12249,2.73177
56,87.4459,2.85221,2.77348
57,87.5579,3.10963,2.78952
59,87.8203,3.00357,2.85906
60,93.4778,3.19802,2.96636
61,93.6105,2.94867,3.04526
62,93.7451,3.3223,2.95553
63,93.8636,3.05985,2.95698
64,99.333,3.28712,3.11626
65,99.3661,3.0018,3.16005
66,99.6154,3.32788,3.18226
67,99.6555,3.04613,3.18883
68,104.745,3.27659,3.29568
69,104.761,2.98443,3.28568
70,104.965,3.28295,3.10665
71,105.055,3.02357,3.21413
72,108.727,3.3529,3.49951
73,108.751,3.06306,3.4939
74,109.017,3.37746,3.45162
75,109.041,3.09328,3.45488
76,117.466,3.32433,3.55887
77,117.504,3.03872,3.58072
78,117.753,3.3581,3.52483
79,117.793,3.07388,3.5535
80,123.364,3.41733,3.66817
81,123.315,3.13304,3.67473
82,123.654,3.36912,3.6817
83,123.608,3.08529,3.66381
84,129.261,3.42547,3.85978
85,129.239,3.13497,3.8339
86,129.516,3.41601,3.7159
87,129.512,3.13229,3.72609
88,135.266,3.32791,3.85367
89,135.336,3.0486,3.84739
90,135.538,3.39721,3.7974
91,135.625,3.12066,3.821
92,141.116,3.32001,3.93664
93,141.195,3.04551,3.89032
94,141.394,3.40236,3.89803
95,141.485,3.12813,3.91707
96,147.093,3.66286,3.96739
97,147.127,3.38112,3.903
98,147.378,3.70957,3.91031
99,147.42,3.43204,3.92819
100,151.128,3.07013,4.2121
101,151.121,3.27153,4.00638
103,151.406,3.33028,4.05142
105,3.07202,2.13935,0.620756
106,3.33391,2.45703,0.658418
107,3.351,2.17571,0.682026
108,7.61526,2.46695,0.908724
109,7.64876,2.1839,0.83552
110,7.91268,2.4693,0.951243
111,7.9127,2.18378,0.946503
112,13.0815,2.25766,1.09874
113,13.2301,2.0067,1.13896
114,13.3412,2.3953,1.09413
115,13.4843,2.14993,1.14316
116,19.102,2.35386,1.02889
117,19.1714,2.06591,1.04242
118,19.3248,2.39826,1.2251
119,19.2824,2.1231,1.29876
120,25.2504,2.27543,1.45868
121,25.2516,1.9873,1.46907
122,25.5445,2.26939,1.52015
123,25.54,1.98372,1.47397
124,31.2064,2.05314,1.33902
125,31.1638,2.04714,1.62999
126,31.4674,2.19521,1.41797
127,31.2903,2.31837,1.61711
128,37.0953,2.13694,1.84071
129,37.2207,1.87022,1.84192
130,37.3598,2.24505,1.76033
131,37.4632,1.97802,1.74624
132,43.0496,2.21818,2.01825
133,43.1152,1.93737,1.98525
134,43.345,2.26625,2.04338
135,43.3857,1.97946,2.05863
136,51.2934,2.22971,2.26245
137,51.3242,1.9343,2.25845
138,51.5952,2.23377,2.2042
139,51.5422,1.97985,2.07282
140,55.455,2.27255,2.40881
141,55.4979,1.98112,2.3617
142,55.7509,2.29606,2.33432
143,55.6901,2.06329,2.16348
144,60.9995,2.23855,2.3807
145,61.0564,1.94927,2.37895
146,61.2989,2.27816,2.39568
147,61.312,2.0049,2.49248
148,66.9794,2.18793,2.45832
149,67.0808,1.91506,2.42438
150,67.2742,2.26343,2.49636
151,67.3328,1.98502,2.54588
152,72.8822,2.28037,2.46925
153,72.783,2.0042,2.45994
154,73.1398,2.17336,2.57452
155,72.9819,1.93798,2.65705
156,78.9298,2.36922,2.5982
157,78.8927,2.07838,2.58464
158,79.1719,2.31063,2.76679
159,79.0353,2.05491,2.82572
160,84.663,2.35805,2.51937
161,84.6444,2.09484,2.66155
162,84.8628,2.416,2.74307
163,84.6661,2.2507,2.90059
164,90.4439,2.39829,2.99191
165,90.4217,2.11605,3.05836
166,90.742,2.36998,3.00416
167,90.6996,2.0828,2.99559
168,96.5052,2.33709,3.31198
169,96.5419,2.0476,3.2614
170,96.8071,2.35582,3.27931
171,96.7772,2.11844,3.11312
172,104.858,2.42152,3.45772
173,104.669,2.19862,3.43593
174,105.051,2.26592,3.3047
175,104.83,2.10051,3.21698
176,108.782,2.34028,3.53789
177,108.813,2.0587,3.57321
178,109.065,2.37218,3.49151
179,109.111,2.09195,3.54674
180,114.555,2.3857,3.54104
181,114.543,2.09598,3.55341
182,114.852,2.37288,3.5469
183,114.834,2.08789,3.5402
184,120.504,2.43058,3.61882
185,120.528,2.14528,3.65945
186,120.8,2.45099,3.64291
187,120.814,2.16137,3.6655
188,126.493,2.43321,3.80863
189,126.351,2.18416,3.74842
190,126.749,2.3124,3.72747
191,126.609,2.05791,3.7163
192,132.278,2.37884,4.20371
193,132.121,2.1713,4.06914
194,132.497,2.33229,4.00684
195,132.281,2.22626,3.83562
196,138.253,2.53767,3.96427
197,138.14,2.27147,3.92962
198,138.53,2.42613,3.95344
199,138.41,2.17084,3.89787
200,144.093,2.59591,3.9154
201,144.114,2.30793,3.95065
202,144.387,2.61675,3.93867
203,144.405,2.33538,3.96451
204,151.2,2.62118,4.11719
205,151.239,2.3325,4.12046
206,151.476,2.64976,4.02933
207,151.533,2.38093,4.13791
209,3.19777,1.17077,0.696189
210,3.52876,1.41523,0.718327
211,3.48846,1.12753,0.7172
212,10.359,1.53607,0.945238
213,10.3296,1.25331,0.944342
214,10.6272,1.51918,1.05456
215,10.6601,1.2585,0.947582
216,16.1088,1.27592,1.04908
217,16.2015,1.04134,1.18052
218,16.3345,1.41997,1.16612
219,16.4811,1.16061,1.18033
220,22.3414,1.25443,1.18296
221,22.1879,1.07741,1.35058
222,22.5361,1.29856,1.3927
223,22.4304,1.06232,1.52389
224,28.3512,1.20837,1.45762
225,28.3602,1.03195,1.68013
