point_name,err_before_m,err_after_m,improvement_m
a3,0.2887,0.4161,-0.1274
a202,0.7936,0.4074,0.3862
a230,0.4233,0.217,0.2063
a246,0.3202,0.3579,-0.0377
a250,0.4713,0.3465,0.1248
a274,0.4422,0.1411,0.3012
a292,1.4348,0.1642,1.2706
a302,0.4737,0.198,0.2756
a318,0.5619,0.3463,0.2156
a322,0.3589,0.2616,0.0973
a338,0.1546,0.1622,-0.0076
a350,0.3028,0.3134,-0.0105
a352,1.25,0.3061,0.9439
a375,0.3965,0.2893,0.1072
a388,1.0549,0.1847,0.8702
a397,1.1951,0.2276,0.9675
a402,0.6162,0.1411,0.4751
a447,0.2838,0.3818,-0.098
a44,0.7695,0.2918,0.4777
a491,1.1973,0.4594,0.7379
a516,0.68,0.1545,0.5255
a524,0.6,0.458,0.142
a532,0.4175,0.2538,0.1636
a620,0.4425,0.3742,0.0683
a630,0.4671,0.5771,-0.11
