id,x,y,z
1,2.22638,3.44816,0.697949
2,3.33244,3.26915,0.623335
3,3.63426,3.4529,0.712499
4,9.64461,3.36796,0.808789
5,9.73688,2.96208,0.95526
6,10.8611,3.22391,0.946979
7,11.0122,3.26974,0.939065
8,15.5418,3.39218,0.924123
9,15.47,3.11303,0.979955
10,16.843,3.2706,1.05073
11,17.0011,3.23257,1.10698
12,21.4659,3.24698,1.191
13,21.5929,2.96753,1.29271
14,23.0241,3.24633,1.30936
15,22.9749,3.37694,1.24975
16,27.4073,3.3451,1.40445
17,27.1726,2.87667,1.33975
18,29.1059,3.44006,1.50447
19,28.9782,3.13598,1.51598
20,33.5084,3.24223,1.62465
21,33.126,2.73618,1.68276
22,34.8807,3.52513,1.67633
23,34.8872,3.32187,1.62322
24,39.4609,3.34428,1.79038
25,39.3621,2.87187,1.81384
26,40.9036,3.372,1.78812
27,40.896,3.23676,1.78611
28,45.2855,3.35332,1.87346
29,45.3663,2.83722,1.8248
30,47.0117,3.27001,1.74489
31,46.9972,3.35165,2.16504
32,50.408,3.35008,2.12277
33,50.6646,2.80813,1.99294
34,51.9028,3.35236,2.14642
35,52.339,3.13913,2.18052
36,54.4819,3.37624,2.33467
37,55.1104,2.58544,2.30751
38,56.1805,3.33747,2.27621
39,56.4513,3.16226,2.42032
40,63.2756,3.30135,2.35216
41,63.0217,3.00623,2.4457
42,64.4985,3.30677,2.38036
43,64.9299,3.28046,2.36139
44,69.5721,3.41116,2.47759
45,69.1653,2.9023,2.4901
46,70.9282,3.16454,2.32747
47,70.7166,3.30539,2.44422
48,75.1707,3.3513,2.51508
49,75.1196,2.97911,2.67445
50,76.8887,3.32823,2.61565
51,76.7159,3.15919,2.606
52,80.9382,3.22297,2.69452
53,81.0812,2.77637,2.61523
54,82.3124,3.34162,2.73164
55,82.341,3.18474,2.59883
56,86.9703,2.99356,2.95906
57,86.9903,3.01,3.02459
59,88.4549,3.15945,2.92687
60,92.798,3.35191,2.97914
61,93.2896,2.71502,3.15173
62,94.2821,3.40027,2.91378
63,94.3957,3.15592,3.01395
64,98.8237,3.40376,3.20956
65,98.7392,2.88096,3.11563
66,100.25,3.26637,3.13059
67,100.261,3.35481,3.05521
68,104.26,3.47015,3.37641
69,104.013,2.92147,2.9975
70,105.422,3.41559,3.30874
71,105.867,3.16445,3.2662
72,108.053,3.46459,3.60398
73,108.104,2.92602,3.39821
74,109.718,3.51451,3.37418
75,109.737,3.37701,3.37243
76,116.794,3.53566,3.69368
77,116.839,3.08243,3.44139
78,118.285,3.44908,3.53396
