held_out,err_3d_m,n_calib,result_file
a3,0.0014,34,loo_01_holdout_a3_result.csv
a202,0.0018,34,loo_02_holdout_a202_result.csv
a230,0.0007,34,loo_03_holdout_a230_result.csv
a246,0.0014,34,loo_04_holdout_a246_result.csv
a250,0.0014,34,loo_05_holdout_a250_result.csv
a274,0.0001,34,loo_06_holdout_a274_result.csv
a292,0.0008,34,loo_07_holdout_a292_result.csv
a302,0.0013,34,loo_08_holdout_a302_result.csv
a318,0.002,34,loo_09_holdout_a318_result.csv
a322,0.0007,34,loo_10_holdout_a322_result.csv
a338,0.0014,34,loo_11_holdout_a338_result.csv
a350,0.0018,34,loo_12_holdout_a350_result.csv
a352,0.0013,34,loo_13_holdout_a352_result.csv
a375,0.0003,34,loo_14_holdout_a375_result.csv
a388,0.0011,34,loo_15_holdout_a388_result.csv
a397,0.0005,34,loo_16_holdout_a397_result.csv
a402,0.0005,34,loo_17_holdout_a402_result.csv
a447,0.0005,34,loo_18_holdout_a447_result.csv
a44,0.0003,34,loo_19_holdout_a44_result.csv
a491,0.0019,34,loo_20_holdout_a491_result.csv
a516,0.0006,34,loo_21_holdout_a516_result.csv
a524,0.0014,34,loo_22_holdout_a524_result.csv
a532,0.0004,34,loo_23_holdout_a532_result.csv
a620,0.0008,34,loo_24_holdout_a620_result.csv
a624,0.0011,34,loo_25_holdout_a624_result.csv
a627,0.0021,34,loo_26_holdout_a627_result.csv
a629,0.0014,34,loo_27_holdout_a629_result.csv
a630,0.0022,34,loo_28_holdout_a630_result.csv
a640,0.0022,34,loo_29_holdout_a640_result.csv
a641,0.0026,34,loo_30_holdout_a641_result.csv
a645,0.0013,34,loo_31_holdout_a645_result.csv
a651,0.0002,34,loo_32_holdout_a651_result.csv
a659,0.0022,34,loo_33_holdout_a659_result.csv
a661,0.0027,34,loo_34_holdout_a661_result.csv
a667,0.0006,34,loo_35_holdout_a667_result.csv
