id,x,y,z
1,2.76266,2.98575,0.656006
2,3.02235,3.29603,0.672755
3,3.05273,3.01416,0.684563
5,10.4146,3.57773,0.94042
6,10.2375,3.88232,0.739182
7,10.5141,3.82478,0.82227
9,16.0919,3.99158,0.86923
10,16.3838,4.27637,0.779877
11,16.3619,4.06079,0.969245
13,22.2447,4.45742,1.00988
14,22.2625,4.85136,0.905847
15,22.459,4.65514,0.990367
17,28.0399,4.84754,1.05841
18,28.0158,5.25525,1.04236
19,28.2405,5.06794,1.07504
21,33.8775,5.38077,1.17161
22,34.0745,5.74182,1.18055
23,34.1545,5.47335,1.18621
25,39.8262,5.95278,1.20835
26,40.0507,6.29731,1.26154
27,40.0989,6.01919,1.26853
29,46.1183,6.39228,1.37603
30,46.3032,6.75881,1.4021
31,46.3922,6.48589,1.42018
33,51.4385,6.74212,1.42513
34,51.4633,7.13974,1.33464
35,51.6574,6.94152,1.42527
37,55.0634,7.2002,1.55676
38,55.3003,7.53636,1.53205
39,55.346,7.26091,1.53733
41,63.8419,7.9261,1.56553
42,63.6387,8.27319,1.60004
43,63.9287,8.20374,1.58984
45,69.7235,8.48381,1.5967
46,69.9041,8.85679,1.56352
47,69.9934,8.59286,1.63283
49,75.6436,9.12293,1.692
50,75.9475,9.41263,1.71853
51,75.9303,9.12994,1.7229
53,81.5523,9.44192,1.62554
54,81.3936,9.80849,1.69459
55,81.669,9.70117,1.69113
57,87.4532,10.2635,1.48921
58,87.2005,10.414,1.77115
59,87.4831,10.3311,1.76996
61,93.2477,10.6851,1.87109
62,93.4166,11.0542,1.82868
63,93.5185,10.7871,1.8332
65,99.0141,11.0675,1.93528
66,99.1638,11.4511,1.91457
67,99.278,11.1927,1.91212
69,104.769,11.6278,1.91332
70,104.401,11.8123,1.91291
71,104.692,11.9049,1.91452
73,108.228,11.9506,2.03515
74,108.338,12.3452,2.02742
75,108.481,12.0962,2.03536
77,117.136,12.8597,2.16164
78,117.377,13.1958,2.17321
79,117.42,12.9153,2.2063
81,123.295,13.5977,2.29102
82,123.557,13.9179,2.28419
83,123.585,13.6325,2.31058
85,129.051,14.0093,2.15999
86,128.95,14.4019,2.1348
87,129.203,14.2567,2.11416
89,134.96,14.465,2.26208
90,134.984,14.8628,2.18343
91,135.182,14.6616,2.26288
93,140.584,15.2087,2.23061
94,140.82,15.5534,2.24336
95,140.863,15.2748,2.24426
97,146.474,15.7107,2.15824
98,146.704,16.0556,2.16318
99,146.752,15.7823,2.20886
101,150.978,16.2672,2.13735
103,151.214,16.4439,2.14419
104,2.85767,2.42918,0.615756
105,2.89668,2.1402,0.636102
106,3.15005,2.46146,0.648901
107,3.18015,2.18185,0.645168
108,7.43802,2.74719,0.746455
109,7.42724,2.4571,0.766249
110,7.7369,2.74235,0.789608
111,7.72412,2.46027,0.783164
112,13.0631,3.09784,0.994307
113,13.2615,2.87353,0.96706
114,13.2897,3.28482,1.00394
115,13.4681,3.06798,0.985758
117,19.2838,3.31198,0.764372
118,19.458,3.6588,0.929219
119,19.2981,3.44179,1.01426
120,24.9574,4.08269,1.07914
121,25.0227,3.79716,1.05032
122,25.2459,4.14519,1.1101
123,25.3041,3.88517,1.01288
125,31.1672,4.33621,1.19565
126,31.572,4.44758,1.20701
127,31.3194,4.57942,1.23055
128,36.8779,5.14118,1.13345
129,36.801,4.87469,1.22041
130,37.1589,5.09243,1.21464
131,37.0799,4.82241,1.2812
133,43.017,5.26651,1.42843
134,43.2655,5.59692,1.4263
135,43.3106,5.31411,1.44591
136,51.3414,6.16203,1.52034
137,51.479,5.89362,1.53609
138,51.6324,6.26866,1.5124
139,51.674,6.02212,1.36779
140,55.0975,6.61645,1.47987
141,55.1372,6.32672,1.50349
142,55.3858,6.66199,1.50678
143,55.4235,6.38027,1.52495
145,60.7545,6.87065,1.64245
146,61.0883,7.12234,1.68478
147,61.0458,6.84135,1.62497
149,66.9398,7.37677,1.59164
150,67.2789,7.62004,1.63596
151,67.2247,7.36307,1.52118
152,72.7752,8.15063,1.61423
153,72.8373,7.86657,1.65228
154,73.0706,8.20247,1.64171
155,73.1138,7.92049,1.59012
