id,x,y,z
1,2.14603,3.05647,0.696753
2,2.53362,3.15488,0.62338
3,2.42587,2.90512,0.670769
5,10.1403,3.32427,0.766819
6,9.96869,3.69298,0.722578
7,10.2471,3.59888,0.766209
9,15.7391,4.28469,0.85788
10,16.1485,4.36996,0.862824
11,16.0024,4.12205,0.869268
13,21.7138,4.81997,0.868876
14,22.0919,4.96843,0.870382
15,21.994,4.70283,0.898167
17,27.9649,4.87024,0.983929
18,27.9361,5.27723,0.975497
19,28.1643,5.09203,1.00515
21,33.6733,5.65488,1.11527
22,34.0568,5.76528,1.06534
23,33.8125,5.92194,1.09654
25,39.6498,6.1882,1.15054
26,40.0252,6.31226,1.24339
27,39.7903,6.46048,1.16059
29,46.1445,6.32436,1.36028
30,46.3477,6.68369,1.34262
31,46.4234,6.4096,1.38335
33,51.1517,7.19969,1.25097
34,51.483,7.41156,1.3454
35,51.2183,7.49904,1.2826
37,55.0272,7.83064,1.40188
38,55.424,7.82433,1.42727
39,55.249,7.623,1.48746
41,63.5763,8.30301,1.36076
42,63.4714,8.71684,1.35951
43,63.7377,8.55144,1.36939
45,69.5383,9.12857,1.38953
46,69.9179,9.24941,1.28841
47,69.8156,9.00003,1.38529
49,75.6084,9.11009,1.52938
50,75.9024,9.41002,1.57773
51,75.8899,9.12812,1.58996
53,81.518,9.50303,1.84413
54,81.3665,9.84422,1.68488
55,81.6378,9.73309,1.7099
57,87.4793,10.2848,2.14726
58,87.2888,10.422,1.81492
59,87.5744,10.368,1.88418
61,93.223,10.9879,2.21459
62,93.448,11.2199,1.96697
63,93.2878,11.2823,2.20575
65,99.0909,11.5606,2.35043
66,99.236,11.74,2.01713
67,99.2566,11.8105,2.29872
69,104.774,11.9991,2.32604
70,104.462,12.191,2.15557
71,104.683,12.3066,2.33171
73,108.428,12.0274,2.21744
74,108.602,12.4012,2.20522
75,108.702,12.1326,2.21064
77,117.104,12.8494,2.29059
78,117.315,13.2046,2.29823
79,117.386,12.928,2.31614
81,122.986,13.9494,2.52511
82,123.376,14.0972,2.49102
83,123.262,13.8415,2.54932
85,128.973,14.6315,1.83583
86,129.044,14.3418,2.11888
87,129.199,14.5643,2.01634
89,135.065,14.5344,2.05116
90,135.072,14.9401,1.9953
91,135.276,14.7315,1.98838
93,140.885,15.3448,1.89916
94,140.94,15.7581,1.92535
95,141.094,15.5465,1.84805
97,146.845,15.9264,1.85014
98,146.983,16.3164,1.84939
99,147.096,16.0842,1.86082
101,151.38,16.2371,1.91706
103,151.52,16.5099,1.89826
104,2.3913,2.35511,0.645975
105,2.31994,2.07516,0.658865
106,2.66979,2.27919,0.62887
107,2.61098,2.00583,0.64443
108,7.10975,2.70698,0.69597
109,6.98279,2.48906,0.826713
110,7.38559,2.64433,0.824287
111,7.28546,2.38007,0.84622
112,12.9038,3.22182,0.796897
113,12.932,2.97614,0.94172
114,13.172,3.29074,0.911183
115,13.2231,3.0056,0.936542
117,18.8406,3.33133,0.933563
118,19.1536,3.60289,1.00235
119,18.8684,3.65577,0.926151
120,24.797,4.14355,1.10081
121,24.8176,3.85612,1.04454
122,25.0961,4.16137,1.10853
123,25.0978,3.92051,0.957322
125,31.0699,4.39872,1.15353
126,31.4848,4.47915,1.11676
127,31.2483,4.62403,1.17989
128,36.858,4.96193,1.5225
129,36.7563,4.88789,1.25813
130,37.1062,5.06299,1.38557
131,36.9185,5.12255,1.16563
133,42.7415,5.40709,1.32044
134,43.1456,5.5,1.33709
135,42.9147,5.65434,1.26751
136,51.4195,6.28428,1.66942
137,51.375,6.15054,1.40842
138,51.6123,6.4589,1.5137
139,51.3757,6.44758,1.31722
140,55.0896,6.65974,1.61558
141,55.1623,6.78484,1.36265
142,55.3707,6.56815,1.64267
143,55.4465,6.77857,1.46998
145,60.6664,7.28486,1.42632
146,61.0428,7.15889,1.54378
147,60.8057,7.02094,1.4442
149,66.673,7.80445,1.40757
150,67.0881,7.9041,1.42588
151,66.9406,7.66468,1.37544
152,72.6971,8.07055,1.56696
153,72.7159,7.77413,1.56717
154,72.998,8.07243,1.56555
155,72.9813,7.80268,1.45569
156,78.7867,8.66245,1.65762
157,78.802,8.39094,1.75715
158,79.0784,8.70871,1.74212
159,79.0875,8.43121,1.80327
161,84.3191,9.53149,1.89292
162,84.4838,9.1645,1.83068
163,84.5789,9.42278,1.81675
164,90.1961,9.80313,1.9676
165,90.2185,9.7013,2.24004
166,90.4607,9.92463,1.99955
167,90.3962,9.96775,2.28474
168,96.1697,10.5463,2.00447
169,96.1466,10.333,2.20876
170,96.4651,10.5608,2.08002
171,96.3579,10.497,2.35044
173,104.64,10.9681,2.34832
174,104.992,11.178,2.27887
175,104.743,11.2365,2.42455
176,108.392,11.6512,2.25711
177,108.551,11.5468,2.48706
178,108.666,11.7232,2.15757
179,108.741,11.459,2.26039
181,114.155,12.086,2.48248
182,114.536,11.9316,2.37752
183,114.416,12.179,2.38131
185,120.095,12.6232,2.5023
186,120.175,12.5736,2.62679
187,120.365,12.5187,2.40742
188,125.99,13.1329,2.24996
189,126.081,13.147,2.54181
190,126.29,13.172,2.1999
191,126.322,13.016,2.44491
193,132.181,13.3717,2.21806
194,132.224,13.7705,2.12272
195,132.405,13.5615,2.21138
196,137.962,14.3268,2.16821
197,138.046,14.0606,2.05855
198,138.25,14.4128,2.0996
199,138.213,14.2323,1.87833
200,143.876,14.944,2.08222
201,144.041,14.6848,2.11717
202,144.125,15.0543,1.93865
203,144.187,14.7909,1.90386
204,151.189,15.4895,1.96303
205,151.366,15.2466,1.96764
206,151.433,15.6489,2.00205
207,151.6,15.4254,1.92483
208,2.55357,1.07197,0.475834
209,2.49971,0.991953,0.729243
210,2.81956,1.18424,0.591153
211,2.79618,0.951528,0.769748
212,10.1424,2.08688,0.785462
214,10.3278,2.05258,0.98824
215,10.5715,2.09421,0.824996
216,16.0482,2.46719,0.911765
217,16.0987,2.18904,0.852527
218,16.3376,2.50582,0.967164
220,22.0581,2.98445,1.16463
221,22.0961,2.74248,1.01209
222,22.3633,2.99884,1.17806
223,22.3573,2.85212,0.92705
224,27.854,3.25265,1.23405
225,28.1421,3.16369,1.24669
226,27.9448,3.48857,1.0948
227,28.2143,3.4376,1.19845
228,34.1442,3.89383,1.26026
229,34.2224,3.6175,1.31714
230,34.4281,3.96479,1.24728
232,40.1578,4.36942,1.18408
233,39.7654,4.06604,1.33038
234,40.1447,4.23947,1.4332
236,46.0837,4.88243,1.30922
237,46.0024,4.68176,1.48998
238,46.368,4.89103,1.40541
240,51.5793,5.38432,1.74466
241,51.5224,5.16337,1.54877
242,51.7693,5.48751,1.53777
243,51.5546,5.39002,1.35168
244,55.3647,5.93407,1.59167
245,55.3667,5.71473,1.41404
246,55.648,5.87159,1.64953
247,55.5903,5.59521,1.56208
248,64.0752,6.36234,1.65052
249,63.8788,6.49621,1.49379
250,64.2423,6.60225,1.64196
251,64.028,6.7441,1.50886
252,69.8625,7.18434,1.47277
253,69.7616,6.8983,1.45551
254,70.0999,7.08144,1.59136
255,70.051,6.8319,1.44965
256,75.8162,7.72221,1.57704
257,75.7632,7.42141,1.57377
258,76.1039,7.65679,1.59651
260,81.5112,7.9493,1.80445
261,81.5441,7.70683,1.96002
262,81.7998,8.00804,1.83572
264,87.3008,8.56483,2.09015
265,87.2592,8.3168,2.23705
266,87.5117,8.65067,2.28206
268,93.255,9.18353,2.0144
269,93.2596,8.98167,2.23173
270,93.5529,9.21615,2.0587
271,93.4891,9.17392,2.33938
272,99.2975,9.90791,2.06763
273,99.2593,9.62875,2.17102
274,99.5986,9.87498,2.14105
275,99.464,9.71851,2.36132
276,104.595,10.3356,2.13426
277,104.63,10.0652,2.25902
278,104.902,10.3618,2.17867
279,104.842,10.2088,2.41691
280,108.573,10.6502,2.25943
281,108.664,10.5453,2.51356
282,108.837,10.5634,2.15461
283,108.848,10.3673,2.37149
284,117.232,11.4402,2.2885
285,117.277,11.2966,2.53706
286,117.529,11.4408,2.26475
287,117.539,11.2097,2.4378
288,123.107,12.0093,2.31625
289,123.193,11.8485,2.53991
290,123.359,11.9011,2.18916
291,123.321,11.6634,2.35404
292,129.072,12.5425,2.28888
293,129.122,12.3812,2.53209
294,129.368,12.5602,2.26226
295,129.372,12.2887,2.37974
296,135.058,13.0834,2.12274
297,135.16,12.8127,2.05464
298,135.352,13.1691,2.12209
299,135.383,12.9624,1.92771
300,141.009,13.7724,1.96519
301,140.976,13.4863,1.9867
302,141.304,13.7391,1.97957
303,141.275,13.4589,1.93455
304,146.986,14.2905,1.97399
305,146.991,14.0028,1.96512
306,147.279,14.3089,1.93003
307,147.295,14.0136,1.94876
308,151.315,14.5316,2.02499
309,151.463,14.273,2.0572
310,151.576,14.6633,1.98621
311,151.714,14.4028,1.94963
312,2.79927,-0.881761,0.775086
313,2.94731,-1.06905,0.799097
314,3.02288,-0.66642,0.765597
315,3.20141,-0.907076,0.793914
316,7.40115,-0.502588,0.858553
317,7.49304,-0.676937,0.698565
318,7.66948,-0.358843,0.883616
320,13.3926,0.235796,0.98543
321,13.3912,-0.0574008,0.94032
322,13.6944,0.217994,0.988578
323,13.6592,-0.0718854,1.0235
324,19.3861,0.578861,0.963155
325,19.4521,0.394434,1.15462
326,19.4719,0.80735,1.12706
327,19.6777,0.598135,1.21085
328,25.252,1.32185,1.34615
329,25.2618,1.16795,1.09983
330,25.4469,1.50251,1.21727
331,25.5485,1.25958,1.07973
332,31.2663,1.87696,1.2172
333,31.295,1.60968,1.32973
334,31.5648,1.8834,1.18379
335,31.5273,1.57297,1.16817
337,37.2782,2.13275,1.30781
338,37.6482,2.32499,1.31095
339,37.5692,2.04238,1.33696
341,43.0768,2.64206,1.42888
342,43.4404,2.77346,1.29092
343,43.3579,2.53857,1.43161
344,51.5524,3.46328,1.42414
345,51.6443,3.3781,1.68036
346,51.8228,3.54682,1.36431
348,55.6502,3.89853,1.49882
349,55.6124,3.70267,1.70516
350,55.8399,4.04736,1.66786
351,55.9106,3.76347,1.75192
352,61.1781,4.38433,1.49059
353,61.0556,4.12895,1.59621
354,61.3908,4.36841,1.68224
355,61.348,4.07165,1.65272
357,66.8884,4.59364,1.64153
358,67.1208,4.91007,1.53174
359,67.1819,4.63946,1.63565
360,73.1505,5.44025,1.54165
361,73.1717,5.14361,1.56276
362,73.4546,5.45596,1.55767
363,73.451,5.17692,1.64101
364,79.3069,6.02204,1.9159
365,79.2196,5.74395,1.92894
366,79.5834,5.94374,1.96772
367,79.5103,5.66765,1.92173
368,84.5046,6.51805,2.09556
369,84.513,6.22766,2.06226
370,84.7353,6.48873,2.28208
371,84.8112,6.2538,2.11502
372,90.4603,7.07323,2.1435
373,90.4231,6.78281,2.12736
374,90.6837,7.01622,2.3264
375,90.7079,6.75486,2.19504
377,96.3289,7.32655,2.31357
378,96.657,7.56272,2.41121
379,96.619,7.30774,2.27919
381,105.417,8.29813,2.45471
382,105.012,8.30029,2.53132
383,105.206,8.09878,2.4413
385,108.633,8.34316,2.45327
386,108.855,8.63827,2.60863
387,108.896,8.45597,2.38584
388,114.415,9.1524,2.55988
389,114.294,8.96508,2.36338
390,114.661,9.1684,2.39146
391,114.578,8.89546,2.30455
393,120.39,9.69111,2.59086
394,120.675,9.9272,2.4103
395,120.653,9.64192,2.47306
396,126.371,10.2457,2.63979
397,126.194,10.0612,2.47488
398,126.553,10.2569,2.41087
399,126.463,9.98024,2.35958
400,132.21,10.8476,2.01626
401,132.174,10.5859,2.13914
402,132.494,10.7758,1.9634
403,132.47,10.5644,2.15681
404,138.205,11.3686,2.07485
405,138.277,11.2449,2.32538
406,138.48,11.3272,1.98341
407,138.563,11.2848,2.25346
408,144.204,11.9828,2.01496
409,144.083,11.7624,2.15616
410,144.473,11.8185,2.01774
411,144.352,11.645,2.20069
412,151.613,12.641,2.0302
413,151.497,12.3949,2.1454
414,151.891,12.4849,2.06641
415,151.744,12.3864,2.3011
416,2.97234,-1.93357,0.787221
417,3.16885,-2.12919,0.8133
418,3.18072,-1.71277,0.781752
419,3.38109,-1.92674,0.835057
421,10.4888,-1.12911,0.839232
422,10.6043,-1.39185,0.849123
423,10.7507,-0.994853,0.845972
424,10.8745,-1.26317,0.835848
425,16.4105,-0.698408,0.927975
426,16.6632,-0.8632,0.891095
427,16.5876,-0.453982,0.940834
429,22.5059,-0.0938879,1.14426
430,22.2399,-0.00163768,1.16388
431,22.6183,0.176606,1.16499
433,28.3431,0.695995,1.17607
434,28.4311,0.426699,1.18815
435,28.6386,0.78175,1.17795
437,34.4527,1.10735,1.29535
438,34.6203,0.921276,1.40211
439,34.6357,1.08723,1.05123
440,34.6998,0.811509,1.18148
441,40.3621,1.41544,1.28996
442,40.4281,1.14059,1.31478
443,40.6473,1.47211,1.20602
444,40.7156,1.20243,1.25925
445,46.2793,1.99481,1.38273
446,46.3595,1.74887,1.51138
447,46.5736,2.02179,1.31217
449,51.7983,2.54824,1.60225
450,51.6276,2.33404,1.51476
451,52.0112,2.48013,1.40741
453,55.8102,2.82852,1.50618
454,55.8166,2.55139,1.5654
455,56.0902,2.85327,1.58269
456,56.1171,2.56769,1.52095
457,64.3432,3.59696,1.59765
458,64.1237,3.75165,1.68302
459,64.4842,3.96787,1.68706
461,70.3666,4.13091,1.57122
462,70.0856,4.07532,1.63794
463,70.3373,4.40417,1.66274
465,76.0581,4.69149,1.74809
466,76.1389,4.42034,1.78849
467,76.3308,4.78652,1.81075
469,81.6384,5.18679,1.97259
470,81.7173,4.91448,1.93563
471,81.916,5.27845,1.92559
473,87.4942,5.74754,2.27801
474,87.5092,5.46922,2.1947
475,87.7826,5.71509,2.35287
476,87.7983,5.5431,2.11448
477,93.5457,6.36812,2.26748
478,93.4892,6.09444,2.19658
479,93.7599,6.23381,2.4313
480,93.7985,6.06915,2.18594
481,99.4746,6.89888,2.42518
482,99.3412,6.64623,2.43306
483,99.749,6.7868,2.46646
485,104.874,7.31766,2.40373
486,104.884,7.20758,2.39741
487,105.107,7.2632,2.57262
488,105.236,7.12966,2.34854
489,108.922,7.63086,2.65157
490,108.709,7.51227,2.4756
491,108.938,7.83982,2.43085
492,108.911,7.59239,2.26192
493,117.543,8.38903,2.62521
494,117.258,8.29364,2.37966
495,117.545,8.59105,2.3427
496,117.554,8.30436,2.39469
497,123.483,8.92423,2.63504
498,123.295,8.80807,2.44005
499,123.413,9.19035,2.48114
500,123.434,8.99468,2.25255
501,129.127,9.81034,2.3162
502,129.163,9.52758,2.30382
503,129.424,9.85281,2.27805
505,135.346,10.0553,2.1374
506,135.302,9.77483,2.11408
507,135.63,10.0219,2.01991
509,141.244,10.9458,2.20105
510,141.314,10.6848,2.28235
511,141.526,11.0313,2.17912
512,141.603,10.7495,2.22298
513,147.244,11.1961,2.16848
514,147.167,10.9327,2.26167
515,147.531,11.0743,2.10753
516,147.465,10.9048,2.3274
517,151.678,11.3717,2.15381
518,151.594,11.6353,2.16011
519,151.951,11.46,2.07936
521,3.13366,-2.9866,0.792028
522,3.3999,-2.98915,0.889631
523,3.27592,-2.73329,0.631159
525,7.76323,-2.5628,0.862298
526,7.75354,-2.28476,0.774605
527,8.07369,-2.50993,0.829549
529,13.763,-2.01654,0.968245
530,13.5022,-1.8979,0.970008
531,13.8796,-1.74212,0.947939
533,19.7201,-1.47992,1.02581
534,19.9317,-1.61636,1.09679
535,19.8979,-1.2443,0.951682
537,25.3963,-0.392573,1.23133
538,25.5209,-0.644446,1.16089
539,25.6658,-0.281455,1.27995
541,31.3906,0.0299298,1.28283
542,31.3849,-0.255117,1.25916
543,31.6792,0.0370065,1.26327
545,37.4795,0.105306,1.30146
546,37.6396,-0.145492,1.21204
547,37.772,0.176882,1.23634
549,43.5213,0.667258,1.31948
551,43.8426,0.593623,1.2814
553,51.8602,1.64741,1.58974
554,51.8621,1.5695,1.59521
555,52.1997,1.44089,1.4108
557,56.0003,1.78296,1.53461
558,55.953,1.50851,1.59199
559,56.2893,1.7511,1.54742
561,61.534,2.27775,1.6025
562,61.5927,1.9999,1.60097
563,61.8201,2.34051,1.60153
565,67.5315,2.8181,1.61005
566,67.5351,2.53974,1.59809
567,67.8149,2.84546,1.64518
569,73.5002,3.3602,1.57679
570,73.557,3.10128,1.59444
571,73.784,3.44324,1.59134
573,79.0673,3.94804,1.99633
574,79.0899,3.70863,1.84083
575,79.3329,4.03837,1.91121
577,84.7351,4.56168,2.00307
578,84.7618,4.27701,1.96742
579,85.0273,4.58502,2.02655
581,90.6239,4.95155,2.30582
582,90.7468,4.87424,2.05308
583,90.8992,4.95848,2.4088
585,96.6608,5.46066,2.3431
586,96.9251,5.35621,2.44153
587,96.8137,5.67932,2.21959
589,104.673,6.28377,2.40234
590,104.874,6.23647,2.35283
591,105.201,6.24477,2.59369
593,108.994,6.58374,2.64613
594,108.726,6.6047,2.49361
595,109.038,6.86464,2.56865
597,114.604,7.07031,2.5976
598,114.479,7.06424,2.33394
599,114.72,7.33219,2.5253
601,120.571,7.60996,2.61425
602,120.302,7.66445,2.51309
603,120.681,7.80557,2.42833
605,126.102,8.58926,2.47637
606,126.277,8.37646,2.38381
607,126.334,8.76976,2.48402
609,132.41,9.07638,2.24071
610,132.424,8.81037,2.13013
611,132.695,9.10804,2.13935
613,138.46,9.41513,2.18507
615,138.686,9.25358,2.06178
617,144.49,9.99129,2.16776
618,144.27,9.82795,2.18399
619,144.661,9.75299,2.08831
621,151.857,10.6173,2.16928
622,151.666,10.4198,2.13824
623,152.073,10.3783,2.10936
625,4.03942,-5.42624,0.742285
628,56.11,-0.81087,1.56849
636,152.21,7.90625,2.06163
648,105.898,0.676718,1.99888
