id,x,y,z
1,2.14511,3.05883,0.696821
2,2.94,3.36102,0.675215
3,3.01178,3.37661,0.487555
5,10.1391,3.38623,0.716224
6,10.49,4.05824,0.7713
7,10.8986,3.88281,0.803215
9,15.7388,4.28478,0.857872
10,16.7685,4.88033,0.798722
11,16.6863,4.47433,0.956819
13,21.7137,4.82004,0.868861
14,22.5267,5.1111,0.886525
15,22.7661,4.83104,0.914375
17,27.4751,4.41909,0.979758
18,28.3396,5.53264,0.945935
19,28.6915,5.5027,0.974798
21,33.4374,5.10123,1.15599
22,34.2415,5.8875,1.09347
23,33.8126,5.92214,1.09652
25,39.5097,5.59262,1.13256
26,40.4644,6.64495,1.26894
27,39.7904,6.46068,1.1606
29,45.7461,6.10605,1.28553
30,46.4224,7.034,1.44044
31,46.5402,6.68333,1.37146
33,50.8704,6.37781,1.31504
34,51.497,7.44948,1.4146
35,51.2183,7.49926,1.28256
37,55.0271,7.8308,1.40181
38,55.7333,7.82069,1.62974
39,55.7502,7.55613,1.60067
41,63.6053,7.78602,1.61832
42,63.4711,8.71713,1.3595
43,64.3242,8.47416,1.41444
45,69.5382,9.12863,1.38953
46,70.2904,9.23639,1.43802
47,70.3446,9.04019,1.54673
49,75.2608,8.56533,1.61573
50,76.3303,10.018,1.64819
51,76.1448,9.39599,1.69635
53,81.295,9.44738,1.54556
54,81.5169,10.3469,1.5949
55,81.955,9.87635,1.67502
57,87.1964,10.1287,1.68918
58,87.4647,10.6245,1.85521
59,87.8353,10.4624,1.84459
61,93.0976,10.4443,1.82417
62,93.6647,11.0899,1.7759
63,93.2878,11.2824,2.20579
65,98.5735,10.6762,1.99901
66,99.4893,11.6894,1.96774
67,99.2567,11.8106,2.29874
69,104.345,11.42,2.01867
70,104.568,12.2221,1.94663
71,104.683,12.307,2.33186
73,108.028,11.7367,2.02355
74,108.814,12.5984,2.01896
75,109.127,12.4272,2.15201
77,116.63,12.5348,2.09278
78,117.499,13.294,2.13276
79,117.595,13.3068,2.19008
81,122.986,13.9494,2.52511
82,123.847,14.0407,2.18324
83,123.888,13.9176,2.19326
85,128.973,14.6315,1.83578
86,129.429,14.6333,2.30825
87,129.586,14.618,2.02784
89,134.245,14.2532,2.27569
90,135.221,15.1212,2.14663
91,135.537,14.9724,2.23861
93,140.247,14.6924,2.2301
94,141.13,15.8342,2.02926
95,141.094,15.5468,1.84791
97,146.191,15.2991,2.13728
98,147.112,16.5138,2.10641
99,147.096,16.0846,1.8608
101,150.95,15.9978,2.18796
103,151.52,16.5102,1.89825
104,2.3661,2.55289,0.59828
105,2.31932,2.07777,0.658904
106,3.17917,2.4591,0.601348
107,3.12626,2.31912,0.655869
108,7.16844,2.90195,0.781811
109,6.98223,2.48957,0.82672
110,7.84759,3.06435,0.664167
111,7.91907,2.82583,0.892737
112,12.9953,3.38642,0.971967
113,12.9321,2.97627,0.941693
114,13.6631,3.45115,0.880188
115,13.6704,3.41715,0.858352
117,18.642,3.32897,0.839964
118,19.7093,4.11546,0.884707
119,18.8683,3.65614,0.926117
120,24.9635,4.33583,1.07606
121,24.9638,3.23033,1.11227
122,25.8811,4.18921,1.12396
123,25.6568,4.38314,1.07443
125,30.5711,4.29156,1.26826
126,31.8615,4.85313,1.07639
127,31.5988,4.80871,1.15334
128,36.8876,5.33895,1.24059
129,36.1188,4.53916,1.3261
130,37.9533,5.31452,1.29653
131,36.9186,5.12264,1.16563
133,42.446,4.89167,1.46988
134,43.531,5.89335,1.3931
135,42.9149,5.65454,1.26746
136,51.1043,6.4872,1.41584
137,50.9,5.73179,1.51947
138,52.1348,6.49366,1.63211
139,51.3756,6.44769,1.31722
140,55.3047,6.86443,1.50691
141,55.1621,6.78486,1.36258
142,56.1201,6.79643,1.53354
143,55.7386,6.928,1.49807
145,60.6663,7.28495,1.4263
146,61.4687,7.51494,1.63014
147,61.0489,6.54945,1.5962
149,66.6727,7.80447,1.40758
150,67.7034,7.86029,1.6362
151,67.7085,7.56662,1.62304
152,72.7125,8.40477,1.66547
153,72.3938,7.55352,1.66103
154,73.9468,8.28738,1.69349
155,72.781,7.64614,1.63703
156,78.7318,8.88506,1.75081
157,78.2794,7.95433,1.75592
158,79.5581,8.84619,1.93599
159,79.3427,8.68812,1.7904
161,84.1685,9.21819,1.6041
162,84.7613,9.31484,1.72251
