"Point Name","X (East)","Y (North)","Z (Elevation)","Z","x_lio","y_lio","z_lio"
"a1","3.168","51.602","1.046","1.046","2.1451144356683685","3.058831207028119","0.6968209543999953"
"a9","3.144","37.955","0.768","0.768","15.738847966592836","4.284775894789072","0.857871607208953"
"a13","3.131","31.959","0.586","0.586","21.71368548124611","4.82003741753689","0.8688614096466671"
"a23","3.119","19.809","0.423","0.423","33.81255941898458","5.922142049741643","1.096518648463307"
"a27","3.108","13.808","0.294","0.294","39.790404895998705","6.4606776686617104","1.1605954780987324"
"a35","3.096","2.335","0.047","0.047","51.218324677614575","7.49926117566889","1.2825617190231693"
"a37","3.076","-1.49","0.043","0.043","55.027117062042194","7.830803421859713","1.4018148586754373"
"a42","3.188","-9.974","-0.27","-0.27","63.47113261510032","8.71713295934497","1.3595030318000594"
"a45","3.043","-16.051","-0.438","-0.438","69.53817027084497","9.128630440844107","1.3895347899284"
"a63","3.003","-39.912","-0.389","-0.389","93.28783079660022","11.28239052415302","2.2057850058111086"
"a67","2.982","-45.904","-0.489","-0.489","99.25665536815492","11.810593058902985","2.298738307464875"
"a71","2.98","-51.351","-0.631","-0.631","104.68274834184882","12.306974984953403","2.331859664929794"
"a81","2.94","-69.724","-1.029","-1.029","122.98553719821454","13.94944442109447","2.5251139808897567"
"a186","1.826","-66.802","-0.856","-0.856","120.1733386290264","12.574449299772962","2.6247965962158086"
"a85","3.085","-75.724","-1.909","-1.909","128.97344053419826","14.631543045735736","1.8357808936397972"
"a95","2.889","-87.871","-2.291","-2.291","141.09351313329074","15.546770969657075","1.847906898854542"
"a99","2.876","-93.895","-2.472","-2.472","147.09618395435984","16.084621225118916","1.860795521161705"
"a103","2.895","-98.338","-2.577","-2.577","151.51988137834599","16.510218944159433","1.8982479251661384"
"a105","2.176","51.52","0.987","0.987","2.3193196360606194","2.077768600947109","0.6589037933006997"
"a109","2.157","46.836","1.004","1.004","6.982232840517909","2.489574768711483","0.826719549083869"
