time,x,y,z,roll,pitch,yaw
1767717671.280034,-0.003556,0.003659,0.002134,0.017388,0.052343,0.000845
1767717671.381017,-0.002783,0.001500,0.001039,0.017477,0.052376,0.000924
1767717671.481721,-0.001061,0.002095,0.001484,0.017437,0.052293,0.001028
1767717671.582158,-0.003100,-0.002036,0.000664,0.017540,0.052324,0.000956
1767717671.683537,-0.007069,0.000066,0.002951,0.017325,0.052456,0.000871
1767717671.784571,-0.003245,-0.002909,0.002296,0.017342,0.052259,0.000853
1767717671.885352,-0.003917,-0.001914,0.001197,0.017533,0.052319,0.000951
1767717671.985914,-0.004407,0.002652,0.002324,0.017381,0.052324,0.000929
1767717672.086577,-0.004488,-0.000413,0.000755,0.017537,0.052358,0.001009
1767717672.187326,-0.007194,0.003895,0.001657,0.017498,0.052478,0.001027
1767717672.288195,-0.005059,0.000699,0.002556,0.017322,0.052444,0.000945
1767717672.388781,-0.002604,0.003930,0.000881,0.017381,0.052240,0.000808
1767717672.489520,-0.004984,0.004811,0.001207,0.017482,0.052332,0.000876
1767717672.590360,-0.004389,0.005099,0.002207,0.017344,0.052434,0.000851
1767717672.690482,-0.005067,0.002628,0.000597,0.017517,0.052437,0.000937
1767717672.791144,-0.005548,0.004787,0.002961,0.017186,0.052489,0.000776
1767717672.891859,-0.001052,0.005812,0.000730,0.017566,0.052318,0.000981
1767717672.992597,-0.001203,0.008065,0.000730,0.017657,0.052251,0.001050
1767717673.093271,-0.003292,0.007773,0.002097,0.017353,0.052335,0.000697
1767717673.194686,-0.003237,0.006373,0.002013,0.017326,0.052312,0.000766
1767717673.295378,-0.002386,0.005885,0.001414,0.017518,0.052431,0.000909
1767717673.395662,-0.000593,0.002440,0.000200,0.017544,0.052389,0.000896
1767717673.496336,0.000423,0.004087,0.000569,0.017504,0.052332,0.000833
1767717673.596796,-0.004133,0.004798,0.001690,0.017598,0.052391,0.000902
1767717673.697838,-0.003054,0.003177,0.000892,0.017358,0.052425,0.000681
1767717673.798718,-0.000303,0.005020,0.000125,0.017598,0.052216,0.000844
1767717673.899093,-0.004410,0.005150,0.002500,0.017586,0.052472,0.001061
1767717673.979887,-0.004782,0.003875,0.002021,0.017397,0.052560,0.000867
1767717674.080536,-0.005858,0.005242,0.002421,0.017518,0.052541,0.000926
1767717674.181371,-0.004318,0.005836,0.001425,0.017441,0.052424,0.000801
